Ente,Liste/Gruppi,Voti,,
ALA,SVP - PATT - PD - UPT,1905,,
ALA,IL POPOLO DELLA LIBERTA' - LEGA NORD,1143,,
ALA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1065,,
ALA,FARE PER FERMARE IL DECLINO,178,,
ALA,RIVOLUZIONE CIVILE,140,,
ALA,MIR - MODERATI IN RIVOLUZIONE,53,,
ARCO,SVP - PATT - PD - UPT,4218,,
ARCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2556,,
ARCO,IL POPOLO DELLA LIBERTA' - LEGA NORD,1849,,
ARCO,RIVOLUZIONE CIVILE,299,,
ARCO,FARE PER FERMARE IL DECLINO,182,,
ARCO,MIR - MODERATI IN RIVOLUZIONE,88,,
AVIO,SVP - PATT - PD - UPT,811,,
AVIO,IL POPOLO DELLA LIBERTA' - LEGA NORD,761,,
AVIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,411,,
AVIO,FARE PER FERMARE IL DECLINO,60,,
AVIO,RIVOLUZIONE CIVILE,60,,
AVIO,MIR - MODERATI IN RIVOLUZIONE,23,,
BERSONE,SVP - PATT - PD - UPT,78,,
BERSONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,48,,
BERSONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,37,,
BERSONE,MIR - MODERATI IN RIVOLUZIONE,4,,
BERSONE,RIVOLUZIONE CIVILE,1,,
BERSONE,FARE PER FERMARE IL DECLINO,0,,
BESENELLO,SVP - PATT - PD - UPT,643,,
BESENELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,387,,
BESENELLO,IL POPOLO DELLA LIBERTA' - LEGA NORD,263,,
BESENELLO,RIVOLUZIONE CIVILE,78,,
BESENELLO,FARE PER FERMARE IL DECLINO,48,,
BESENELLO,MIR - MODERATI IN RIVOLUZIONE,9,,
BLEGGIO SUPERIORE,SVP - PATT - PD - UPT,428,,
BLEGGIO SUPERIORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,172,,
BLEGGIO SUPERIORE,IL POPOLO DELLA LIBERTA' - LEGA NORD,136,,
BLEGGIO SUPERIORE,RIVOLUZIONE CIVILE,30,,
BLEGGIO SUPERIORE,FARE PER FERMARE IL DECLINO,19,,
BLEGGIO SUPERIORE,MIR - MODERATI IN RIVOLUZIONE,14,,
BOCENAGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,88,,
BOCENAGO,SVP - PATT - PD - UPT,53,,
BOCENAGO,MIR - MODERATI IN RIVOLUZIONE,46,,
BOCENAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,35,,
BOCENAGO,FARE PER FERMARE IL DECLINO,3,,
BOCENAGO,RIVOLUZIONE CIVILE,1,,
BOLBENO,SVP - PATT - PD - UPT,79,,
BOLBENO,IL POPOLO DELLA LIBERTA' - LEGA NORD,57,,
BOLBENO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,32,,
BOLBENO,MIR - MODERATI IN RIVOLUZIONE,6,,
BOLBENO,RIVOLUZIONE CIVILE,6,,
BOLBENO,FARE PER FERMARE IL DECLINO,3,,
BONDO,SVP - PATT - PD - UPT,205,,
BONDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,89,,
BONDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,57,,
BONDO,FARE PER FERMARE IL DECLINO,8,,
BONDO,RIVOLUZIONE CIVILE,8,,
BONDO,MIR - MODERATI IN RIVOLUZIONE,6,,
BONDONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,130,,
BONDONE,SVP - PATT - PD - UPT,111,,
BONDONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,79,,
BONDONE,RIVOLUZIONE CIVILE,14,,
BONDONE,FARE PER FERMARE IL DECLINO,6,,
BONDONE,MIR - MODERATI IN RIVOLUZIONE,6,,
BREGUZZO,SVP - PATT - PD - UPT,149,,
BREGUZZO,IL POPOLO DELLA LIBERTA' - LEGA NORD,95,,
BREGUZZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,68,,
BREGUZZO,RIVOLUZIONE CIVILE,9,,
BREGUZZO,FARE PER FERMARE IL DECLINO,4,,
BREGUZZO,MIR - MODERATI IN RIVOLUZIONE,3,,
BRENTONICO,SVP - PATT - PD - UPT,1058,,
BRENTONICO,IL POPOLO DELLA LIBERTA' - LEGA NORD,501,,
BRENTONICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,386,,
BRENTONICO,FARE PER FERMARE IL DECLINO,72,,
BRENTONICO,RIVOLUZIONE CIVILE,46,,
BRENTONICO,MIR - MODERATI IN RIVOLUZIONE,28,,
BRIONE,SVP - PATT - PD - UPT,42,,
BRIONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,23,,
BRIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,15,,
BRIONE,FARE PER FERMARE IL DECLINO,2,,
BRIONE,MIR - MODERATI IN RIVOLUZIONE,1,,
BRIONE,RIVOLUZIONE CIVILE,1,,
CADERZONE TERME,SVP - PATT - PD - UPT,149,,
CADERZONE TERME,IL POPOLO DELLA LIBERTA' - LEGA NORD,104,,
CADERZONE TERME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,54,,
CADERZONE TERME,MIR - MODERATI IN RIVOLUZIONE,18,,
CADERZONE TERME,FARE PER FERMARE IL DECLINO,6,,
CADERZONE TERME,RIVOLUZIONE CIVILE,3,,
CALLIANO,SVP - PATT - PD - UPT,395,,
