Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUACANINA ,98,71,1,1,
APIRO ,1722,1309,37,73,
APPIGNANO ,3002,2373,42,121,
BELFORTE DEL CHIENTI ,1311,1085,7,32,
BOLOGNOLA ,126,81,2,8,
CALDAROLA ,1270,1036,17,42,
CAMERINO ,5176,3986,53,166,
CAMPOROTONDO DI FIASTRONE ,376,302,11,23,
CASTELRAIMONDO ,3344,2585,43,103,
CASTELSANTANGELO SUL NERA ,259,166,1,6,
CESSAPALOMBO ,396,291,9,15,
CINGOLI ,7372,5722,111,291,
CIVITANOVA MARCHE ,29215,22810,235,646,
COLMURANO ,919,675,22,39,
CORRIDONIA ,10504,8423,98,288,
ESANATOGLIA ,1548,1234,20,59,
FIASTRA ,428,284,4,13,
FIORDIMONTE ,171,123,1,11,
FIUMINATA ,1091,847,9,28,
GAGLIOLE ,459,334,0,10,
GUALDO ,638,456,10,31,
LORO PICENO ,1762,1346,42,72,
MACERATA ,30482,23860,217,622,
MATELICA ,7338,5849,65,243,
MOGLIANO ,3412,2642,67,146,
MONTE CAVALLO ,113,76,2,4,
MONTE SAN GIUSTO ,5180,4099,80,201,
MONTE SAN MARTINO ,550,435,11,21,
MONTECASSIANO ,5116,4118,62,151,
MONTECOSARO ,4835,3873,41,116,
MONTEFANO ,2331,1889,20,61,
MONTELUPONE ,2454,1958,25,74,
MORROVALLE ,6866,5509,95,232,
MUCCIA ,665,513,9,25,
PENNA SAN GIOVANNI ,812,567,15,29,
PETRIOLO ,1434,1157,25,56,
PIEVE TORINA ,1004,779,13,34,
PIEVEBOVIGLIANA ,629,465,8,20,
PIORACO ,839,634,5,17,
POGGIO SAN VICINO ,207,156,6,9,
POLLENZA ,4810,3823,58,121,
PORTO RECANATI ,7448,5844,43,132,
POTENZA PICENA ,11339,8784,102,300,
RECANATI ,15413,12239,131,368,
RIPE SAN GINESIO ,599,470,10,22,
SAN GINESIO ,2710,2047,40,103,
SAN SEVERINO MARCHE ,9386,7247,112,292,
SANT'ANGELO IN PONTANO ,1059,806,19,44,
SARNANO ,2412,1778,28,82,
SEFRO ,303,238,4,10,
SERRAPETRONA ,727,601,13,29,
SERRAVALLE DI CHIENTI ,805,551,12,31,
TOLENTINO ,13983,11259,136,371,
TREIA ,6888,5352,96,287,
URBISAGLIA ,1972,1578,25,52,
USSITA ,320,213,2,6,
VISSO ,926,651,6,14,
