Ente,Liste/Gruppi,Voti,,
ALLEIN,VALLEE D'AOSTE,66,,
ALLEIN,AUTONOMIE LIBERTE' DEMOCRATIE,27,,
ALLEIN,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,22,,
ALLEIN,LA DESTRA,7,,
ALLEIN,LEGA NORD,5,,
ALLEIN,CASAPOUND ITALIA,3,,
ALLEIN,FARE PER FERMARE IL DECLINO,0,,
ALLEIN,UNIONE DI CENTRO,0,,
ALLEIN,NATION VAL D'OUTA,0,,
ANTEY-SAINT-ANDRE',VALLEE D'AOSTE,151,,
ANTEY-SAINT-ANDRE',AUTONOMIE LIBERTE' DEMOCRATIE,89,,
ANTEY-SAINT-ANDRE',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,70,,
ANTEY-SAINT-ANDRE',LEGA NORD,23,,
ANTEY-SAINT-ANDRE',LA DESTRA,9,,
ANTEY-SAINT-ANDRE',FARE PER FERMARE IL DECLINO,3,,
ANTEY-SAINT-ANDRE',UNIONE DI CENTRO,3,,
ANTEY-SAINT-ANDRE',CASAPOUND ITALIA,2,,
ANTEY-SAINT-ANDRE',NATION VAL D'OUTA,0,,
AOSTA,AUTONOMIE LIBERTE' DEMOCRATIE,6153,,
AOSTA,VALLEE D'AOSTE,5410,,
AOSTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3885,,
AOSTA,LEGA NORD,759,,
AOSTA,UNIONE DI CENTRO,639,,
AOSTA,LA DESTRA,527,,
AOSTA,FARE PER FERMARE IL DECLINO,282,,
AOSTA,CASAPOUND ITALIA,130,,
AOSTA,NATION VAL D'OUTA,48,,
ARNAD,VALLEE D'AOSTE,408,,
ARNAD,AUTONOMIE LIBERTE' DEMOCRATIE,165,,
ARNAD,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,123,,
ARNAD,LEGA NORD,12,,
ARNAD,LA DESTRA,8,,
ARNAD,UNIONE DI CENTRO,7,,
ARNAD,FARE PER FERMARE IL DECLINO,2,,
ARNAD,NATION VAL D'OUTA,1,,
ARNAD,CASAPOUND ITALIA,0,,
ARVIER,AUTONOMIE LIBERTE' DEMOCRATIE,243,,
ARVIER,VALLEE D'AOSTE,155,,
ARVIER,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,56,,
ARVIER,LEGA NORD,14,,
ARVIER,LA DESTRA,6,,
ARVIER,FARE PER FERMARE IL DECLINO,1,,
ARVIER,UNIONE DI CENTRO,1,,
ARVIER,NATION VAL D'OUTA,1,,
ARVIER,CASAPOUND ITALIA,1,,
AVISE,AUTONOMIE LIBERTE' DEMOCRATIE,97,,
AVISE,VALLEE D'AOSTE,45,,
AVISE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,17,,
AVISE,LA DESTRA,4,,
AVISE,FARE PER FERMARE IL DECLINO,2,,
AVISE,LEGA NORD,1,,
AVISE,UNIONE DI CENTRO,1,,
AVISE,NATION VAL D'OUTA,0,,
AVISE,CASAPOUND ITALIA,0,,
AYAS,VALLEE D'AOSTE,299,,
AYAS,AUTONOMIE LIBERTE' DEMOCRATIE,129,,
AYAS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,103,,
AYAS,LEGA NORD,37,,
AYAS,FARE PER FERMARE IL DECLINO,18,,
AYAS,UNIONE DI CENTRO,11,,
AYAS,LA DESTRA,9,,
AYAS,NATION VAL D'OUTA,3,,
AYAS,CASAPOUND ITALIA,1,,
AYMAVILLES,AUTONOMIE LIBERTE' DEMOCRATIE,399,,
AYMAVILLES,VALLEE D'AOSTE,348,,
AYMAVILLES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,252,,
AYMAVILLES,LA DESTRA,30,,
AYMAVILLES,LEGA NORD,26,,
AYMAVILLES,FARE PER FERMARE IL DECLINO,16,,
AYMAVILLES,UNIONE DI CENTRO,11,,
AYMAVILLES,NATION VAL D'OUTA,3,,
AYMAVILLES,CASAPOUND ITALIA,3,,
BARD,VALLEE D'AOSTE,40,,
BARD,AUTONOMIE LIBERTE' DEMOCRATIE,18,,
BARD,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,15,,
BARD,UNIONE DI CENTRO,6,,
BARD,LEGA NORD,2,,
BARD,FARE PER FERMARE IL DECLINO,1,,
BARD,LA DESTRA,1,,
BARD,CASAPOUND ITALIA,0,,
BARD,NATION VAL D'OUTA,0,,
BIONAZ,VALLEE D'AOSTE,66,,
BIONAZ,AUTONOMIE LIBERTE' DEMOCRATIE,36,,
BIONAZ,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24,,
BIONAZ,LA DESTRA,6,,
BIONAZ,CASAPOUND ITALIA,2,,
BIONAZ,LEGA NORD,1,,
BIONAZ,FARE PER FERMARE IL DECLINO,0,,
BIONAZ,UNIONE DI CENTRO,0,,
BIONAZ,NATION VAL D'OUTA,0,,
BRISSOGNE,VALLEE D'AOSTE,200,,
BRISSOGNE,AUTONOMIE LIBERTE' DEMOCRATIE,152,,
BRISSOGNE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,144,,
BRISSOGNE,LEGA NORD,30,,
BRISSOGNE,LA DESTRA,30,,
BRISSOGNE,UNIONE DI CENTRO,6,,
BRISSOGNE,CASAPOUND ITALIA,3,,
BRISSOGNE,FARE PER FERMARE IL DECLINO,3,,
BRISSOGNE,NATION VAL D'OUTA,0,,
BRUSSON,VALLEE D'AOSTE,250,,
BRUSSON,AUTONOMIE LIBERTE' DEMOCRATIE,82,,
BRUSSON,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,76,,
BRUSSON,LEGA NORD,22,,
BRUSSON,LA DESTRA,12,,
BRUSSON,UNIONE DI CENTRO,3,,
BRUSSON,FARE PER FERMARE IL DECLINO,1,,
BRUSSON,NATION VAL D'OUTA,1,,
BRUSSON,CASAPOUND ITALIA,0,,
CHALLAND-SAINT-ANSELME,VALLEE D'AOSTE,248,,
CHALLAND-SAINT-ANSELME,AUTONOMIE LIBERTE' DEMOCRATIE,67,,
CHALLAND-SAINT-ANSELME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,39,,
CHALLAND-SAINT-ANSELME,LEGA NORD,21,,
CHALLAND-SAINT-ANSELME,LA DESTRA,7,,
CHALLAND-SAINT-ANSELME,UNIONE DI CENTRO,5,,
CHALLAND-SAINT-ANSELME,FARE PER FERMARE IL DECLINO,2,,
CHALLAND-SAINT-ANSELME,NATION VAL D'OUTA,2,,
CHALLAND-SAINT-ANSELME,CASAPOUND ITALIA,1,,
CHALLAND-SAINT-VICTOR,VALLEE D'AOSTE,182,,
CHALLAND-SAINT-VICTOR,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,58,,
CHALLAND-SAINT-VICTOR,AUTONOMIE LIBERTE' DEMOCRATIE,50,,
CHALLAND-SAINT-VICTOR,LEGA NORD,16,,
