Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGAZZANO ,1525,1178,21,46,
ALSENO ,3737,3039,19,82,
BESENZONE ,753,611,12,26,
BETTOLA ,2429,1773,29,86,
BOBBIO ,2985,2298,34,107,
BORGONOVO VAL TIDONE ,5516,4270,47,150,
CADEO ,4500,3602,30,134,
CALENDASCO ,1929,1571,19,59,
CAMINATA ,237,173,3,4,
CAORSO ,3644,2952,25,103,
CARPANETO PIACENTINO ,5786,4719,40,136,
CASTEL SAN GIOVANNI ,9548,7500,75,289,
CASTELL'ARQUATO ,3753,2999,21,85,
CASTELVETRO PIACENTINO ,4308,3463,28,99,
CERIGNALE ,146,87,3,4,
COLI ,847,592,10,38,
CORTE BRUGNATELLA ,570,386,10,27,
CORTEMAGGIORE ,3349,2623,27,85,
FARINI ,1291,806,7,36,
FERRIERE ,1306,706,11,21,
FIORENZUOLA D'ARDA ,10918,8717,81,259,
GAZZOLA ,1636,1328,9,25,
GOSSOLENGO ,4295,3647,22,101,
GRAGNANO TREBBIENSE ,3288,2552,17,77,
GROPPARELLO ,1952,1449,17,57,
LUGAGNANO VAL D'ARDA ,3303,2565,45,95,
MONTICELLI D'ONGINA ,4264,3391,45,147,
MORFASSO ,973,599,11,23,
NIBBIANO ,1817,1388,25,69,
OTTONE ,478,274,6,14,
PECORARA ,681,441,11,22,
PIACENZA ,73578,57827,408,1435,
PIANELLO VAL TIDONE ,1730,1361,29,73,
PIOZZANO ,553,439,8,19,
PODENZANO ,7077,5721,38,148,
PONTE DELL'OLIO ,3861,3048,33,112,
PONTENURE ,4666,3915,21,114,
RIVERGARO ,5390,4347,33,134,
ROTTOFRENO ,8624,6828,58,193,
SAN GIORGIO PIACENTINO ,4478,3605,28,140,
SAN PIETRO IN CERRO ,742,561,16,30,
SARMATO ,2086,1628,17,61,
TRAVO ,1747,1398,9,34,
VERNASCA ,1858,1351,14,31,
VIGOLZONE ,3315,2626,27,107,
VILLANOVA SULL'ARDA ,1410,1161,22,51,
ZERBA ,77,32,0,0,
ZIANO PIACENTINO ,2047,1516,33,53,
