Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AULLA ,8382,6225,46,197,
BAGNONE ,1522,1061,19,43,
CARRARA ,48617,35300,230,892,
CASOLA IN LUNIGIANA ,808,553,5,17,
COMANO ,583,403,5,20,
FILATTIERA ,1761,1321,25,52,
FIVIZZANO ,6745,4651,50,162,
FOSDINOVO ,3799,2637,12,61,
LICCIANA NARDI ,3754,2816,48,107,
MASSA ,52344,39541,234,1085,
MONTIGNOSO ,7784,5782,41,170,
MULAZZO ,1972,1392,17,45,
PODENZANA ,1644,1215,9,29,
PONTREMOLI ,5746,4014,65,185,
TRESANA ,1596,1217,14,36,
VILLAFRANCA IN LUNIGIANA ,3547,2829,25,98,
ZERI ,1018,514,16,32,
