Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUAVIVA COLLECROCE ,579,439,13,25,
BARANELLO ,2212,1725,125,219,
BOJANO ,6633,5332,237,397,
BONEFRO ,1269,937,49,94,
BUSSO ,1173,890,67,111,
CAMPOBASSO ,41617,33204,884,1876,
CAMPOCHIARO ,535,393,40,49,
CAMPODIPIETRA ,2031,1670,79,146,
CAMPOLIETO ,796,587,29,62,
CAMPOMARINO ,6043,4736,170,331,
CASACALENDA ,1829,1377,79,171,
CASALCIPRANO ,515,349,41,59,
CASTELBOTTACCIO ,298,199,9,14,
CASTELLINO DEL BIFERNO ,480,353,34,42,
CASTELMAURO ,1395,959,84,134,
CASTROPIGNANO ,851,652,36,73,
CERCEMAGGIORE ,3298,2550,236,331,
CERCEPICCOLA ,569,435,39,59,
CIVITACAMPOMARANO ,373,255,14,28,
COLLE D'ANCHISE ,691,538,38,51,
COLLETORTO ,1800,1415,57,107,
DURONIA ,393,269,19,30,
FERRAZZANO ,2707,2199,46,102,
FOSSALTO ,1204,862,52,88,
GAMBATESA ,1304,971,79,129,
GILDONE ,691,524,36,53,
GUARDIALFIERA ,904,708,51,77,
GUARDIAREGIA ,693,515,36,50,
GUGLIONESI ,4303,3460,104,228,
JELSI ,1497,1183,66,106,
LARINO ,5680,4623,169,370,
LIMOSANO ,706,554,48,60,
LUCITO ,651,437,43,51,
LUPARA ,459,344,19,32,
MACCHIA VALFORTORE ,546,403,27,38,
MAFALDA ,1020,783,43,73,
MATRICE ,926,705,64,104,
MIRABELLO SANNITICO ,1745,1367,57,103,
MOLISE ,161,108,5,9,
MONACILIONI ,506,359,37,47,
MONTAGANO ,984,773,12,33,
MONTECILFONE ,1181,903,38,70,
MONTEFALCONE NEL SANNIO ,1369,1120,41,75,
MONTELONGO ,331,276,26,43,
MONTEMITRO ,341,270,13,20,
MONTENERO DI BISACCIA ,5349,4260,160,313,
MONTORIO NEI FRENTANI ,382,300,13,29,
MORRONE DEL SANNIO ,566,426,51,76,
ORATINO ,1331,1102,36,76,
PALATA ,1490,1183,45,79,
PETACCIATO ,2946,2225,78,143,
PETRELLA TIFERNINA ,1047,810,44,62,
PIETRACATELLA ,1187,949,72,114,
PIETRACUPA ,211,169,5,13,
PORTOCANNONE ,2030,1639,85,162,
PROVVIDENTI ,110,75,6,8,
RICCIA ,4492,3539,279,475,
RIPABOTTONI ,453,342,29,47,
RIPALIMOSANI ,2499,2031,61,139,
ROCCAVIVARA ,694,566,41,77,
ROTELLO ,1015,837,43,71,
SALCITO ,607,452,24,49,
SAN BIASE ,191,134,14,22,
SAN FELICE DEL MOLISE ,588,452,32,40,
SAN GIACOMO DEGLI SCHIAVONI ,1136,890,20,47,
SAN GIOVANNI IN GALDO ,532,366,20,38,
SAN GIULIANO DEL SANNIO ,853,648,53,74,
SAN GIULIANO DI PUGLIA ,890,705,25,62,
SAN MARTINO IN PENSILIS ,3815,3300,168,248,
SAN MASSIMO ,750,599,40,62,
SAN POLO MATESE ,393,317,16,31,
SANT'ANGELO LIMOSANO ,320,263,18,23,
SANT'ELIA A PIANISI ,1649,1231,96,169,
SANTA CROCE DI MAGLIANO ,3782,2922,105,277,
SEPINO ,1713,1101,77,130,
SPINETE ,1149,833,89,123,
TAVENNA ,711,521,35,63,
TERMOLI ,26772,21287,470,1027,
TORELLA DEL SANNIO ,706,562,26,53,
TORO ,1278,949,51,76,
TRIVENTO ,4000,3065,207,339,
TUFARA ,829,688,64,98,
URURI ,2249,1847,80,139,
VINCHIATURO ,2695,2163,92,154,
