Ente,Liste/Gruppi,Voti,,
ALBIANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,311,,
ALBIANO,SVP - PATT - PD - UPT,275,,
ALBIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,147,,
ALBIANO,RIVOLUZIONE CIVILE,18,,
ALBIANO,FARE PER FERMARE IL DECLINO,16,,
ALBIANO,MIR - MODERATI IN RIVOLUZIONE,1,,
ALDENO,SVP - PATT - PD - UPT,819,,
ALDENO,IL POPOLO DELLA LIBERTA' - LEGA NORD,400,,
ALDENO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,399,,
ALDENO,RIVOLUZIONE CIVILE,34,,
ALDENO,FARE PER FERMARE IL DECLINO,30,,
ALDENO,MIR - MODERATI IN RIVOLUZIONE,12,,
AMBLAR,SVP - PATT - PD - UPT,59,,
AMBLAR,IL POPOLO DELLA LIBERTA' - LEGA NORD,37,,
AMBLAR,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,19,,
AMBLAR,RIVOLUZIONE CIVILE,3,,
AMBLAR,MIR - MODERATI IN RIVOLUZIONE,2,,
AMBLAR,FARE PER FERMARE IL DECLINO,2,,
ANDALO,IL POPOLO DELLA LIBERTA' - LEGA NORD,201,,
ANDALO,SVP - PATT - PD - UPT,166,,
ANDALO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,94,,
ANDALO,FARE PER FERMARE IL DECLINO,20,,
ANDALO,RIVOLUZIONE CIVILE,7,,
ANDALO,MIR - MODERATI IN RIVOLUZIONE,4,,
BRESIMO,SVP - PATT - PD - UPT,70,,
BRESIMO,IL POPOLO DELLA LIBERTA' - LEGA NORD,40,,
BRESIMO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,11,,
BRESIMO,RIVOLUZIONE CIVILE,5,,
BRESIMO,FARE PER FERMARE IL DECLINO,4,,
BRESIMO,MIR - MODERATI IN RIVOLUZIONE,1,,
BREZ,SVP - PATT - PD - UPT,204,,
BREZ,IL POPOLO DELLA LIBERTA' - LEGA NORD,93,,
BREZ,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,37,,
BREZ,FARE PER FERMARE IL DECLINO,9,,
BREZ,MIR - MODERATI IN RIVOLUZIONE,3,,
BREZ,RIVOLUZIONE CIVILE,3,,
CAGNO',SVP - PATT - PD - UPT,115,,
CAGNO',IL POPOLO DELLA LIBERTA' - LEGA NORD,31,,
CAGNO',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,25,,
CAGNO',RIVOLUZIONE CIVILE,6,,
CAGNO',FARE PER FERMARE IL DECLINO,4,,
CAGNO',MIR - MODERATI IN RIVOLUZIONE,3,,
CALAVINO,SVP - PATT - PD - UPT,346,,
CALAVINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,199,,
CALAVINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,178,,
CALAVINO,FARE PER FERMARE IL DECLINO,20,,
CALAVINO,RIVOLUZIONE CIVILE,17,,
CALAVINO,MIR - MODERATI IN RIVOLUZIONE,7,,
CALDES,SVP - PATT - PD - UPT,307,,
CALDES,IL POPOLO DELLA LIBERTA' - LEGA NORD,139,,
CALDES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,91,,
CALDES,RIVOLUZIONE CIVILE,14,,
CALDES,FARE PER FERMARE IL DECLINO,8,,
CALDES,MIR - MODERATI IN RIVOLUZIONE,3,,
CAMPODENNO,SVP - PATT - PD - UPT,442,,
CAMPODENNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,207,,
CAMPODENNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,147,,
CAMPODENNO,RIVOLUZIONE CIVILE,34,,
CAMPODENNO,FARE PER FERMARE IL DECLINO,14,,
CAMPODENNO,MIR - MODERATI IN RIVOLUZIONE,4,,
CASTELFONDO,SVP - PATT - PD - UPT,138,,
CASTELFONDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,105,,
CASTELFONDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,50,,
CASTELFONDO,FARE PER FERMARE IL DECLINO,6,,
CASTELFONDO,RIVOLUZIONE CIVILE,6,,
CASTELFONDO,MIR - MODERATI IN RIVOLUZIONE,3,,
CAVARENO,SVP - PATT - PD - UPT,228,,
CAVARENO,IL POPOLO DELLA LIBERTA' - LEGA NORD,126,,
CAVARENO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,95,,
CAVARENO,RIVOLUZIONE CIVILE,13,,
CAVARENO,FARE PER FERMARE IL DECLINO,12,,
CAVARENO,MIR - MODERATI IN RIVOLUZIONE,4,,
CAVEDAGO,SVP - PATT - PD - UPT,138,,
CAVEDAGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,70,,
CAVEDAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,57,,
CAVEDAGO,RIVOLUZIONE CIVILE,9,,
CAVEDAGO,MIR - MODERATI IN RIVOLUZIONE,5,,
CAVEDAGO,FARE PER FERMARE IL DECLINO,3,,
CAVEDINE,SVP - PATT - PD - UPT,662,,
CAVEDINE,IL POPOLO DELLA LIBERTA' - LEGA NORD,514,,
