Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
PEVERAGNO ,4018,3177,29,164,
PEZZOLO VALLE UZZONE ,266,199,6,12,
PIANFEI ,1559,1166,18,83,
PIASCO ,2034,1643,10,61,
PIETRAPORZIO ,71,47,1,2,
PIOBESI D'ALBA ,903,761,5,29,
PIOZZO ,756,553,7,37,
POCAPAGLIA ,2372,1914,17,78,
POLONGHERA ,868,687,9,33,
PONTECHIANALE ,153,105,0,13,
PRADLEVES ,206,146,2,4,
PRAZZO ,142,108,3,5,
PRIERO ,329,253,2,9,
PRIOCCA ,1493,1219,23,78,
PRIOLA ,555,376,4,27,
PRUNETTO ,373,285,7,19,
RACCONIGI ,7094,5657,40,199,
REVELLO ,2984,2409,31,106,
RIFREDDO ,754,616,13,40,
RITTANA ,101,71,1,2,
ROASCHIA ,119,75,0,2,
ROASCIO ,64,50,2,6,
ROBILANTE ,1672,1277,13,80,
ROBURENT ,450,316,2,11,
ROCCA CIGLIE' ,120,94,1,6,
ROCCA DE' BALDI ,1188,916,11,62,
ROCCABRUNA ,1129,876,9,55,
ROCCAFORTE MONDOVI' ,1552,1130,12,59,
ROCCASPARVERA ,545,428,3,12,
ROCCAVIONE ,2043,1530,15,56,
ROCCHETTA BELBO ,135,105,4,6,
RODDI ,1110,956,15,48,
RODDINO ,287,209,2,10,
RODELLO ,701,581,6,16,
ROSSANA ,647,498,8,28,
RUFFIA ,242,203,6,13,
SALE DELLE LANGHE ,373,302,6,18,
SALE SAN GIOVANNI ,136,106,1,7,
SALICETO ,1066,806,10,44,
SALMOUR ,501,380,9,27,
SALUZZO ,11759,9139,69,306,
SAMBUCO ,83,59,0,1,
SAMPEYRE ,827,578,8,29,
SAN BENEDETTO BELBO ,149,105,3,10,
SAN DAMIANO MACRA ,352,237,9,14,
SAN MICHELE MONDOVI' ,1387,962,19,44,
SANFRE' ,2138,1731,18,77,
SANFRONT ,1896,1456,18,86,
SANT'ALBANO STURA ,1717,1382,8,39,
SANTA VITTORIA D'ALBA ,1844,1511,14,58,
SANTO STEFANO BELBO ,2801,2179,30,78,
SANTO STEFANO ROERO ,1011,790,10,42,
SAVIGLIANO ,14913,11982,103,405,
SCAGNELLO ,170,130,1,5,
SCARNAFIGI ,1441,1195,19,73,
SERRALUNGA D'ALBA ,341,274,3,19,
SERRAVALLE LANGHE ,253,185,0,3,
SINIO ,332,260,5,15,
SOMANO ,269,196,2,10,
SOMMARIVA DEL BOSCO ,4463,3469,22,137,
SOMMARIVA PERNO ,2038,1622,21,82,
STROPPO ,78,50,1,4,
TARANTASCA ,1427,1209,19,72,
TORRE BORMIDA ,166,119,0,6,
TORRE MONDOVI' ,362,250,4,8,
TORRE SAN GIORGIO ,520,426,2,14,
TORRESINA ,50,34,1,1,
TREISO ,570,492,4,29,
TREZZO TINELLA ,257,202,4,18,
TRINITA' ,1541,1246,26,69,
VALDIERI ,740,542,12,51,
VALGRANA ,580,417,5,20,
VALLORIATE ,96,69,0,2,
VALMALA ,53,40,0,0,
VENASCA ,1111,858,15,66,
VERDUNO ,412,314,7,16,
VERNANTE ,948,714,18,38,
VERZUOLO ,4330,3466,38,126,
VEZZA D'ALBA ,1669,1404,17,56,
VICOFORTE ,2382,1827,21,93,
VIGNOLO ,1747,1428,13,64,
VILLAFALLETTO ,2048,1679,25,88,
VILLANOVA MONDOVI' ,4106,3073,40,176,
VILLANOVA SOLARO ,561,445,8,19,
VILLAR SAN COSTANZO ,1090,867,9,48,
VINADIO ,505,361,3,16,
VIOLA ,342,230,3,10,
VOTTIGNASCO ,411,355,4,22,
