Ente,Candidato,Liste/Gruppi,Voti lista,,
ANGUILLARA VENETA,,LEGA NORD,165,,
ANGUILLARA VENETA,,LA DESTRA,73,,
ANGUILLARA VENETA,,FRATELLI D'ITALIA,35,,
ANGUILLARA VENETA,,PARTITO PENSIONATI,20,,
ANGUILLARA VENETA,,MIR - MODERATI IN RIVOLUZIONE,3,,
ANGUILLARA VENETA,GIUSEPPE PIERO GRILLO ANGUILLARA VENETA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,564,,
ANGUILLARA VENETA,MARIO MONTI ANGUILLARA VENETA,CON MONTI PER L'ITALIA,194,,
ANGUILLARA VENETA,ANTONIO INGROIA ANGUILLARA VENETA,RIVOLUZIONE CIVILE,37,,
ANGUILLARA VENETA,OSCAR FULVIO GIANNINO ANGUILLARA VENETA,FARE PER FERMARE IL DECLINO,9,,
ANGUILLARA VENETA,MARCO FERRANDO ANGUILLARA VENETA,PARTITO COMUNISTA DEI LAVORATORI,19,,
ANGUILLARA VENETA,ROBERTO FIORE ANGUILLARA VENETA,FORZA NUOVA,9,,
ANGUILLARA VENETA,MAGDI CRISTIANO ALLAM ANGUILLARA VENETA,IO AMO L'ITALIA,4,,
ANGUILLARA VENETA,SIMONE DI STEFANO ANGUILLARA VENETA,CASAPOUND ITALIA,3,,
ANGUILLARA VENETA,LODOVICO PIZZATI ANGUILLARA VENETA,INDIPENDENZA VENETA,24,,
ANGUILLARA VENETA,FABRIZIO COMENCINI ANGUILLARA VENETA,LG.VENETA REPUBBLICA,28,,
ANGUILLARA VENETA,ANTONIO GUADAGNINI ANGUILLARA VENETA,VENETO STATO,5,,
ANGUILLARA VENETA,MARIA CRISTINA SANDRIN ANGUILLARA VENETA,DONNE PER L'ITALIA,6,,
ANGUILLARA VENETA,STEFANIA GABRIELLA ANASTASIA CRAXI ANGUILLARA VENETA,RIFORMISTI ITALIANI,2,,
ANGUILLARA VENETA,PIERO PUSCHIAVO ANGUILLARA VENETA,PROGETTO NAZIONALE,3,,
ARQUA' PETRARCA,PIER LUIGI BERSANI ARQUA' PETRARCA,PARTITO DEMOCRATICO,198,,
ARQUA' PETRARCA,,SINISTRA ECOLOGIA LIBERTA',14,,
ARQUA' PETRARCA,,CENTRO DEMOCRATICO,3,,
ARQUA' PETRARCA,SILVIO BERLUSCONI ARQUA' PETRARCA,IL POPOLO DELLA LIBERTA',375,,
ARQUA' PETRARCA,,LEGA NORD,94,,
ARQUA' PETRARCA,,FRATELLI D'ITALIA,27,,
ARQUA' PETRARCA,,LA DESTRA,17,,
ARQUA' PETRARCA,,PARTITO PENSIONATI,14,,
ARQUA' PETRARCA,,MIR - MODERATI IN RIVOLUZIONE,2,,
ARQUA' PETRARCA,GIUSEPPE PIERO GRILLO ARQUA' PETRARCA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,258,,
ARQUA' PETRARCA,MARIO MONTI ARQUA' PETRARCA,CON MONTI PER L'ITALIA,125,,
ARQUA' PETRARCA,ANTONIO INGROIA ARQUA' PETRARCA,RIVOLUZIONE CIVILE,8,,
ARQUA' PETRARCA,OSCAR FULVIO GIANNINO ARQUA' PETRARCA,FARE PER FERMARE IL DECLINO,12,,
ARQUA' PETRARCA,MARCO FERRANDO ARQUA' PETRARCA,PARTITO COMUNISTA DEI LAVORATORI,0,,
ARQUA' PETRARCA,ROBERTO FIORE ARQUA' PETRARCA,FORZA NUOVA,7,,
ARQUA' PETRARCA,MAGDI CRISTIANO ALLAM ARQUA' PETRARCA,IO AMO L'ITALIA,4,,
ARQUA' PETRARCA,SIMONE DI STEFANO ARQUA' PETRARCA,CASAPOUND ITALIA,0,,
ARQUA' PETRARCA,LODOVICO PIZZATI ARQUA' PETRARCA,INDIPENDENZA VENETA,13,,
ARQUA' PETRARCA,FABRIZIO COMENCINI ARQUA' PETRARCA,LG.VENETA REPUBBLICA,10,,
ARQUA' PETRARCA,ANTONIO GUADAGNINI ARQUA' PETRARCA,VENETO STATO,1,,
ARQUA' PETRARCA,MARIA CRISTINA SANDRIN ARQUA' PETRARCA,DONNE PER L'ITALIA,3,,
ARQUA' PETRARCA,STEFANIA GABRIELLA ANASTASIA CRAXI ARQUA' PETRARCA,RIFORMISTI ITALIANI,0,,
ARQUA' PETRARCA,PIERO PUSCHIAVO ARQUA' PETRARCA,PROGETTO NAZIONALE,1,,
ARRE,PIER LUIGI BERSANI ARRE,PARTITO DEMOCRATICO,318,,
ARRE,,SINISTRA ECOLOGIA LIBERTA',14,,
ARRE,,CENTRO DEMOCRATICO,2,,
ARRE,SILVIO BERLUSCONI ARRE,IL POPOLO DELLA LIBERTA',327,,
ARRE,,LEGA NORD,88,,
ARRE,,FRATELLI D'ITALIA,15,,
ARRE,,PARTITO PENSIONATI,10,,
ARRE,,LA DESTRA,5,,
ARRE,,MIR - MODERATI IN RIVOLUZIONE,3,,
ARRE,GIUSEPPE PIERO GRILLO ARRE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,335,,
ARRE,MARIO MONTI ARRE,CON MONTI PER L'ITALIA,134,,
ARRE,ANTONIO INGROIA ARRE,RIVOLUZIONE CIVILE,12,,
