Ente,Candidato,Liste/Gruppi,Voti lista,,
BELVI',ROBERTO FIORE BELVI',FORZA NUOVA,1,,
BELVI',GIACINTO MARCO PANNELLA BELVI',LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BELVI',RENATA JANNUZZI BELVI',LIBERALI PER L'ITALIA - PLI,0,,
BELVI',GIOVANNI ANGELO COLLI BELVI',PS D'AZ.,5,,
BELVI',PIETRO MURRU BELVI',INDIPENDENZA PER LA SARDEGNA,4,,
BELVI',SALVATORE MELONI BELVI',MERIS,2,,
BIRORI,PIER LUIGI BERSANI BIRORI,PARTITO DEMOCRATICO,89,,
BIRORI,,SINISTRA ECOLOGIA LIBERTA',18,,
BIRORI,,CENTRO DEMOCRATICO,4,,
BIRORI,SILVIO BERLUSCONI BIRORI,IL POPOLO DELLA LIBERTA',75,,
BIRORI,,FRATELLI D'ITALIA,10,,
BIRORI,,PARTITO PENSIONATI,2,,
BIRORI,,LEGA NORD,0,,
BIRORI,,GRANDE SUD - MPA,0,,
BIRORI,,MIR - MODERATI IN RIVOLUZIONE,0,,
BIRORI,,LA DESTRA,0,,
BIRORI,GIUSEPPE PIERO GRILLO BIRORI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,65,,
BIRORI,MARIO MONTI BIRORI,SCELTA CIVICA CON MONTI PER L'ITALIA,26,,
BIRORI,,UNIONE DI CENTRO,5,,
BIRORI,,FUTURO E LIBERTA',2,,
BIRORI,ANTONIO INGROIA BIRORI,RIVOLUZIONE CIVILE,9,,
BIRORI,OSCAR FULVIO GIANNINO BIRORI,FARE PER FERMARE IL DECLINO,1,,
BIRORI,MARCO FERRANDO BIRORI,PARTITO COMUNISTA DEI LAVORATORI,1,,
BIRORI,ROBERTO FIORE BIRORI,FORZA NUOVA,0,,
BIRORI,GIACINTO MARCO PANNELLA BIRORI,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
BIRORI,RENATA JANNUZZI BIRORI,LIBERALI PER L'ITALIA - PLI,0,,
BIRORI,GIOVANNI ANGELO COLLI BIRORI,PS D'AZ.,4,,
BIRORI,PIETRO MURRU BIRORI,INDIPENDENZA PER LA SARDEGNA,2,,
BIRORI,SALVATORE MELONI BIRORI,MERIS,0,,
BITTI,PIER LUIGI BERSANI BITTI,PARTITO DEMOCRATICO,460,,
BITTI,,SINISTRA ECOLOGIA LIBERTA',55,,
BITTI,,CENTRO DEMOCRATICO,25,,
BITTI,SILVIO BERLUSCONI BITTI,IL POPOLO DELLA LIBERTA',185,,
BITTI,,FRATELLI D'ITALIA,18,,
BITTI,,LA DESTRA,6,,
BITTI,,PARTITO PENSIONATI,6,,
BITTI,,LEGA NORD,1,,
BITTI,,MIR - MODERATI IN RIVOLUZIONE,1,,
BITTI,,GRANDE SUD - MPA,0,,
BITTI,GIUSEPPE PIERO GRILLO BITTI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,254,,
BITTI,MARIO MONTI BITTI,SCELTA CIVICA CON MONTI PER L'ITALIA,178,,
BITTI,,UNIONE DI CENTRO,53,,
BITTI,,FUTURO E LIBERTA',24,,
BITTI,ANTONIO INGROIA BITTI,RIVOLUZIONE CIVILE,57,,
BITTI,OSCAR FULVIO GIANNINO BITTI,FARE PER FERMARE IL DECLINO,6,,
BITTI,MARCO FERRANDO BITTI,PARTITO COMUNISTA DEI LAVORATORI,7,,
BITTI,ROBERTO FIORE BITTI,FORZA NUOVA,2,,
BITTI,GIACINTO MARCO PANNELLA BITTI,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BITTI,RENATA JANNUZZI BITTI,LIBERALI PER L'ITALIA - PLI,6,,
BITTI,GIOVANNI ANGELO COLLI BITTI,PS D'AZ.,43,,
BITTI,PIETRO MURRU BITTI,INDIPENDENZA PER LA SARDEGNA,130,,
BITTI,SALVATORE MELONI BITTI,MERIS,0,,
BOLOTANA,PIER LUIGI BERSANI BOLOTANA,PARTITO DEMOCRATICO,615,,
BOLOTANA,,SINISTRA ECOLOGIA LIBERTA',38,,
BOLOTANA,,CENTRO DEMOCRATICO,10,,
BOLOTANA,SILVIO BERLUSCONI BOLOTANA,IL POPOLO DELLA LIBERTA',158,,
BOLOTANA,,FRATELLI D'ITALIA,12,,
BOLOTANA,,PARTITO PENSIONATI,4,,
BOLOTANA,,GRANDE SUD - MPA,3,,
BOLOTANA,,LA DESTRA,1,,
BOLOTANA,,LEGA NORD,1,,
BOLOTANA,,MIR - MODERATI IN RIVOLUZIONE,0,,
BOLOTANA,GIUSEPPE PIERO GRILLO BOLOTANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,351,,
BOLOTANA,MARIO MONTI BOLOTANA,SCELTA CIVICA CON MONTI PER L'ITALIA,101,,
BOLOTANA,,UNIONE DI CENTRO,19,,
BOLOTANA,,FUTURO E LIBERTA',5,,
BOLOTANA,ANTONIO INGROIA BOLOTANA,RIVOLUZIONE CIVILE,42,,
BOLOTANA,OSCAR FULVIO GIANNINO BOLOTANA,FARE PER FERMARE IL DECLINO,6,,
BOLOTANA,MARCO FERRANDO BOLOTANA,PARTITO COMUNISTA DEI LAVORATORI,5,,
BOLOTANA,ROBERTO FIORE BOLOTANA,FORZA NUOVA,3,,
BOLOTANA,GIACINTO MARCO PANNELLA BOLOTANA,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BOLOTANA,RENATA JANNUZZI BOLOTANA,LIBERALI PER L'ITALIA - PLI,17,,
BOLOTANA,GIOVANNI ANGELO COLLI BOLOTANA,PS D'AZ.,44,,
BOLOTANA,PIETRO MURRU BOLOTANA,INDIPENDENZA PER LA SARDEGNA,8,,
BOLOTANA,SALVATORE MELONI BOLOTANA,MERIS,3,,
BORORE,PIER LUIGI BERSANI BORORE,SINISTRA ECOLOGIA LIBERTA',316,,
BORORE,,PARTITO DEMOCRATICO,220,,
BORORE,,CENTRO DEMOCRATICO,4,,
BORORE,SILVIO BERLUSCONI BORORE,IL POPOLO DELLA LIBERTA',230,,
BORORE,,FRATELLI D'ITALIA,31,,
BORORE,,LA DESTRA,13,,
BORORE,,PARTITO PENSIONATI,7,,
BORORE,,GRANDE SUD - MPA,1,,
BORORE,,MIR - MODERATI IN RIVOLUZIONE,1,,
BORORE,,LEGA NORD,0,,
BORORE,GIUSEPPE PIERO GRILLO BORORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,241,,
BORORE,MARIO MONTI BORORE,SCELTA CIVICA CON MONTI PER L'ITALIA,87,,
BORORE,,UNIONE DI CENTRO,28,,
BORORE,,FUTURO E LIBERTA',12,,
BORORE,ANTONIO INGROIA BORORE,RIVOLUZIONE CIVILE,15,,
BORORE,OSCAR FULVIO GIANNINO BORORE,FARE PER FERMARE IL DECLINO,4,,
BORORE,MARCO FERRANDO BORORE,PARTITO COMUNISTA DEI LAVORATORI,5,,
BORORE,ROBERTO FIORE BORORE,FORZA NUOVA,3,,
BORORE,GIACINTO MARCO PANNELLA BORORE,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
BORORE,RENATA JANNUZZI BORORE,LIBERALI PER L'ITALIA - PLI,4,,
BORORE,GIOVANNI ANGELO COLLI BORORE,PS D'AZ.,19,,
BORORE,PIETRO MURRU BORORE,INDIPENDENZA PER LA SARDEGNA,6,,
BORORE,SALVATORE MELONI BORORE,MERIS,1,,
BORTIGALI,PIER LUIGI BERSANI BORTIGALI,PARTITO DEMOCRATICO,205,,
BORTIGALI,,SINISTRA ECOLOGIA LIBERTA',28,,
BORTIGALI,,CENTRO DEMOCRATICO,3,,
BORTIGALI,SILVIO BERLUSCONI BORTIGALI,IL POPOLO DELLA LIBERTA',94,,
BORTIGALI,,FRATELLI D'ITALIA,66,,
BORTIGALI,,PARTITO PENSIONATI,9,,
BORTIGALI,,GRANDE SUD - MPA,3,,
BORTIGALI,,LA DESTRA,2,,
BORTIGALI,,LEGA NORD,0,,
BORTIGALI,,MIR - MODERATI IN RIVOLUZIONE,0,,
BORTIGALI,GIUSEPPE PIERO GRILLO BORTIGALI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,155,,
BORTIGALI,MARIO MONTI BORTIGALI,SCELTA CIVICA CON MONTI PER L'ITALIA,85,,
BORTIGALI,,UNIONE DI CENTRO,13,,
BORTIGALI,,FUTURO E LIBERTA',2,,
BORTIGALI,ANTONIO INGROIA BORTIGALI,RIVOLUZIONE CIVILE,31,,
BORTIGALI,OSCAR FULVIO GIANNINO BORTIGALI,FARE PER FERMARE IL DECLINO,2,,
BORTIGALI,MARCO FERRANDO BORTIGALI,PARTITO COMUNISTA DEI LAVORATORI,2,,
BORTIGALI,ROBERTO FIORE BORTIGALI,FORZA NUOVA,5,,
BORTIGALI,GIACINTO MARCO PANNELLA BORTIGALI,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BORTIGALI,RENATA JANNUZZI BORTIGALI,LIBERALI PER L'ITALIA - PLI,3,,
BORTIGALI,GIOVANNI ANGELO COLLI BORTIGALI,PS D'AZ.,12,,
BORTIGALI,PIETRO MURRU BORTIGALI,INDIPENDENZA PER LA SARDEGNA,23,,
BORTIGALI,SALVATORE MELONI BORTIGALI,MERIS,5,,
DESULO,PIER LUIGI BERSANI DESULO,PARTITO DEMOCRATICO,239,,
DESULO,,CENTRO DEMOCRATICO,51,,
DESULO,,SINISTRA ECOLOGIA LIBERTA',30,,
DESULO,SILVIO BERLUSCONI DESULO,FRATELLI D'ITALIA,255,,
DESULO,,IL POPOLO DELLA LIBERTA',207,,
DESULO,,LA DESTRA,4,,
DESULO,,LEGA NORD,1,,
DESULO,,MIR - MODERATI IN RIVOLUZIONE,1,,
DESULO,,GRANDE SUD - MPA,0,,
DESULO,,PARTITO PENSIONATI,0,,
DESULO,GIUSEPPE PIERO GRILLO DESULO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,271,,
DESULO,MARIO MONTI DESULO,SCELTA CIVICA CON MONTI PER L'ITALIA,59,,
DESULO,,UNIONE DI CENTRO,20,,
DESULO,,FUTURO E LIBERTA',5,,
DESULO,ANTONIO INGROIA DESULO,RIVOLUZIONE CIVILE,20,,
DESULO,OSCAR FULVIO GIANNINO DESULO,FARE PER FERMARE IL DECLINO,0,,
DESULO,MARCO FERRANDO DESULO,PARTITO COMUNISTA DEI LAVORATORI,4,,
DESULO,ROBERTO FIORE DESULO,FORZA NUOVA,0,,
DESULO,GIACINTO MARCO PANNELLA DESULO,LISTA AMNISTIA GIUSTIZIA LIBERTA',15,,
DESULO,RENATA JANNUZZI DESULO,LIBERALI PER L'ITALIA - PLI,3,,
DESULO,GIOVANNI ANGELO COLLI DESULO,PS D'AZ.,10,,
DESULO,PIETRO MURRU DESULO,INDIPENDENZA PER LA SARDEGNA,5,,
DESULO,SALVATORE MELONI DESULO,MERIS,2,,
DORGALI,PIER LUIGI BERSANI DORGALI,PARTITO DEMOCRATICO,1530,,
DORGALI,,SINISTRA ECOLOGIA LIBERTA',137,,
DORGALI,,CENTRO DEMOCRATICO,5,,
DORGALI,SILVIO BERLUSCONI DORGALI,IL POPOLO DELLA LIBERTA',616,,
DORGALI,,FRATELLI D'ITALIA,34,,
DORGALI,,PARTITO PENSIONATI,17,,
DORGALI,,LA DESTRA,16,,
DORGALI,,MIR - MODERATI IN RIVOLUZIONE,7,,
DORGALI,,LEGA NORD,6,,
DORGALI,,GRANDE SUD - MPA,0,,
DORGALI,GIUSEPPE PIERO GRILLO DORGALI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1561,,
DORGALI,MARIO MONTI DORGALI,SCELTA CIVICA CON MONTI PER L'ITALIA,263,,
DORGALI,,UNIONE DI CENTRO,129,,
DORGALI,,FUTURO E LIBERTA',44,,
DORGALI,ANTONIO INGROIA DORGALI,RIVOLUZIONE CIVILE,113,,
DORGALI,OSCAR FULVIO GIANNINO DORGALI,FARE PER FERMARE IL DECLINO,15,,
DORGALI,MARCO FERRANDO DORGALI,PARTITO COMUNISTA DEI LAVORATORI,23,,
DORGALI,ROBERTO FIORE DORGALI,FORZA NUOVA,8,,
DORGALI,GIACINTO MARCO PANNELLA DORGALI,LISTA AMNISTIA GIUSTIZIA LIBERTA',6,,
DORGALI,RENATA JANNUZZI DORGALI,LIBERALI PER L'ITALIA - PLI,9,,
DORGALI,GIOVANNI ANGELO COLLI DORGALI,PS D'AZ.,271,,
DORGALI,PIETRO MURRU DORGALI,INDIPENDENZA PER LA SARDEGNA,117,,
DORGALI,SALVATORE MELONI DORGALI,MERIS,8,,
DUALCHI,PIER LUIGI BERSANI DUALCHI,PARTITO DEMOCRATICO,124,,
DUALCHI,,CENTRO DEMOCRATICO,23,,
DUALCHI,,SINISTRA ECOLOGIA LIBERTA',17,,
DUALCHI,SILVIO BERLUSCONI DUALCHI,IL POPOLO DELLA LIBERTA',62,,
DUALCHI,,FRATELLI D'ITALIA,6,,
DUALCHI,,GRANDE SUD - MPA,2,,
DUALCHI,,LA DESTRA,2,,
DUALCHI,,LEGA NORD,2,,
DUALCHI,,PARTITO PENSIONATI,2,,
DUALCHI,,MIR - MODERATI IN RIVOLUZIONE,0,,
DUALCHI,GIUSEPPE PIERO GRILLO DUALCHI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,64,,
