Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ABANO TERME ,15321,12807,96,302,
AGNA ,2657,2169,34,96,
ALBIGNASEGO ,19229,16612,104,415,
ANGUILLARA VENETA ,3746,2985,31,111,
ARQUA' PETRARCA ,1545,1304,10,39,
ARRE ,1784,1510,27,64,
ARZERGRANDE ,3831,3318,31,112,
BAGNOLI DI SOPRA ,2845,2331,44,106,
BAONE ,2654,2275,24,63,
BARBONA ,582,450,13,23,
BATTAGLIA TERME ,3055,2584,20,80,
BOARA PISANI ,2163,1788,24,81,
BORGORICCO ,6199,5263,41,183,
BOVOLENTA ,2711,2293,11,46,
BRUGINE ,5419,4605,35,173,
CADONEGHE ,11885,10230,64,281,
CAMPO SAN MARTINO ,4346,3767,24,131,
CAMPODARSEGO ,10803,9311,63,337,
CAMPODORO ,2007,1726,5,51,
CAMPOSAMPIERO ,8466,7280,75,261,
CANDIANA ,1954,1597,20,61,
CARCERI ,1299,1076,13,45,
CARMIGNANO DI BRENTA ,5727,4851,47,194,
CARTURA ,3659,3050,35,109,
CASALE DI SCODOSIA ,3729,3086,55,136,
CASALSERUGO ,4406,3814,35,131,
CASTELBALDO ,1272,1043,14,37,
CERVARESE SANTA CROCE ,4390,3772,22,121,
CINTO EUGANEO ,1660,1315,14,46,
CITTADELLA ,15521,13423,114,468,
CODEVIGO ,5013,4171,54,146,
CONSELVE ,7861,6494,61,210,
CORREZZOLA ,4365,3672,45,143,
CURTAROLO ,5446,4652,40,158,
DUE CARRARE ,7054,6027,49,170,
ESTE ,13258,11010,88,354,
FONTANIVA ,6051,5190,47,182,
GALLIERA VENETA ,5300,4524,38,166,
GALZIGNANO TERME ,3626,3009,29,104,
GAZZO ,3182,2653,28,93,
GRANTORTO ,3347,2822,34,117,
GRANZE ,1572,1267,22,59,
LEGNARO ,6657,5765,57,196,
LIMENA ,5856,5085,25,124,
LOREGGIA ,5123,4420,35,164,
LOZZO ATESTINO ,2633,2219,44,98,
MASERA' DI PADOVA ,6955,5932,50,183,
MASI ,1416,1123,13,49,
MASSANZAGO ,4177,3535,30,125,
MEGLIADINO SAN FIDENZIO ,1533,1264,19,58,
MEGLIADINO SAN VITALE ,1557,1299,17,49,
MERLARA ,2319,1883,22,71,
MESTRINO ,7888,6775,55,187,
MONSELICE ,14018,11762,110,357,
MONTAGNANA ,7403,6078,76,215,
MONTEGROTTO TERME ,8794,7310,56,217,
NOVENTA PADOVANA ,8190,6931,45,142,
OSPEDALETTO EUGANEO ,4548,3843,37,138,
PADOVA ,155610,128851,665,2594,
PERNUMIA ,3134,2655,22,85,
PIACENZA D'ADIGE ,1064,865,13,35,
PIAZZOLA SUL BRENTA ,8598,7340,47,243,
PIOMBINO DESE ,6744,5754,65,210,
PIOVE DI SACCO ,14710,12279,109,371,
POLVERARA ,2525,2223,29,95,
PONSO ,1970,1704,43,78,
PONTE SAN NICOLO' ,10406,9141,46,227,
PONTELONGO ,2890,2371,18,74,
POZZONOVO ,2941,2464,30,98,
ROVOLON ,3641,3074,29,98,
RUBANO ,12097,10081,46,225,
SACCOLONGO ,3930,3354,25,105,
SALETTO ,2153,1823,20,68,
SAN GIORGIO DELLE PERTICHE ,7172,6204,53,203,
SAN GIORGIO IN BOSCO ,4748,4145,38,143,
SAN MARTINO DI LUPARI ,9685,8281,59,263,
SAN PIETRO IN GU ,3419,2917,27,104,
SAN PIETRO VIMINARIO ,2389,2011,19,71,
SANT'ANGELO DI PIOVE DI SACCO ,5595,4809,42,162,
SANT'ELENA ,1904,1601,19,50,
SANT'URBANO ,1797,1442,20,57,
SANTA GIUSTINA IN COLLE ,5366,4610,37,165,
SANTA MARGHERITA D'ADIGE ,1854,1519,27,66,
SAONARA ,7570,6534,34,175,
SELVAZZANO DENTRO ,17121,14533,99,341,
SOLESINO ,5734,4707,49,163,
STANGHELLA ,3453,2860,27,94,
TEOLO ,7141,6090,57,209,
TERRASSA PADOVANA ,2088,1813,20,74,
TOMBOLO ,5956,4966,36,166,
TORREGLIA ,4963,4158,25,116,
TREBASELEGHE ,9257,7921,76,280,
TRIBANO ,3404,2878,41,103,
URBANA ,1820,1564,29,70,
VEGGIANO ,3274,2794,21,85,
VESCOVANA ,1469,1228,21,49,
VIGHIZZOLO D'ESTE ,781,646,9,29,
VIGODARZERE ,9987,8507,49,230,
VIGONZA ,17073,14538,99,400,
VILLA DEL CONTE ,4142,3614,16,94,
VILLA ESTENSE ,1901,1571,19,66,
VILLAFRANCA PADOVANA ,7550,6445,38,198,
VILLANOVA DI CAMPOSAMPIERO ,4481,3922,32,123,
VO' ,2777,2299,15,69,
