Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ARENZANO ,9057,7374,48,134,
AVEGNO ,1945,1468,12,33,
BARGAGLI ,2123,1446,10,34,
BOGLIASCO ,3509,2758,12,33,
BORZONASCA ,1638,1010,11,36,
BUSALLA ,4446,3429,23,80,
CAMOGLI ,4272,3350,13,76,
CAMPO LIGURE ,2394,1778,16,47,
CAMPOMORONE ,5655,4359,32,111,
CARASCO ,2571,1910,23,81,
CASARZA LIGURE ,5033,3994,33,116,
CASELLA ,2500,1905,18,43,
CASTIGLIONE CHIAVARESE ,1226,850,9,36,
CERANESI ,3043,2354,24,66,
CHIAVARI ,20609,15781,106,373,
CICAGNA ,1844,1294,18,78,
COGOLETO ,7185,5807,45,165,
COGORNO ,4289,3283,38,121,
COREGLIA LIGURE ,212,138,0,4,
CROCEFIESCHI ,441,301,5,12,
DAVAGNA ,1594,1099,10,24,
FASCIA ,90,56,2,2,
FAVALE DI MALVARO ,352,255,9,15,
FONTANIGORDA ,248,141,1,5,
GENOVA ,444523,331658,1383,5415,
GORRETO ,94,54,0,2,
ISOLA DEL CANTONE ,1163,874,15,35,
LAVAGNA ,9852,7555,81,220,
LEIVI ,1834,1416,14,36,
LORSICA ,403,273,8,13,
LUMARZO ,1266,832,10,31,
MASONE ,2842,2247,16,52,
MELE ,2119,1641,10,47,
MEZZANEGO ,1086,746,15,32,
MIGNANEGO ,2878,2199,14,41,
MOCONESI ,1996,1317,32,68,
MONEGLIA ,2243,1677,13,41,
MONTEBRUNO ,191,119,1,2,
MONTOGGIO ,1596,1140,13,29,
NE ,1780,1203,12,48,
NEIRONE ,769,479,7,14,
ORERO ,460,313,2,15,
PIEVE LIGURE ,1993,1579,11,29,
PORTOFINO ,350,259,0,7,
PROPATA ,132,76,2,3,
RAPALLO ,22336,16514,108,387,
RECCO ,7711,6048,44,146,
REZZOAGLIO ,930,470,7,22,
RONCO SCRIVIA ,3467,2563,18,62,
RONDANINA ,64,28,2,3,
ROSSIGLIONE ,2266,1704,17,50,
ROVEGNO ,440,258,1,3,
SAN COLOMBANO CERTENOLI ,2020,1397,17,45,
SANT'OLCESE ,4701,3731,28,93,
SANTA MARGHERITA LIGURE ,7470,5709,45,154,
SANTO STEFANO D'AVETO ,994,530,11,27,
SAVIGNONE ,2434,1840,19,55,
SERRA RICCO' ,6118,4820,29,96,
SESTRI LEVANTE ,14385,11159,83,260,
SORI ,3406,2561,24,76,
TIGLIETO ,453,315,3,6,
TORRIGLIA ,1970,1320,4,27,
TRIBOGNA ,469,313,3,11,
USCIO ,1824,1316,9,35,
VALBREVENNA ,683,479,3,13,
VOBBIA ,387,238,3,8,
ZOAGLI ,1984,1467,8,36,
