Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ARCIDOSSO ,3045,2052,15,82,
CAMPAGNATICO ,1903,1453,24,57,
CAPALBIO ,2968,2286,20,66,
CASTEL DEL PIANO ,3282,2358,24,89,
CASTELL'AZZARA ,1281,875,6,48,
CASTIGLIONE DELLA PESCAIA ,5741,4479,29,111,
CINIGIANO ,1880,1353,23,70,
CIVITELLA PAGANICO ,2202,1712,27,91,
FOLLONICA ,16376,12967,86,305,
GAVORRANO ,6446,4945,37,135,
GROSSETO ,59535,46386,338,1190,
ISOLA DEL GIGLIO ,1113,681,10,19,
MAGLIANO IN TOSCANA ,2836,2208,25,73,
MANCIANO ,5445,4183,53,165,
MASSA MARITTIMA ,6417,4867,47,151,
MONTE ARGENTARIO ,9793,7138,60,210,
MONTEROTONDO MARITTIMO ,852,696,7,40,
MONTIERI ,798,569,5,29,
ORBETELLO ,11322,8586,69,288,
PITIGLIANO ,3010,2349,29,113,
ROCCALBEGNA ,814,518,16,44,
ROCCASTRADA ,6698,5133,51,172,
SANTA FIORA ,2007,1438,14,48,
SCANSANO ,3229,2401,39,122,
SCARLINO ,2856,2267,15,63,
SEGGIANO ,691,468,9,24,
SEMPRONIANO ,885,623,13,23,
SORANO ,2794,2041,27,92,
