Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACI BONACCORSI ,2396,1802,26,85,
ACI CASTELLO ,14046,10167,76,270,
ACI CATENA ,20316,13721,165,579,
ACI SANT'ANTONIO ,12200,8776,113,404,
ACIREALE ,38200,27198,384,1409,
ADRANO ,24248,14255,199,725,
BELPASSO ,18805,12690,173,589,
BIANCAVILLA ,16300,10500,164,538,
BRONTE ,13421,8850,201,822,
CALATABIANO ,4021,2609,71,163,
CALTAGIRONE ,27464,18030,215,664,
CAMPOROTONDO ETNEO ,3304,2387,29,94,
CASTEL DI IUDICA ,3345,2102,44,136,
CASTIGLIONE DI SICILIA ,2476,1639,43,134,
CATANIA ,226006,139263,1321,4640,
FIUMEFREDDO DI SICILIA ,7033,4775,69,222,
GIARRE ,20006,14189,156,548,
GRAMMICHELE ,9534,6150,63,256,
GRAVINA DI CATANIA ,19656,13587,91,360,
LICODIA EUBEA ,2090,1246,37,72,
LINGUAGLOSSA ,3868,2702,60,190,
MALETTO ,2803,1794,62,143,
MANIACE ,2466,1638,116,291,
MASCALI ,9859,6834,102,281,
MASCALUCIA ,21877,15548,86,362,
MAZZARRONE ,2533,1695,38,94,
MILITELLO IN VAL DI CATANIA ,5842,3634,78,313,
MILO ,842,551,5,24,
MINEO ,3779,2338,47,132,
MIRABELLA IMBACCARI ,3969,2540,52,135,
MISTERBIANCO ,33479,21590,222,756,
MOTTA SANT'ANASTASIA ,8104,5317,56,195,
NICOLOSI ,5137,3810,47,170,
PALAGONIA ,10983,5756,88,239,
PATERNO' ,33753,22649,303,1060,
PEDARA ,9687,7161,61,224,
PIEDIMONTE ETNEO ,3006,2104,38,113,
RADDUSA ,2287,1446,33,88,
RAGALNA ,2712,1987,31,108,
RAMACCA ,7033,4460,74,211,
RANDAZZO ,8126,5086,110,348,
RIPOSTO ,10820,7216,97,284,
SAN CONO ,1915,1218,15,53,
SAN GIOVANNI LA PUNTA ,16243,11882,94,371,
SAN GREGORIO DI CATANIA ,8593,6526,44,181,
SAN MICHELE DI GANZARIA ,2507,1483,19,62,
SAN PIETRO CLARENZA ,5032,3675,37,132,
SANT'AGATA LI BATTIATI ,7376,5507,26,102,
SANT'ALFIO ,1173,832,22,68,
SANTA MARIA DI LICODIA ,5154,3474,68,197,
SANTA VENERINA ,6118,4586,85,285,
SCORDIA ,12216,8132,152,398,
TRECASTAGNI ,7556,5558,33,176,
TREMESTIERI ETNEO ,15290,11503,99,298,
VALVERDE ,5541,4097,26,144,
VIAGRANDE ,5946,4499,37,132,
VIZZINI ,4832,2809,71,198,
ZAFFERANA ETNEA ,6621,4837,87,264,
