Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ABBADIA LARIANA ,2386,1909,27,73,
AIRUNO ,1984,1595,15,57,
ANNONE DI BRIANZA ,1623,1363,18,55,
BALLABIO ,2771,2209,11,59,
BARZAGO ,1760,1411,19,52,
BARZANO' ,3716,2988,28,99,
BARZIO ,1008,763,15,35,
BELLANO ,2559,1971,28,93,
BOSISIO PARINI ,2510,2010,17,71,
BRIVIO ,3262,2596,27,109,
BULCIAGO ,1950,1612,27,57,
CALCO ,3574,2804,20,98,
CALOLZIOCORTE ,9965,7708,88,311,
CARENNO ,1067,840,14,50,
CASARGO ,643,474,15,47,
CASATENOVO ,9275,7621,79,236,
CASSAGO BRIANZA ,3162,2547,24,82,
CASSINA VALSASSINA ,381,282,4,16,
CASTELLO DI BRIANZA ,1745,1438,18,60,
CERNUSCO LOMBARDONE ,2632,2068,13,58,
CESANA BRIANZA ,1779,1474,30,80,
CIVATE ,2877,2343,27,95,
COLICO ,5499,4176,62,164,
COLLE BRIANZA ,1267,969,9,37,
CORTENOVA ,917,681,11,38,
COSTA MASNAGA ,3414,2677,33,113,
CRANDOLA VALSASSINA ,206,155,5,15,
CREMELLA ,1243,1011,12,40,
CREMENO ,1074,820,16,43,
DERVIO ,2064,1606,17,51,
DOLZAGO ,1698,1386,17,54,
DORIO ,261,196,4,14,
ELLO ,909,713,7,27,
ERVE ,531,369,6,16,
ESINO LARIO ,574,418,8,38,
GALBIATE ,6272,4975,43,161,
GARBAGNATE MONASTERO ,1696,1448,20,53,
GARLATE ,1895,1538,23,72,
IMBERSAGO ,1807,1443,15,45,
INTROBIO ,1376,1054,18,43,
INTROZZO ,101,72,3,11,
LECCO ,33896,26759,242,771,
LIERNA ,1555,1223,12,34,
LOMAGNA ,3440,2810,35,91,
MALGRATE ,2965,2445,24,67,
MANDELLO DEL LARIO ,7908,6213,56,216,
MARGNO ,288,240,4,8,
MERATE ,10575,8538,61,226,
MISSAGLIA ,6217,4980,33,120,
MOGGIO ,376,297,7,21,
MOLTENO ,2530,2022,20,67,
MONTE MARENZO ,1340,1080,16,44,
MONTEVECCHIA ,1826,1476,13,34,
MONTICELLO BRIANZA ,3086,2426,40,86,
MORTERONE ,31,21,0,0,
NIBIONNO ,2496,1945,18,78,
OGGIONO ,6196,4883,54,167,
OLGIATE MOLGORA ,4411,3454,36,117,
OLGINATE ,4956,3959,39,151,
OLIVETO LARIO ,883,693,9,29,
OSNAGO ,3305,2675,25,78,
PADERNO D'ADDA ,2687,2187,15,67,
PAGNONA ,328,225,6,33,
PARLASCO ,119,98,3,18,
PASTURO ,1352,1060,26,60,
PEREGO ,1263,972,9,26,
PERLEDO ,770,515,3,19,
PESCATE ,1485,1237,10,34,
PREMANA ,1633,1307,26,110,
PRIMALUNA ,1464,1138,16,59,
ROBBIATE ,4262,3411,24,96,
ROGENO ,2226,1797,17,63,
ROVAGNATE ,2020,1598,9,48,
SANTA MARIA HOE' ,1539,1234,11,38,
SIRONE ,1691,1388,16,52,
SIRTORI ,2072,1596,11,42,
SUEGLIO ,129,83,1,9,
SUELLO ,1249,1031,14,36,
TACENO ,364,281,7,16,
TORRE DE' BUSI ,1457,1039,17,45,
TREMENICO ,163,114,7,13,
VALGREGHENTINO ,2460,2023,17,88,
VALMADRERA ,8053,6637,78,251,
VARENNA ,644,502,10,21,
VENDROGNO ,256,173,2,6,
VERCURAGO ,2138,1711,11,57,
VERDERIO INFERIORE ,2046,1706,12,47,
VERDERIO SUPERIORE ,1878,1531,10,49,
VESTRENO ,227,145,4,10,
VIGANO' ,1491,1182,19,47,
