Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGORDO ,3403,2365,27,112,
ALANO DI PIAVE ,2014,1561,26,76,
ALLEGHE ,1066,691,2,25,
ARSIE' ,2050,1559,6,55,
AURONZO DI CADORE ,2824,1950,32,93,
BELLUNO ,28782,21905,158,584,
BORCA DI CADORE ,630,399,1,10,
CALALZO DI CADORE ,1737,1321,11,38,
CANALE D'AGORDO ,980,672,9,28,
CASTELLAVAZZO ,1296,906,5,43,
CENCENIGHE AGORDINO ,1142,713,7,31,
CESIOMAGGIORE ,3387,2524,17,115,
CHIES D'ALPAGO ,1194,876,8,59,
CIBIANA DI CADORE ,358,209,0,9,
COLLE SANTA LUCIA ,323,198,2,19,
COMELICO SUPERIORE ,1910,1282,15,49,
CORTINA D'AMPEZZO ,4789,3454,24,155,
DANTA DI CADORE ,418,209,5,17,
DOMEGGE DI CADORE ,2057,1423,12,72,
FALCADE ,1698,1139,5,50,
FARRA D'ALPAGO ,2048,1519,17,64,
FELTRE ,16232,12449,77,409,
FONZASO ,2646,1925,12,62,
FORNO DI ZOLDO ,2081,1229,10,41,
GOSALDO ,599,400,3,30,
LA VALLE AGORDINA ,941,643,3,34,
LAMON ,2636,1855,14,61,
LENTIAI ,2345,1826,12,76,
LIMANA ,4084,3139,20,103,
LIVINALLONGO DEL COL DI LANA ,1113,609,6,60,
LONGARONE ,3070,2096,17,94,
LORENZAGO DI CADORE ,477,319,4,19,
LOZZO DI CADORE ,1134,767,6,33,
MEL ,4929,3700,35,148,
OSPITALE DI CADORE ,235,170,1,7,
PEDAVENA ,3572,2650,12,94,
PERAROLO DI CADORE ,273,205,5,14,
PIEVE D'ALPAGO ,1511,1159,9,45,
PIEVE DI CADORE ,3133,2150,15,91,
PONTE NELLE ALPI ,6635,5168,50,189,
PUOS D'ALPAGO ,1981,1549,11,60,
QUERO ,1751,1300,13,60,
RIVAMONTE AGORDINO ,560,375,5,23,
ROCCA PIETORE ,1113,701,6,34,
SAN GREGORIO NELLE ALPI ,1309,1012,13,40,
SAN NICOLO' DI COMELICO ,345,236,1,3,
SAN PIETRO DI CADORE ,1397,846,3,33,
SAN TOMASO AGORDINO ,596,314,7,18,
SAN VITO DI CADORE ,1462,1043,7,31,
SANTA GIUSTINA ,5439,4247,32,163,
SANTO STEFANO DI CADORE ,2262,1403,16,58,
SAPPADA ,1084,708,9,34,
SEDICO ,7742,5959,41,248,
SELVA DI CADORE ,437,229,2,14,
SEREN DEL GRAPPA ,2080,1523,10,63,
SOSPIROLO ,2616,1913,22,82,
SOVERZENE ,332,279,1,9,
SOVRAMONTE ,1264,933,6,43,
TAIBON AGORDINO ,1415,954,8,44,
TAMBRE ,1199,820,11,59,
TRICHIANA ,3912,3055,21,127,
VALLADA AGORDINA ,415,291,1,12,
VALLE DI CADORE ,1628,1046,11,41,
VAS ,631,473,7,22,
VIGO DI CADORE ,1264,761,4,26,
VODO CADORE ,724,486,1,11,
VOLTAGO AGORDINO ,746,489,5,20,
ZOLDO ALTO ,841,445,11,31,
ZOPPE' DI CADORE ,227,132,2,8,
