Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AUGUSTA ,29836,20077,160,515,
AVOLA ,25717,15231,314,851,
BUCCHERI ,1745,1170,19,48,
BUSCEMI ,897,593,10,29,
CANICATTINI BAGNI ,5955,3938,75,169,
CARLENTINI ,14898,9866,105,452,
CASSARO ,655,447,8,18,
FERLA ,2153,1277,33,124,
FLORIDIA ,17965,11783,122,389,
FRANCOFONTE ,10548,6253,137,379,
LENTINI ,20460,12079,137,524,
MELILLI ,10820,7437,92,273,
NOTO ,18940,11359,181,583,
PACHINO ,17102,9597,172,476,
PALAZZOLO ACREIDE ,7361,5015,94,267,
PORTOPALO DI CAPO PASSERO ,2920,1908,46,88,
PRIOLO GARGALLO ,9782,7092,77,218,
ROSOLINI ,16606,10989,258,598,
SIRACUSA ,97840,64000,428,1421,
SOLARINO ,6280,4139,49,119,
SORTINO ,7385,5228,91,273,
