Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGGIUS ,1257,833,10,33,
AGLIENTU ,926,526,17,33,
ALA' DEI SARDI ,1372,713,11,48,
ARZACHENA ,9324,6342,70,205,
BADESI ,1449,938,19,54,
BERCHIDDA ,2233,1499,27,71,
BORTIGIADAS ,631,362,11,23,
BUDDUSO' ,2804,1490,14,73,
BUDONI ,3710,2393,30,68,
CALANGIANUS ,3250,2297,31,83,
GOLFO ARANCI ,1813,1169,12,33,
LA MADDALENA ,8668,5944,36,127,
LOIRI PORTO SAN PAOLO ,2585,1826,20,39,
LUOGOSANTO ,1402,914,26,44,
LURAS ,1919,1156,22,55,
MONTI ,1884,1295,12,51,
OLBIA ,39865,27711,191,619,
OSCHIRI ,2678,1785,43,73,
PADRU ,1597,971,16,53,
PALAU ,2933,1962,19,61,
SAN TEODORO ,3490,2291,18,50,
SANT'ANTONIO DI GALLURA ,1159,751,11,48,
SANTA TERESA GALLURA ,3815,2482,33,97,
TELTI ,1688,1235,21,53,
TEMPIO PAUSANIA ,10746,7005,67,244,
TRINITA' D'AGULTU E VIGNOLA ,1722,1104,18,38,
