Ente,Candidato,Liste/Gruppi,Voti lista,,
ALBUZZANO,PIER LUIGI BERSANI ALBUZZANO,PARTITO DEMOCRATICO,461,,
ALBUZZANO,,SINISTRA ECOLOGIA LIBERTA',29,,
ALBUZZANO,,CENTRO DEMOCRATICO,5,,
ALBUZZANO,,MODERATI,3,,
ALBUZZANO,SILVIO BERLUSCONI ALBUZZANO,IL POPOLO DELLA LIBERTA',424,,
ALBUZZANO,,LEGA NORD,219,,
ALBUZZANO,,FRATELLI D'ITALIA,27,,
ALBUZZANO,,PARTITO PENSIONATI,15,,
ALBUZZANO,,BASTA TASSE,7,,
ALBUZZANO,,LA DESTRA,3,,
ALBUZZANO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALBUZZANO,GIUSEPPE PIERO GRILLO ALBUZZANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,375,,
ALBUZZANO,MARIO MONTI ALBUZZANO,CON MONTI PER L'ITALIA,129,,
ALBUZZANO,ANTONIO INGROIA ALBUZZANO,RIVOLUZIONE CIVILE,15,,
ALBUZZANO,OSCAR FULVIO GIANNINO ALBUZZANO,FARE PER FERMARE IL DECLINO,36,,
ALBUZZANO,MARCO FERRANDO ALBUZZANO,PARTITO COMUNISTA DEI LAVORATORI,7,,
ALBUZZANO,ROBERTO FIORE ALBUZZANO,FORZA NUOVA,14,,
ALBUZZANO,GIACINTO MARCO PANNELLA ALBUZZANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
ALBUZZANO,LUCA ROMAGNOLI ALBUZZANO,FIAMMA TRICOLORE,4,,
ALBUZZANO,MAGDI CRISTIANO ALLAM ALBUZZANO,IO AMO L'ITALIA,3,,
ALBUZZANO,SIMONE DI STEFANO ALBUZZANO,CASAPOUND ITALIA,0,,
ALBUZZANO,ENZO BOSIO ALBUZZANO,CIVILTA' RURALE SVILUPPO,4,,
ALBUZZANO,GIULIO ARRIGHINI ALBUZZANO,UNIONE PADANA,2,,
ALBUZZANO,MARCO MARSILI ALBUZZANO,I PIRATI,1,,
ARENA PO,PIER LUIGI BERSANI ARENA PO,PARTITO DEMOCRATICO,198,,
ARENA PO,,SINISTRA ECOLOGIA LIBERTA',10,,
ARENA PO,,MODERATI,1,,
ARENA PO,,CENTRO DEMOCRATICO,0,,
ARENA PO,SILVIO BERLUSCONI ARENA PO,IL POPOLO DELLA LIBERTA',290,,
ARENA PO,,LEGA NORD,108,,
ARENA PO,,FRATELLI D'ITALIA,17,,
ARENA PO,,PARTITO PENSIONATI,5,,
ARENA PO,,BASTA TASSE,4,,
ARENA PO,,LA DESTRA,1,,
ARENA PO,,MIR - MODERATI IN RIVOLUZIONE,1,,
ARENA PO,GIUSEPPE PIERO GRILLO ARENA PO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,156,,
ARENA PO,MARIO MONTI ARENA PO,CON MONTI PER L'ITALIA,34,,
ARENA PO,ANTONIO INGROIA ARENA PO,RIVOLUZIONE CIVILE,12,,
ARENA PO,OSCAR FULVIO GIANNINO ARENA PO,FARE PER FERMARE IL DECLINO,7,,
ARENA PO,MARCO FERRANDO ARENA PO,PARTITO COMUNISTA DEI LAVORATORI,5,,
ARENA PO,ROBERTO FIORE ARENA PO,FORZA NUOVA,6,,
ARENA PO,GIACINTO MARCO PANNELLA ARENA PO,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
ARENA PO,LUCA ROMAGNOLI ARENA PO,FIAMMA TRICOLORE,2,,
ARENA PO,MAGDI CRISTIANO ALLAM ARENA PO,IO AMO L'ITALIA,1,,
ARENA PO,SIMONE DI STEFANO ARENA PO,CASAPOUND ITALIA,1,,
ARENA PO,ENZO BOSIO ARENA PO,CIVILTA' RURALE SVILUPPO,0,,
ARENA PO,GIULIO ARRIGHINI ARENA PO,UNIONE PADANA,2,,
ARENA PO,MARCO MARSILI ARENA PO,I PIRATI,1,,
BADIA PAVESE,PIER LUIGI BERSANI BADIA PAVESE,PARTITO DEMOCRATICO,65,,
BADIA PAVESE,,CENTRO DEMOCRATICO,0,,
BADIA PAVESE,,SINISTRA ECOLOGIA LIBERTA',0,,
BADIA PAVESE,,MODERATI,0,,
BADIA PAVESE,SILVIO BERLUSCONI BADIA PAVESE,IL POPOLO DELLA LIBERTA',49,,
BADIA PAVESE,,LEGA NORD,30,,
BADIA PAVESE,,PARTITO PENSIONATI,6,,
BADIA PAVESE,,LA DESTRA,2,,
BADIA PAVESE,,FRATELLI D'ITALIA,1,,
BADIA PAVESE,,MIR - MODERATI IN RIVOLUZIONE,1,,
BADIA PAVESE,,BASTA TASSE,0,,
BADIA PAVESE,GIUSEPPE PIERO GRILLO BADIA PAVESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,38,,
BADIA PAVESE,MARIO MONTI BADIA PAVESE,CON MONTI PER L'ITALIA,16,,
BADIA PAVESE,ANTONIO INGROIA BADIA PAVESE,RIVOLUZIONE CIVILE,3,,
BADIA PAVESE,OSCAR FULVIO GIANNINO BADIA PAVESE,FARE PER FERMARE IL DECLINO,8,,
BADIA PAVESE,MARCO FERRANDO BADIA PAVESE,PARTITO COMUNISTA DEI LAVORATORI,0,,
BADIA PAVESE,ROBERTO FIORE BADIA PAVESE,FORZA NUOVA,2,,
BADIA PAVESE,GIACINTO MARCO PANNELLA BADIA PAVESE,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
BADIA PAVESE,LUCA ROMAGNOLI BADIA PAVESE,FIAMMA TRICOLORE,0,,
BADIA PAVESE,MAGDI CRISTIANO ALLAM BADIA PAVESE,IO AMO L'ITALIA,0,,
BADIA PAVESE,SIMONE DI STEFANO BADIA PAVESE,CASAPOUND ITALIA,1,,
BADIA PAVESE,ENZO BOSIO BADIA PAVESE,CIVILTA' RURALE SVILUPPO,0,,
BADIA PAVESE,GIULIO ARRIGHINI BADIA PAVESE,UNIONE PADANA,0,,
BADIA PAVESE,MARCO MARSILI BADIA PAVESE,I PIRATI,2,,
BAGNARIA,PIER LUIGI BERSANI BAGNARIA,PARTITO DEMOCRATICO,126,,
BAGNARIA,,SINISTRA ECOLOGIA LIBERTA',10,,
BAGNARIA,,CENTRO DEMOCRATICO,2,,
BAGNARIA,,MODERATI,1,,
BAGNARIA,SILVIO BERLUSCONI BAGNARIA,IL POPOLO DELLA LIBERTA',104,,
BAGNARIA,,LEGA NORD,37,,
BAGNARIA,,FRATELLI D'ITALIA,4,,
BAGNARIA,,PARTITO PENSIONATI,4,,
BAGNARIA,,MIR - MODERATI IN RIVOLUZIONE,1,,
BAGNARIA,,BASTA TASSE,1,,
BAGNARIA,,LA DESTRA,0,,
BAGNARIA,GIUSEPPE PIERO GRILLO BAGNARIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,74,,
BAGNARIA,MARIO MONTI BAGNARIA,CON MONTI PER L'ITALIA,35,,
BAGNARIA,ANTONIO INGROIA BAGNARIA,RIVOLUZIONE CIVILE,5,,
BAGNARIA,OSCAR FULVIO GIANNINO BAGNARIA,FARE PER FERMARE IL DECLINO,3,,
BAGNARIA,MARCO FERRANDO BAGNARIA,PARTITO COMUNISTA DEI LAVORATORI,0,,
BAGNARIA,ROBERTO FIORE BAGNARIA,FORZA NUOVA,0,,
BAGNARIA,GIACINTO MARCO PANNELLA BAGNARIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BAGNARIA,LUCA ROMAGNOLI BAGNARIA,FIAMMA TRICOLORE,1,,
BAGNARIA,MAGDI CRISTIANO ALLAM BAGNARIA,IO AMO L'ITALIA,1,,
BAGNARIA,SIMONE DI STEFANO BAGNARIA,CASAPOUND ITALIA,0,,
BAGNARIA,ENZO BOSIO BAGNARIA,CIVILTA' RURALE SVILUPPO,0,,
BAGNARIA,GIULIO ARRIGHINI BAGNARIA,UNIONE PADANA,0,,
BAGNARIA,MARCO MARSILI BAGNARIA,I PIRATI,1,,
BARBIANELLO,PIER LUIGI BERSANI BARBIANELLO,PARTITO DEMOCRATICO,139,,
BARBIANELLO,,SINISTRA ECOLOGIA LIBERTA',15,,
BARBIANELLO,,CENTRO DEMOCRATICO,0,,
BARBIANELLO,,MODERATI,0,,
BARBIANELLO,SILVIO BERLUSCONI BARBIANELLO,IL POPOLO DELLA LIBERTA',114,,
BARBIANELLO,,LEGA NORD,33,,
BARBIANELLO,,FRATELLI D'ITALIA,10,,
BARBIANELLO,,PARTITO PENSIONATI,6,,
BARBIANELLO,,LA DESTRA,1,,
BARBIANELLO,,BASTA TASSE,1,,
BARBIANELLO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BARBIANELLO,GIUSEPPE PIERO GRILLO BARBIANELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,104,,
BARBIANELLO,MARIO MONTI BARBIANELLO,CON MONTI PER L'ITALIA,40,,
BARBIANELLO,ANTONIO INGROIA BARBIANELLO,RIVOLUZIONE CIVILE,4,,
BARBIANELLO,OSCAR FULVIO GIANNINO BARBIANELLO,FARE PER FERMARE IL DECLINO,10,,
BARBIANELLO,MARCO FERRANDO BARBIANELLO,PARTITO COMUNISTA DEI LAVORATORI,3,,
BARBIANELLO,ROBERTO FIORE BARBIANELLO,FORZA NUOVA,2,,
BARBIANELLO,GIACINTO MARCO PANNELLA BARBIANELLO,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BARBIANELLO,LUCA ROMAGNOLI BARBIANELLO,FIAMMA TRICOLORE,3,,
BARBIANELLO,MAGDI CRISTIANO ALLAM BARBIANELLO,IO AMO L'ITALIA,1,,
BARBIANELLO,SIMONE DI STEFANO BARBIANELLO,CASAPOUND ITALIA,0,,
BARBIANELLO,ENZO BOSIO BARBIANELLO,CIVILTA' RURALE SVILUPPO,1,,
BARBIANELLO,GIULIO ARRIGHINI BARBIANELLO,UNIONE PADANA,1,,
BARBIANELLO,MARCO MARSILI BARBIANELLO,I PIRATI,1,,
BASCAPE',PIER LUIGI BERSANI BASCAPE',PARTITO DEMOCRATICO,230,,
BASCAPE',,SINISTRA ECOLOGIA LIBERTA',26,,
BASCAPE',,CENTRO DEMOCRATICO,1,,
BASCAPE',,MODERATI,0,,
BASCAPE',SILVIO BERLUSCONI BASCAPE',IL POPOLO DELLA LIBERTA',239,,
BASCAPE',,LEGA NORD,89,,
BASCAPE',,FRATELLI D'ITALIA,14,,
BASCAPE',,PARTITO PENSIONATI,10,,
BASCAPE',,BASTA TASSE,7,,
BASCAPE',,LA DESTRA,1,,
BASCAPE',,MIR - MODERATI IN RIVOLUZIONE,0,,
BASCAPE',GIUSEPPE PIERO GRILLO BASCAPE',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,171,,
BASCAPE',MARIO MONTI BASCAPE',CON MONTI PER L'ITALIA,103,,
BASCAPE',ANTONIO INGROIA BASCAPE',RIVOLUZIONE CIVILE,3,,
BASCAPE',OSCAR FULVIO GIANNINO BASCAPE',FARE PER FERMARE IL DECLINO,11,,
BASCAPE',MARCO FERRANDO BASCAPE',PARTITO COMUNISTA DEI LAVORATORI,6,,
BASCAPE',ROBERTO FIORE BASCAPE',FORZA NUOVA,5,,
BASCAPE',GIACINTO MARCO PANNELLA BASCAPE',LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
BASCAPE',LUCA ROMAGNOLI BASCAPE',FIAMMA TRICOLORE,3,,
BASCAPE',MAGDI CRISTIANO ALLAM BASCAPE',IO AMO L'ITALIA,0,,
BASCAPE',SIMONE DI STEFANO BASCAPE',CASAPOUND ITALIA,0,,
BASCAPE',ENZO BOSIO BASCAPE',CIVILTA' RURALE SVILUPPO,1,,
BASCAPE',GIULIO ARRIGHINI BASCAPE',UNIONE PADANA,2,,
BASCAPE',MARCO MARSILI BASCAPE',I PIRATI,2,,
BASTIDA DE' DOSSI,PIER LUIGI BERSANI BASTIDA DE' DOSSI,PARTITO DEMOCRATICO,17,,
BASTIDA DE' DOSSI,,SINISTRA ECOLOGIA LIBERTA',4,,
BASTIDA DE' DOSSI,,CENTRO DEMOCRATICO,0,,
BASTIDA DE' DOSSI,,MODERATI,0,,
BASTIDA DE' DOSSI,SILVIO BERLUSCONI BASTIDA DE' DOSSI,IL POPOLO DELLA LIBERTA',42,,
BASTIDA DE' DOSSI,,LEGA NORD,10,,
BASTIDA DE' DOSSI,,PARTITO PENSIONATI,2,,
BASTIDA DE' DOSSI,,FRATELLI D'ITALIA,1,,
BASTIDA DE' DOSSI,,BASTA TASSE,1,,
BASTIDA DE' DOSSI,,LA DESTRA,0,,
BASTIDA DE' DOSSI,,MIR - MODERATI IN RIVOLUZIONE,0,,
BASTIDA DE' DOSSI,GIUSEPPE PIERO GRILLO BASTIDA DE' DOSSI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,18,,
BASTIDA DE' DOSSI,MARIO MONTI BASTIDA DE' DOSSI,CON MONTI PER L'ITALIA,6,,
BASTIDA DE' DOSSI,ANTONIO INGROIA BASTIDA DE' DOSSI,RIVOLUZIONE CIVILE,0,,
BASTIDA DE' DOSSI,OSCAR FULVIO GIANNINO BASTIDA DE' DOSSI,FARE PER FERMARE IL DECLINO,2,,
BASTIDA DE' DOSSI,MARCO FERRANDO BASTIDA DE' DOSSI,PARTITO COMUNISTA DEI LAVORATORI,0,,
BASTIDA DE' DOSSI,ROBERTO FIORE BASTIDA DE' DOSSI,FORZA NUOVA,0,,
BASTIDA DE' DOSSI,GIACINTO MARCO PANNELLA BASTIDA DE' DOSSI,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
BASTIDA DE' DOSSI,LUCA ROMAGNOLI BASTIDA DE' DOSSI,FIAMMA TRICOLORE,0,,
BASTIDA DE' DOSSI,MAGDI CRISTIANO ALLAM BASTIDA DE' DOSSI,IO AMO L'ITALIA,0,,
BASTIDA DE' DOSSI,SIMONE DI STEFANO BASTIDA DE' DOSSI,CASAPOUND ITALIA,0,,
BASTIDA DE' DOSSI,ENZO BOSIO BASTIDA DE' DOSSI,CIVILTA' RURALE SVILUPPO,0,,
BASTIDA DE' DOSSI,GIULIO ARRIGHINI BASTIDA DE' DOSSI,UNIONE PADANA,1,,
BASTIDA DE' DOSSI,MARCO MARSILI BASTIDA DE' DOSSI,I PIRATI,1,,
BASTIDA PANCARANA,PIER LUIGI BERSANI BASTIDA PANCARANA,PARTITO DEMOCRATICO,199,,
BASTIDA PANCARANA,,SINISTRA ECOLOGIA LIBERTA',7,,
BASTIDA PANCARANA,,CENTRO DEMOCRATICO,2,,
BASTIDA PANCARANA,,MODERATI,1,,
BASTIDA PANCARANA,SILVIO BERLUSCONI BASTIDA PANCARANA,IL POPOLO DELLA LIBERTA',172,,
BASTIDA PANCARANA,,LEGA NORD,57,,
BASTIDA PANCARANA,,FRATELLI D'ITALIA,13,,
BASTIDA PANCARANA,,PARTITO PENSIONATI,8,,
BASTIDA PANCARANA,,LA DESTRA,3,,
BASTIDA PANCARANA,,MIR - MODERATI IN RIVOLUZIONE,1,,
