Ente,Liste/Gruppi,Voti,,
ALDINO,PD - SVP,627,,
ALDINO,DIE FREIHEITLICHEN,196,,
ALDINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,26,,
ALDINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,15,,
ALDINO,L'ALTO ADIGE NEL CUORE,3,,
ALDINO,PARTITO PER TUTTI - PARTEI FUR ALLE,2,,
ALDINO,FRATELLI D'ITALIA,2,,
ALDINO,RIVOLUZIONE CIVILE,2,,
ALDINO,CASAPOUND ITALIA,1,,
ALDINO,LA DESTRA,1,,
ALDINO,FARE PER FERMARE IL DECLINO,0,,
ANTERIVO,PD - SVP,149,,
ANTERIVO,DIE FREIHEITLICHEN,41,,
ANTERIVO,IL POPOLO DELLA LIBERTA' - LEGA NORD,16,,
ANTERIVO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,10,,
ANTERIVO,L'ALTO ADIGE NEL CUORE,3,,
ANTERIVO,RIVOLUZIONE CIVILE,3,,
ANTERIVO,PARTITO PER TUTTI - PARTEI FUR ALLE,1,,
ANTERIVO,FRATELLI D'ITALIA,1,,
ANTERIVO,FARE PER FERMARE IL DECLINO,0,,
ANTERIVO,CASAPOUND ITALIA,0,,
ANTERIVO,LA DESTRA,0,,
APPIANO SULLA STRADA DEL VINO,PD - SVP,4984,,
APPIANO SULLA STRADA DEL VINO,DIE FREIHEITLICHEN,1535,,
APPIANO SULLA STRADA DEL VINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,485,,
APPIANO SULLA STRADA DEL VINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,328,,
APPIANO SULLA STRADA DEL VINO,L'ALTO ADIGE NEL CUORE,106,,
APPIANO SULLA STRADA DEL VINO,FRATELLI D'ITALIA,51,,
APPIANO SULLA STRADA DEL VINO,RIVOLUZIONE CIVILE,46,,
APPIANO SULLA STRADA DEL VINO,FARE PER FERMARE IL DECLINO,40,,
APPIANO SULLA STRADA DEL VINO,CASAPOUND ITALIA,24,,
APPIANO SULLA STRADA DEL VINO,LA DESTRA,17,,
APPIANO SULLA STRADA DEL VINO,PARTITO PER TUTTI - PARTEI FUR ALLE,17,,
BOLZANO,PD - SVP,25688,,
BOLZANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,10036,,
BOLZANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,8358,,
BOLZANO,L'ALTO ADIGE NEL CUORE,3170,,
BOLZANO,DIE FREIHEITLICHEN,1917,,
BOLZANO,FRATELLI D'ITALIA,1775,,
BOLZANO,RIVOLUZIONE CIVILE,1185,,
BOLZANO,CASAPOUND ITALIA,908,,
BOLZANO,FARE PER FERMARE IL DECLINO,673,,
BOLZANO,LA DESTRA,460,,
BOLZANO,PARTITO PER TUTTI - PARTEI FUR ALLE,253,,
BRONZOLO,PD - SVP,752,,
BRONZOLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,290,,
BRONZOLO,IL POPOLO DELLA LIBERTA' - LEGA NORD,192,,
BRONZOLO,L'ALTO ADIGE NEL CUORE,69,,
BRONZOLO,DIE FREIHEITLICHEN,58,,
BRONZOLO,FRATELLI D'ITALIA,40,,
BRONZOLO,RIVOLUZIONE CIVILE,27,,
BRONZOLO,CASAPOUND ITALIA,15,,
BRONZOLO,FARE PER FERMARE IL DECLINO,15,,
BRONZOLO,LA DESTRA,12,,
BRONZOLO,PARTITO PER TUTTI - PARTEI FUR ALLE,7,,
CALDARO SULLA STRADA DEL VINO,PD - SVP,2722,,
CALDARO SULLA STRADA DEL VINO,DIE FREIHEITLICHEN,1006,,
CALDARO SULLA STRADA DEL VINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,155,,
CALDARO SULLA STRADA DEL VINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,121,,
CALDARO SULLA STRADA DEL VINO,L'ALTO ADIGE NEL CUORE,40,,
CALDARO SULLA STRADA DEL VINO,FRATELLI D'ITALIA,18,,
CALDARO SULLA STRADA DEL VINO,RIVOLUZIONE CIVILE,18,,
CALDARO SULLA STRADA DEL VINO,CASAPOUND ITALIA,14,,
CALDARO SULLA STRADA DEL VINO,FARE PER FERMARE IL DECLINO,13,,
CALDARO SULLA STRADA DEL VINO,PARTITO PER TUTTI - PARTEI FUR ALLE,8,,
CALDARO SULLA STRADA DEL VINO,LA DESTRA,6,,
CORNEDO ALL'ISARCO,PD - SVP,1184,,
CORNEDO ALL'ISARCO,DIE FREIHEITLICHEN,390,,
CORNEDO ALL'ISARCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,83,,
CORNEDO ALL'ISARCO,IL POPOLO DELLA LIBERTA' - LEGA NORD,69,,
CORNEDO ALL'ISARCO,L'ALTO ADIGE NEL CUORE,17,,
CORNEDO ALL'ISARCO,FRATELLI D'ITALIA,15,,
CORNEDO ALL'ISARCO,CASAPOUND ITALIA,9,,
CORNEDO ALL'ISARCO,RIVOLUZIONE CIVILE,9,,
CORNEDO ALL'ISARCO,LA DESTRA,5,,
CORNEDO ALL'ISARCO,PARTITO PER TUTTI - PARTEI FUR ALLE,5,,
CORNEDO ALL'ISARCO,FARE PER FERMARE IL DECLINO,3,,
CORTACCIA SULLA STRADA DEL VINO,PD - SVP,848,,
CORTACCIA SULLA STRADA DEL VINO,DIE FREIHEITLICHEN,250,,
CORTACCIA SULLA STRADA DEL VINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,46,,
CORTACCIA SULLA STRADA DEL VINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,29,,
CORTACCIA SULLA STRADA DEL VINO,RIVOLUZIONE CIVILE,7,,
CORTACCIA SULLA STRADA DEL VINO,L'ALTO ADIGE NEL CUORE,7,,
CORTACCIA SULLA STRADA DEL VINO,FRATELLI D'ITALIA,6,,
CORTACCIA SULLA STRADA DEL VINO,FARE PER FERMARE IL DECLINO,4,,
CORTACCIA SULLA STRADA DEL VINO,CASAPOUND ITALIA,2,,
CORTACCIA SULLA STRADA DEL VINO,PARTITO PER TUTTI - PARTEI FUR ALLE,2,,
CORTACCIA SULLA STRADA DEL VINO,LA DESTRA,1,,
CORTINA SULLA STRADA DEL VINO,PD - SVP,250,,
CORTINA SULLA STRADA DEL VINO,DIE FREIHEITLICHEN,43,,
CORTINA SULLA STRADA DEL VINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,37,,
CORTINA SULLA STRADA DEL VINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,23,,
CORTINA SULLA STRADA DEL VINO,RIVOLUZIONE CIVILE,4,,
CORTINA SULLA STRADA DEL VINO,FARE PER FERMARE IL DECLINO,3,,
CORTINA SULLA STRADA DEL VINO,FRATELLI D'ITALIA,3,,
CORTINA SULLA STRADA DEL VINO,L'ALTO ADIGE NEL CUORE,2,,
CORTINA SULLA STRADA DEL VINO,LA DESTRA,0,,
CORTINA SULLA STRADA DEL VINO,CASAPOUND ITALIA,0,,
CORTINA SULLA STRADA DEL VINO,PARTITO PER TUTTI - PARTEI FUR ALLE,0,,
EGNA,PD - SVP,1612,,
EGNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,350,,
EGNA,DIE FREIHEITLICHEN,275,,
EGNA,IL POPOLO DELLA LIBERTA' - LEGA NORD,258,,
EGNA,L'ALTO ADIGE NEL CUORE,67,,
EGNA,FRATELLI D'ITALIA,60,,
EGNA,RIVOLUZIONE CIVILE,33,,
EGNA,FARE PER FERMARE IL DECLINO,20,,
EGNA,CASAPOUND ITALIA,16,,
EGNA,PARTITO PER TUTTI - PARTEI FUR ALLE,10,,
EGNA,LA DESTRA,8,,
LAIVES,PD - SVP,3868,,
LAIVES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2054,,
LAIVES,IL POPOLO DELLA LIBERTA' - LEGA NORD,1508,,
LAIVES,L'ALTO ADIGE NEL CUORE,409,,
LAIVES,DIE FREIHEITLICHEN,338,,
LAIVES,FRATELLI D'ITALIA,314,,
LAIVES,RIVOLUZIONE CIVILE,185,,
LAIVES,CASAPOUND ITALIA,135,,
LAIVES,FARE PER FERMARE IL DECLINO,107,,
LAIVES,PARTITO PER TUTTI - PARTEI FUR ALLE,98,,
LAIVES,LA DESTRA,89,,
MAGRE' SULLA STRADA DEL VINO,PD - SVP,421,,
MAGRE' SULLA STRADA DEL VINO,DIE FREIHEITLICHEN,141,,
MAGRE' SULLA STRADA DEL VINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,41,,
MAGRE' SULLA STRADA DEL VINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,30,,
MAGRE' SULLA STRADA DEL VINO,L'ALTO ADIGE NEL CUORE,14,,
MAGRE' SULLA STRADA DEL VINO,FARE PER FERMARE IL DECLINO,4,,
MAGRE' SULLA STRADA DEL VINO,PARTITO PER TUTTI - PARTEI FUR ALLE,4,,
MAGRE' SULLA STRADA DEL VINO,FRATELLI D'ITALIA,4,,
MAGRE' SULLA STRADA DEL VINO,RIVOLUZIONE CIVILE,4,,
MAGRE' SULLA STRADA DEL VINO,LA DESTRA,2,,
MAGRE' SULLA STRADA DEL VINO,CASAPOUND ITALIA,1,,
MONTAGNA,PD - SVP,673,,
MONTAGNA,DIE FREIHEITLICHEN,159,,
MONTAGNA,IL POPOLO DELLA LIBERTA' - LEGA NORD,40,,
MONTAGNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,35,,
MONTAGNA,L'ALTO ADIGE NEL CUORE,9,,
MONTAGNA,FRATELLI D'ITALIA,7,,
MONTAGNA,CASAPOUND ITALIA,4,,
MONTAGNA,LA DESTRA,3,,
MONTAGNA,FARE PER FERMARE IL DECLINO,3,,
MONTAGNA,PARTITO PER TUTTI - PARTEI FUR ALLE,1,,
MONTAGNA,RIVOLUZIONE CIVILE,1,,
ORA,PD - SVP,1200,,
ORA,DIE FREIHEITLICHEN,274,,
ORA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,180,,
ORA,IL POPOLO DELLA LIBERTA' - LEGA NORD,142,,
ORA,L'ALTO ADIGE NEL CUORE,39,,
ORA,RIVOLUZIONE CIVILE,20,,
ORA,FRATELLI D'ITALIA,16,,
ORA,FARE PER FERMARE IL DECLINO,11,,
ORA,CASAPOUND ITALIA,9,,
ORA,LA DESTRA,8,,
ORA,PARTITO PER TUTTI - PARTEI FUR ALLE,6,,
SALORNO,PD - SVP,858,,
SALORNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,323,,
SALORNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,229,,
SALORNO,DIE FREIHEITLICHEN,94,,
SALORNO,L'ALTO ADIGE NEL CUORE,63,,
SALORNO,FRATELLI D'ITALIA,30,,
SALORNO,RIVOLUZIONE CIVILE,23,,
SALORNO,FARE PER FERMARE IL DECLINO,19,,
SALORNO,LA DESTRA,16,,
SALORNO,CASAPOUND ITALIA,13,,
SALORNO,PARTITO PER TUTTI - PARTEI FUR ALLE,2,,
TERMENO SULLA STRADA DEL VINO,PD - SVP,1196,,
TERMENO SULLA STRADA DEL VINO,DIE FREIHEITLICHEN,507,,
TERMENO SULLA STRADA DEL VINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,40,,
TERMENO SULLA STRADA DEL VINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,34,,
TERMENO SULLA STRADA DEL VINO,L'ALTO ADIGE NEL CUORE,8,,
TERMENO SULLA STRADA DEL VINO,RIVOLUZIONE CIVILE,8,,
TERMENO SULLA STRADA DEL VINO,PARTITO PER TUTTI - PARTEI FUR ALLE,7,,
TERMENO SULLA STRADA DEL VINO,FRATELLI D'ITALIA,7,,
TERMENO SULLA STRADA DEL VINO,FARE PER FERMARE IL DECLINO,2,,
TERMENO SULLA STRADA DEL VINO,LA DESTRA,2,,
TERMENO SULLA STRADA DEL VINO,CASAPOUND ITALIA,0,,
TRODENA NEL PARCO NATURALE,PD - SVP,333,,
TRODENA NEL PARCO NATURALE,DIE FREIHEITLICHEN,105,,
TRODENA NEL PARCO NATURALE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,32,,
TRODENA NEL PARCO NATURALE,IL POPOLO DELLA LIBERTA' - LEGA NORD,27,,
TRODENA NEL PARCO NATURALE,L'ALTO ADIGE NEL CUORE,6,,
TRODENA NEL PARCO NATURALE,RIVOLUZIONE CIVILE,5,,
TRODENA NEL PARCO NATURALE,FRATELLI D'ITALIA,3,,
TRODENA NEL PARCO NATURALE,PARTITO PER TUTTI - PARTEI FUR ALLE,2,,
TRODENA NEL PARCO NATURALE,CASAPOUND ITALIA,1,,
TRODENA NEL PARCO NATURALE,FARE PER FERMARE IL DECLINO,1,,
TRODENA NEL PARCO NATURALE,LA DESTRA,0,,
VADENA,PD - SVP,258,,
VADENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,118,,
VADENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,55,,
VADENA,DIE FREIHEITLICHEN,28,,
VADENA,L'ALTO ADIGE NEL CUORE,22,,
VADENA,RIVOLUZIONE CIVILE,17,,
VADENA,FRATELLI D'ITALIA,13,,
VADENA,CASAPOUND ITALIA,8,,
VADENA,LA DESTRA,3,,
VADENA,FARE PER FERMARE IL DECLINO,2,,
VADENA,PARTITO PER TUTTI - PARTEI FUR ALLE,1,,
