Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGORDO ,3128,2170,23,106,
ALANO DI PIAVE ,1863,1444,23,60,
ALLEGHE ,990,639,2,23,
ARSIE' ,1923,1467,9,49,
AURONZO DI CADORE ,2630,1820,30,83,
BELLUNO ,26672,20372,139,522,
BORCA DI CADORE ,581,372,0,9,
CALALZO DI CADORE ,1590,1217,11,36,
CANALE D'AGORDO ,885,605,10,24,
CASTELLAVAZZO ,1206,843,5,39,
CENCENIGHE AGORDINO ,1062,663,8,28,
CESIOMAGGIORE ,3130,2321,16,100,
CHIES D'ALPAGO ,1114,814,9,59,
CIBIANA DI CADORE ,334,193,1,8,
COLLE SANTA LUCIA ,301,179,1,18,
COMELICO SUPERIORE ,1763,1193,9,37,
CORTINA D'AMPEZZO ,4456,3229,23,140,
DANTA DI CADORE ,396,197,4,16,
DOMEGGE DI CADORE ,1940,1336,11,62,
FALCADE ,1568,1045,3,43,
FARRA D'ALPAGO ,1885,1390,10,53,
FELTRE ,15113,11595,75,367,
FONZASO ,2460,1785,11,61,
FORNO DI ZOLDO ,1939,1144,8,37,
GOSALDO ,558,368,4,26,
LA VALLE AGORDINA ,863,591,5,39,
LAMON ,2454,1713,15,58,
LENTIAI ,2181,1693,15,64,
LIMANA ,3796,2896,14,88,
LIVINALLONGO DEL COL DI LANA ,1020,548,5,51,
LONGARONE ,2861,1952,22,88,
LORENZAGO DI CADORE ,449,297,5,18,
LOZZO DI CADORE ,1044,697,5,28,
MEL ,4584,3424,34,144,
OSPITALE DI CADORE ,218,160,1,8,
PEDAVENA ,3325,2456,12,82,
PERAROLO DI CADORE ,255,190,2,10,
PIEVE D'ALPAGO ,1420,1087,12,50,
PIEVE DI CADORE ,2916,1998,19,87,
PONTE NELLE ALPI ,6118,4789,39,169,
PUOS D'ALPAGO ,1845,1435,9,55,
QUERO ,1620,1197,12,58,
RIVAMONTE AGORDINO ,515,342,6,24,
ROCCA PIETORE ,1051,655,5,30,
SAN GREGORIO NELLE ALPI ,1202,929,11,36,
SAN NICOLO' DI COMELICO ,312,216,0,1,
SAN PIETRO DI CADORE ,1313,797,3,29,
SAN TOMASO AGORDINO ,560,295,5,15,
SAN VITO DI CADORE ,1359,968,7,28,
SANTA GIUSTINA ,5030,3923,26,137,
SANTO STEFANO DI CADORE ,2104,1303,14,51,
SAPPADA ,1005,664,8,33,
SEDICO ,7201,5541,34,211,
SELVA DI CADORE ,397,206,2,11,
SEREN DEL GRAPPA ,1917,1399,13,58,
SOSPIROLO ,2439,1783,12,70,
SOVERZENE ,311,261,1,8,
SOVRAMONTE ,1194,876,4,38,
TAIBON AGORDINO ,1310,884,9,46,
TAMBRE ,1107,752,11,56,
TRICHIANA ,3644,2831,21,113,
VALLADA AGORDINA ,394,273,1,9,
VALLE DI CADORE ,1534,976,11,39,
VAS ,593,443,5,18,
VIGO DI CADORE ,1181,710,5,21,
VODO CADORE ,682,456,4,10,
VOLTAGO AGORDINO ,698,450,4,20,
ZOLDO ALTO ,789,414,11,28,
ZOPPE' DI CADORE ,213,123,2,5,
