Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
BRINDISI ,71772,46721,392,1460,
CAROVIGNO ,13154,10003,200,603,
CEGLIE MESSAPICA ,16853,11328,297,802,
CELLINO SAN MARCO ,5670,3932,60,211,
CISTERNINO ,9801,7509,148,401,
ERCHIE ,7217,4689,119,330,
FASANO ,32028,23169,421,1130,
FRANCAVILLA FONTANA ,29551,21109,359,1095,
LATIANO ,12065,8327,186,623,
MESAGNE ,22985,15984,209,701,
ORIA ,12486,8274,170,584,
OSTUNI ,26063,18869,254,841,
SAN DONACI ,5752,3792,86,251,
SAN MICHELE SALENTINO ,5113,3631,118,283,
SAN PANCRAZIO SALENTINO ,8524,6143,127,385,
SAN PIETRO VERNOTICO ,11703,7877,134,395,
SAN VITO DEI NORMANNI ,16223,11464,220,712,
TORCHIAROLO ,4494,3089,68,237,
TORRE SANTA SUSANNA ,8831,6531,134,461,
VILLA CASTELLI ,7336,5429,177,482,
