Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AULLA ,9015,6716,44,220,
BAGNONE ,1584,1110,16,42,
CARRARA ,52041,37913,231,963,
CASOLA IN LUNIGIANA ,859,598,5,16,
COMANO ,614,429,6,25,
FILATTIERA ,1891,1428,32,61,
FIVIZZANO ,7108,4973,53,177,
FOSDINOVO ,4029,2811,15,72,
LICCIANA NARDI ,4029,3021,55,127,
MASSA ,56565,42900,209,1175,
MONTIGNOSO ,8398,6251,43,189,
MULAZZO ,2089,1489,19,48,
PODENZANA ,1758,1310,9,43,
PONTREMOLI ,6137,4335,57,197,
TRESANA ,1678,1287,13,38,
VILLAFRANCA IN LUNIGIANA ,3799,3040,27,104,
ZERI ,1054,545,18,33,
