Ente,Candidato,Voti totali,Liste/Gruppi,
ALLEIN,MARGUERETTAZ RUDI FRANCO,63,VALLEE D'AOSTE,
ALLEIN,VIERIN LAURENT,43,UNION VALDOTAINE PROGRESSISTE,
ALLEIN,COGNETTA ROBERTO UGO MASSIMO,21,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ALLEIN,GUICHARDAZ JEAN PIERRE,7,AUTONOMIE LIBERTE' DEMOCRATIE,
ALLEIN,MELONI GIORGIA,4,FRATELLI D'ITALIA,
ALLEIN,SPELGATTI NICOLETTA,2,LEGA NORD,
ALLEIN,LADU ANDREA,1,CASAPOUND ITALIA,
ALLEIN,BRINGHEN LUCA,0,UNIONE DI CENTRO,
ALLEIN,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
ALLEIN,CAMPION EROS,0,NATION VAL D'OUTA,
ANTEY-SAINT-ANDRE',MARGUERETTAZ RUDI FRANCO,107,VALLEE D'AOSTE,
ANTEY-SAINT-ANDRE',VIERIN LAURENT,100,UNION VALDOTAINE PROGRESSISTE,
ANTEY-SAINT-ANDRE',COGNETTA ROBERTO UGO MASSIMO,64,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ANTEY-SAINT-ANDRE',GUICHARDAZ JEAN PIERRE,62,AUTONOMIE LIBERTE' DEMOCRATIE,
ANTEY-SAINT-ANDRE',MELONI GIORGIA,18,FRATELLI D'ITALIA,
ANTEY-SAINT-ANDRE',SPELGATTI NICOLETTA,17,LEGA NORD,
ANTEY-SAINT-ANDRE',BRINGHEN LUCA,4,UNIONE DI CENTRO,
ANTEY-SAINT-ANDRE',BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
ANTEY-SAINT-ANDRE',LADU ANDREA,0,CASAPOUND ITALIA,
ANTEY-SAINT-ANDRE',CAMPION EROS,0,NATION VAL D'OUTA,
AOSTA,GUICHARDAZ JEAN PIERRE,5077,AUTONOMIE LIBERTE' DEMOCRATIE,
AOSTA,MARGUERETTAZ RUDI FRANCO,4407,VALLEE D'AOSTE,
AOSTA,COGNETTA ROBERTO UGO MASSIMO,3839,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
AOSTA,VIERIN LAURENT,3250,UNION VALDOTAINE PROGRESSISTE,
AOSTA,MELONI GIORGIA,1094,FRATELLI D'ITALIA,
