Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AFFI ,1627,1369,14,53,
ALBAREDO D'ADIGE ,3625,2913,37,104,
ANGIARI ,1628,1344,14,45,
ARCOLE ,4132,3430,31,124,
BADIA CALAVENA ,1858,1555,35,85,
BARDOLINO ,4972,4005,32,115,
BELFIORE ,2088,1772,17,62,
BEVILACQUA ,1285,1039,18,45,
BONAVIGO ,1410,1143,16,47,
BOSCHI SANT'ANNA ,1052,855,12,34,
BOSCO CHIESANUOVA ,2522,1921,11,66,
BOVOLONE ,10732,8369,73,276,
BRENTINO BELLUNO ,931,769,4,26,
BRENZONE ,1763,1380,9,29,
BUSSOLENGO ,13028,10649,44,246,
BUTTAPIETRA ,4722,3916,28,112,
CALDIERO ,4837,3994,26,107,
CAPRINO VERONESE ,5781,4579,41,138,
CASALEONE ,4452,3384,30,108,
CASTAGNARO ,2908,2257,34,112,
CASTEL D'AZZANO ,7931,6510,42,163,
CASTELNUOVO DEL GARDA ,8537,6845,52,181,
CAVAION VERONESE ,3814,3146,25,97,
CAZZANO DI TRAMIGNA ,1087,900,18,48,
CEREA ,11940,9431,71,269,
CERRO VERONESE ,1590,1252,10,50,
COLOGNA VENETA ,5758,4621,45,172,
COLOGNOLA AI COLLI ,5673,4594,39,138,
CONCAMARISE ,729,592,7,19,
COSTERMANO ,2571,2103,10,52,
DOLCE' ,1694,1364,16,52,
ERBE' ,1253,1033,8,35,
ERBEZZO ,562,390,9,33,
FERRARA DI MONTE BALDO ,186,142,3,5,
FUMANE ,2911,2426,24,80,
GARDA ,2812,2282,15,57,
GAZZO VERONESE ,3969,3051,36,131,
GREZZANA ,7337,6120,48,183,
ILLASI ,3646,3017,21,81,
ISOLA DELLA SCALA ,7836,6297,43,219,
ISOLA RIZZA ,2243,1778,19,68,
LAVAGNO ,5632,4765,23,110,
LAZISE ,4943,3918,24,81,
LEGNAGO ,18789,14872,135,440,
MALCESINE ,2607,2081,25,58,
MARANO DI VALPOLICELLA ,2170,1813,19,50,
MEZZANE DI SOTTO ,1839,1451,12,45,
MINERBE ,3339,2707,37,102,
MONTECCHIA DI CROSARA ,2903,2461,28,80,
MONTEFORTE D'ALPONE ,5540,4594,33,174,
MOZZECANE ,4670,3839,32,117,
NEGRAR ,11943,9954,47,254,
NOGARA ,5817,4604,52,147,
NOGAROLE ROCCA ,2099,1707,18,62,
OPPEANO ,6338,5026,36,156,
PALU' ,804,662,11,27,
PASTRENGO ,2108,1730,16,45,
PESCANTINA ,11435,9588,55,247,
PESCHIERA DEL GARDA ,7156,5534,48,154,
POVEGLIANO VERONESE ,4865,4064,31,110,
PRESSANA ,1726,1458,13,53,
RIVOLI VERONESE ,1492,1242,11,38,
RONCA' ,2533,2125,24,78,
RONCO ALL'ADIGE ,4095,3247,47,128,
ROVERCHIARA ,1753,1395,28,66,
ROVERE' VERONESE ,1481,1158,10,49,
ROVEREDO DI GUA' ,1029,882,6,36,
SALIZZOLE ,2713,2184,17,79,
SAN BONIFACIO ,12845,10485,83,348,
SAN GIOVANNI ILARIONE ,3438,2895,39,129,
SAN GIOVANNI LUPATOTO ,17016,13997,78,315,
SAN MARTINO BUON ALBERGO ,9991,8260,65,226,
SAN MAURO DI SALINE ,413,340,5,13,
SAN PIETRO DI MORUBIO ,2156,1615,30,81,
SAN PIETRO IN CARIANO ,9100,7723,52,185,
SAN ZENO DI MONTAGNA ,976,774,5,24,
SANGUINETTO ,2986,2373,23,68,
SANT'AMBROGIO DI VALPOLICELLA ,7836,6421,50,173,
SANT'ANNA D'ALFAEDO ,1797,1328,15,54,
SELVA DI PROGNO ,679,557,3,20,
SOAVE ,4964,4142,34,123,
SOMMACAMPAGNA ,10073,8401,54,218,
SONA ,11836,9956,93,267,
SORGA' ,2057,1676,24,66,
TERRAZZO ,1634,1343,13,54,
TORRI DEL BENACO ,2094,1668,21,49,
TREGNAGO ,3443,2814,23,121,
TREVENZUOLO ,1746,1486,11,52,
VALEGGIO SUL MINCIO ,9651,7900,56,226,
VELO VERONESE ,569,413,6,21,
VERONA ,178179,143511,740,2877,
VERONELLA ,3177,2637,19,97,
VESTENANOVA ,1778,1398,9,56,
VIGASIO ,6507,5361,33,130,
VILLA BARTOLOMEA ,4298,3431,41,134,
VILLAFRANCA DI VERONA ,22413,18437,121,480,
ZEVIO ,9870,8212,69,254,
ZIMELLA ,3156,2634,34,102,
