Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ARENZANO ,9740,7947,35,147,
AVEGNO ,2102,1601,17,39,
BARGAGLI ,2256,1542,11,42,
BOGLIASCO ,3743,2941,12,37,
BORZONASCA ,1729,1082,14,42,
BUSALLA ,4747,3680,26,84,
CAMOGLI ,4557,3584,14,78,
CAMPO LIGURE ,2560,1909,12,51,
CAMPOMORONE ,6053,4697,20,107,
CARASCO ,2768,2060,19,76,
CASARZA LIGURE ,5419,4309,29,124,
CASELLA ,2674,2041,24,51,
CASTIGLIONE CHIAVARESE ,1304,908,7,40,
CERANESI ,3301,2573,23,69,
CHIAVARI ,22098,16979,111,427,
CICAGNA ,1972,1400,47,84,
COGOLETO ,7674,6223,38,166,
COGORNO ,4591,3536,32,121,
COREGLIA LIGURE ,235,154,0,5,
CROCEFIESCHI ,478,331,4,10,
DAVAGNA ,1665,1147,10,25,
FASCIA ,93,59,2,2,
FAVALE DI MALVARO ,382,281,1,12,
FONTANIGORDA ,253,145,2,8,
GENOVA ,474428,354549,1417,6057,
GORRETO ,97,57,0,3,
ISOLA DEL CANTONE ,1259,947,17,35,
LAVAGNA ,10520,8091,91,257,
LEIVI ,1960,1514,11,40,
LORSICA ,428,287,6,13,
LUMARZO ,1336,883,9,36,
MASONE ,3106,2490,19,62,
MELE ,2270,1770,9,57,
MEZZANEGO ,1181,812,18,38,
MIGNANEGO ,3082,2366,17,46,
MOCONESI ,2140,1423,25,70,
MONEGLIA ,2382,1796,11,44,
MONTEBRUNO ,202,125,0,1,
MONTOGGIO ,1704,1224,10,32,
NE ,1884,1283,13,47,
NEIRONE ,814,510,3,14,
ORERO ,482,330,2,15,
PIEVE LIGURE ,2119,1674,11,30,
PORTOFINO ,381,282,1,9,
PROPATA ,138,79,1,3,
RAPALLO ,23883,17668,99,413,
RECCO ,8253,6480,36,152,
REZZOAGLIO ,963,490,5,19,
RONCO SCRIVIA ,3678,2723,18,68,
RONDANINA ,68,32,2,3,
ROSSIGLIONE ,2413,1811,15,53,
ROVEGNO ,459,270,1,1,
SAN COLOMBANO CERTENOLI ,2142,1483,17,51,
SANT'OLCESE ,4965,3955,23,91,
SANTA MARGHERITA LIGURE ,7930,6072,43,164,
SANTO STEFANO D'AVETO ,1066,583,11,25,
SAVIGNONE ,2633,2001,18,67,
SERRA RICCO' ,6558,5166,30,111,
SESTRI LEVANTE ,15305,11881,82,290,
SORI ,3633,2741,22,79,
TIGLIETO ,482,341,2,7,
TORRIGLIA ,2063,1384,4,31,
TRIBOGNA ,509,343,5,14,
USCIO ,1939,1400,10,41,
VALBREVENNA ,707,501,2,12,
VOBBIA ,402,250,3,9,
ZOAGLI ,2116,1577,13,49,
