Ente,Liste/Gruppi,Voti,,
CASTELNUOVO,SVP - PATT - PD - UPT,211,,
CASTELNUOVO,IL POPOLO DELLA LIBERTA' - LEGA NORD,138,,
CASTELNUOVO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,104,,
CASTELNUOVO,MIR - MODERATI IN RIVOLUZIONE,15,,
CASTELNUOVO,RIVOLUZIONE CIVILE,14,,
CASTELNUOVO,FARE PER FERMARE IL DECLINO,13,,
CAVALESE,IL POPOLO DELLA LIBERTA' - LEGA NORD,682,,
CAVALESE,SVP - PATT - PD - UPT,620,,
CAVALESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,374,,
CAVALESE,RIVOLUZIONE CIVILE,96,,
CAVALESE,FARE PER FERMARE IL DECLINO,45,,
CAVALESE,MIR - MODERATI IN RIVOLUZIONE,24,,
CENTA SAN NICOLO',SVP - PATT - PD - UPT,171,,
CENTA SAN NICOLO',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,88,,
CENTA SAN NICOLO',IL POPOLO DELLA LIBERTA' - LEGA NORD,50,,
CENTA SAN NICOLO',RIVOLUZIONE CIVILE,12,,
CENTA SAN NICOLO',FARE PER FERMARE IL DECLINO,4,,
CENTA SAN NICOLO',MIR - MODERATI IN RIVOLUZIONE,2,,
CINTE TESINO,SVP - PATT - PD - UPT,102,,
CINTE TESINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,54,,
CINTE TESINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,35,,
CINTE TESINO,MIR - MODERATI IN RIVOLUZIONE,6,,
CINTE TESINO,RIVOLUZIONE CIVILE,6,,
CINTE TESINO,FARE PER FERMARE IL DECLINO,3,,
CIVEZZANO,SVP - PATT - PD - UPT,1081,,
CIVEZZANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,566,,
CIVEZZANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,464,,
CIVEZZANO,FARE PER FERMARE IL DECLINO,68,,
CIVEZZANO,RIVOLUZIONE CIVILE,52,,
CIVEZZANO,MIR - MODERATI IN RIVOLUZIONE,11,,
DAIANO,SVP - PATT - PD - UPT,146,,
DAIANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,84,,
DAIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,62,,
DAIANO,RIVOLUZIONE CIVILE,14,,
DAIANO,FARE PER FERMARE IL DECLINO,5,,
DAIANO,MIR - MODERATI IN RIVOLUZIONE,3,,
FIERA DI PRIMIERO,SVP - PATT - PD - UPT,118,,
FIERA DI PRIMIERO,IL POPOLO DELLA LIBERTA' - LEGA NORD,87,,
FIERA DI PRIMIERO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,55,,
FIERA DI PRIMIERO,MIR - MODERATI IN RIVOLUZIONE,3,,
