Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALBINEA ,6831,5999,36,109,
BAGNOLO IN PIANO ,6902,5963,30,126,
BAISO ,2622,2120,24,60,
BIBBIANO ,7470,6208,55,184,
BORETTO ,3692,2979,23,99,
BRESCELLO ,4118,3217,22,115,
BUSANA ,1056,856,8,44,
CADELBOSCO DI SOPRA ,7501,6223,53,173,
CAMPAGNOLA EMILIA ,3885,3332,36,71,
CAMPEGINE ,3687,3072,21,74,
CANOSSA ,2950,2382,27,68,
CARPINETI ,3298,2733,28,83,
CASALGRANDE ,13996,11715,96,290,
CASINA ,3607,2950,39,98,
CASTELLARANO ,11429,9651,70,230,
CASTELNOVO DI SOTTO ,6250,5216,44,140,
CASTELNOVO NE' MONTI ,8144,6787,68,189,
CAVRIAGO ,7419,6248,53,166,
COLLAGNA ,823,586,4,26,
CORREGGIO ,18281,15621,105,338,
FABBRICO ,4585,3987,50,104,
GATTATICO ,4400,3688,26,93,
GUALTIERI ,4856,4039,32,121,
GUASTALLA ,11059,9126,80,319,
LIGONCHIO ,729,527,5,19,
LUZZARA ,6228,5283,56,197,
MONTECCHIO EMILIA ,7881,6684,46,163,
NOVELLARA ,9685,8226,51,190,
POVIGLIO ,5226,4386,18,112,
QUATTRO CASTELLA ,10197,8733,58,219,
RAMISETO ,1105,809,6,34,
REGGIO NELL'EMILIA ,117325,96573,545,1758,
REGGIOLO ,6671,5673,66,189,
RIO SALICETO ,4364,3786,33,103,
ROLO ,2753,2353,23,64,
RUBIERA ,10771,9212,79,209,
SAN MARTINO IN RIO ,5847,4987,34,118,
SAN POLO D'ENZA ,4533,3707,36,95,
SANT'ILARIO D'ENZA ,8258,6964,48,154,
SCANDIANO ,19406,16686,133,390,
TOANO ,3417,2669,27,81,
VETTO ,1606,1249,13,47,
VEZZANO SUL CROSTOLO ,3357,2873,30,80,
VIANO ,2711,2232,17,56,
VILLA MINOZZO ,3231,2390,27,81,
