Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
PUEGNAGO DEL GARDA ,2376,1921,19,55,
QUINZANO D'OGLIO ,4361,3642,62,164,
REMEDELLO ,2107,1749,35,64,
REZZATO ,9000,7517,71,208,
ROCCAFRANCA ,2898,2511,42,113,
RODENGO SAIANO ,6362,5459,50,143,
ROE' VOLCIANO ,3223,2585,25,74,
RONCADELLE ,6207,5283,43,149,
ROVATO ,11240,9206,129,335,
RUDIANO ,3498,2963,35,118,
SABBIO CHIESE ,2509,2002,43,79,
SALE MARASINO ,2500,2077,35,74,
SALO' ,7673,6119,59,152,
SAN FELICE DEL BENACO ,2470,2028,24,49,
SAN GERVASIO BRESCIANO ,1500,1244,33,79,
SAN PAOLO ,2841,2412,45,92,
SAN ZENO NAVIGLIO ,3187,2752,34,83,
SAREZZO ,9036,7544,70,272,
SAVIORE DELL'ADAMELLO ,800,619,17,43,
SELLERO ,1109,911,22,40,
SENIGA ,1059,860,17,67,
SERLE ,2267,1732,30,74,
SIRMIONE ,5473,4390,40,105,
SOIANO DEL LAGO ,1282,1090,12,27,
SONICO ,998,850,19,56,
SULZANO ,1370,1111,19,39,
TAVERNOLE SUL MELLA ,953,771,16,39,
TEMU' ,804,684,21,37,
TIGNALE ,889,709,17,31,
TORBOLE CASAGLIA ,4211,3557,37,110,
TOSCOLANO MADERNO ,5628,4587,51,132,
TRAVAGLIATO ,9034,7529,83,265,
TREMOSINE ,1330,1085,22,43,
TRENZANO ,3490,2969,52,115,
TREVISO BRESCIANO ,398,305,6,15,
URAGO D'OGLIO ,2354,1989,28,74,
VALLIO TERME ,987,817,9,35,
VALVESTINO ,184,113,2,4,
VEROLANUOVA ,5630,4805,57,164,
VEROLAVECCHIA ,2828,2398,36,115,
VESTONE ,2865,2278,31,72,
VEZZA D'OGLIO ,1087,888,21,60,
VILLA CARCINA ,7499,6223,67,189,
VILLACHIARA ,995,861,17,36,
VILLANUOVA SUL CLISI ,3917,3213,28,97,
VIONE ,583,452,9,44,
VISANO ,1288,1147,10,31,
VOBARNO ,5263,4194,52,135,
ZONE ,842,665,7,26,
