Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACERNO ,2333,1700,44,82,
AGROPOLI ,16774,12006,172,491,
ALBANELLA ,5062,3689,90,194,
ALFANO ,908,594,30,62,
ALTAVILLA SILENTINA ,5660,4157,112,274,
AMALFI ,4321,3151,65,181,
ANGRI ,25812,18538,270,865,
AQUARA ,1335,917,30,69,
ASCEA ,4672,3320,76,164,
ATENA LUCANA ,1841,1246,30,69,
ATRANI ,743,522,7,25,
AULETTA ,1888,1427,41,65,
BARONISSI ,13311,10439,156,472,
BATTIPAGLIA ,39779,29268,337,1145,
BELLIZZI ,10491,7753,144,376,
BELLOSGUARDO ,694,527,18,28,
BRACIGLIANO ,4166,3178,110,218,
BUCCINO ,4379,3256,114,215,
BUONABITACOLO ,2084,1424,45,78,
CAGGIANO ,2319,1703,75,124,
CALVANICO ,1206,937,23,56,
CAMEROTA ,5920,3957,96,201,
CAMPAGNA ,12639,9207,182,431,
CAMPORA ,421,324,13,16,
CANNALONGA ,935,743,31,47,
CAPACCIO ,16785,12161,340,672,
CASAL VELINO ,4106,2990,100,188,
CASALBUONO ,986,694,30,46,
CASALETTO SPARTANO ,1229,800,70,96,
CASELLE IN PITTARI ,1641,1165,32,66,
CASTEL SAN GIORGIO ,10745,8489,131,353,
CASTEL SAN LORENZO ,2127,1407,49,96,
CASTELCIVITA ,1599,961,36,56,
CASTELLABATE ,7111,5049,104,255,
CASTELNUOVO CILENTO ,2096,1552,49,103,
CASTELNUOVO DI CONZA ,542,310,12,23,
CASTIGLIONE DEL GENOVESI ,1049,797,16,49,
CAVA DE' TIRRENI ,43695,32653,445,1401,
CELLE DI BULGHERIA ,1596,1132,25,59,
CENTOLA ,4289,2948,75,167,
CERASO ,2034,1467,64,120,
CETARA ,1868,1360,32,52,
CICERALE ,1031,703,18,42,
COLLIANO ,3052,1906,82,169,
CONCA DEI MARINI ,594,423,7,22,
CONTRONE ,744,504,15,24,
CONTURSI TERME ,2651,1987,54,85,
CORBARA ,2059,1528,38,106,
CORLETO MONFORTE ,528,345,7,23,
CUCCARO VETERE ,484,421,12,16,
EBOLI ,28387,20167,318,884,
FELITTO ,1099,771,36,69,
FISCIANO ,10862,8449,152,393,
FURORE ,638,458,9,16,
FUTANI ,993,657,16,28,
GIFFONI SEI CASALI ,4174,3070,99,228,
GIFFONI VALLE PIANA ,9496,6810,162,468,
GIOI ,1138,695,32,48,
GIUNGANO ,964,711,27,47,
ISPANI ,851,604,5,16,
LAUREANA CILENTO ,951,618,15,28,
LAURINO ,1394,955,41,70,
LAURITO ,698,455,31,35,
LAVIANO ,1220,752,46,75,
LUSTRA ,883,627,28,61,
MAGLIANO VETERE ,612,421,24,42,
MAIORI ,4589,3309,64,160,
MERCATO SAN SEVERINO ,17506,13702,267,666,
MINORI ,2379,1815,37,96,
MOIO DELLA CIVITELLA ,1599,1092,18,42,
MONTANO ANTILIA ,1865,1195,41,77,
MONTE SAN GIACOMO ,1337,879,24,56,
MONTECORICE ,2131,1478,27,53,
MONTECORVINO PUGLIANO ,7943,5918,98,282,
MONTECORVINO ROVELLA ,9883,6917,144,336,
MONTEFORTE CILENTO ,471,285,12,22,
MONTESANO SULLA MARCELLANA ,5626,3856,194,361,
MORIGERATI ,626,405,13,22,
NOCERA INFERIORE ,37135,25917,352,1104,
NOCERA SUPERIORE ,19378,14278,226,700,
NOVI VELIA ,1865,1421,47,89,
OGLIASTRO CILENTO ,1885,1275,50,72,
OLEVANO SUL TUSCIANO ,5442,3963,99,250,
OLIVETO CITRA ,3148,2197,111,213,
OMIGNANO ,1310,935,37,95,
ORRIA ,980,614,22,45,
OTTATI ,594,372,9,20,
PADULA ,4420,3024,97,191,
PAGANI ,27744,18427,260,818,
PALOMONTE ,3228,2302,90,212,
PELLEZZANO ,8744,6806,71,254,
PERDIFUMO ,1494,1051,36,60,
PERITO ,821,519,19,30,
PERTOSA ,564,413,17,26,
PETINA ,943,653,34,59,
PIAGGINE ,1218,841,30,67,
PISCIOTTA ,2232,1474,42,92,
POLLA ,4242,3118,62,147,
POLLICA ,1969,1332,35,80,
PONTECAGNANO FAIANO ,19838,14732,164,547,
POSITANO ,3134,2319,20,67,
POSTIGLIONE ,1824,1253,37,79,
PRAIANO ,1695,1243,59,89,
PRIGNANO CILENTO ,814,546,12,24,
RAVELLO ,2030,1408,49,78,
RICIGLIANO ,1029,722,41,60,
ROCCADASPIDE ,5935,4145,112,258,
ROCCAGLORIOSA ,1546,1029,29,77,
ROCCAPIEMONTE ,7245,5423,97,245,
ROFRANO ,1559,802,42,68,
ROMAGNANO AL MONTE ,316,233,12,19,
ROSCIGNO ,710,400,18,29,
RUTINO ,735,547,15,33,
SACCO ,470,305,8,10,
SALA CONSILINA ,10367,7280,119,346,
SALENTO ,1660,1253,42,76,
SALERNO ,112112,83256,811,2657,
SALVITELLE ,515,371,19,32,
SAN CIPRIANO PICENTINO ,5230,4073,91,245,
SAN GIOVANNI A PIRO ,3140,2205,74,140,
SAN GREGORIO MAGNO ,3663,2745,109,169,
SAN MANGO PIEMONTE ,2046,1627,31,71,
SAN MARZANO SUL SARNO ,7507,5366,143,355,
SAN MAURO CILENTO ,804,556,12,34,
SAN MAURO LA BRUCA ,535,388,14,25,
SAN PIETRO AL TANAGRO ,1364,951,15,51,
SAN RUFO ,1432,927,44,95,
SAN VALENTINO TORIO ,7764,5877,104,337,
SANT'ANGELO A FASANELLA ,576,358,15,20,
SANT'ARSENIO ,2179,1573,25,67,
SANT'EGIDIO DEL MONTE ALBINO ,6781,5075,83,229,
SANTA MARINA ,2586,1843,43,89,
SANTOMENNA ,394,247,10,18,
SANZA ,2216,1573,38,66,
SAPRI ,5641,3874,80,198,
SARNO ,24146,17171,281,931,
SASSANO ,4129,2649,92,173,
SCAFATI ,38382,27728,348,1076,
SCALA ,1273,948,34,59,
SERRAMEZZANA ,286,188,8,14,
SERRE ,3205,2220,58,140,
SESSA CILENTO ,1149,799,25,58,
SIANO ,7936,6317,84,278,
SICIGNANO DEGLI ALBURNI ,2752,1963,64,139,
STELLA CILENTO ,637,481,12,25,
STIO ,766,559,15,32,
TEGGIANO ,6538,4306,102,234,
TORCHIARA ,1477,1051,25,58,
TORRACA ,1034,734,31,61,
TORRE ORSAIA ,1861,1269,53,123,
TORTORELLA ,465,284,18,31,
TRAMONTI ,3325,2317,73,133,
TRENTINARA ,1428,980,23,60,
VALLE DELL'ANGELO ,234,191,3,8,
VALLO DELLA LUCANIA ,7044,5524,110,336,
VALVA ,1471,1006,35,75,
VIBONATI ,2750,1821,53,95,
VIETRI SUL MARE ,6714,5003,61,209,
