Ente,Candidato,Liste/Gruppi,Voti lista,,
ASCREA,SIMONE DI STEFANO ASCREA,CASAPOUND ITALIA,3,,
ASCREA,LUCA ROMAGNOLI ASCREA,FIAMMA TRICOLORE,0,,
ASCREA,ANTONIO CORSI ASCREA,TUTTI INSIEME PER L'ITALIA,0,,
ASCREA,CARLA CORSETTI ASCREA,DEMOCRAZIA ATEA,0,,
BELMONTE IN SABINA,PIER LUIGI BERSANI BELMONTE IN SABINA,PARTITO DEMOCRATICO,78,,
BELMONTE IN SABINA,,SINISTRA ECOLOGIA LIBERTA',17,,
BELMONTE IN SABINA,,CENTRO DEMOCRATICO,1,,
BELMONTE IN SABINA,SILVIO BERLUSCONI BELMONTE IN SABINA,IL POPOLO DELLA LIBERTA',80,,
BELMONTE IN SABINA,,FRATELLI D'ITALIA,10,,
BELMONTE IN SABINA,,LA DESTRA,6,,
BELMONTE IN SABINA,,LEGA NORD,2,,
BELMONTE IN SABINA,,MIR - MODERATI IN RIVOLUZIONE,2,,
BELMONTE IN SABINA,,INTESA POPOLARE,0,,
BELMONTE IN SABINA,GIUSEPPE PIERO GRILLO BELMONTE IN SABINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,153,,
BELMONTE IN SABINA,MARIO MONTI BELMONTE IN SABINA,UNIONE DI CENTRO,10,,
BELMONTE IN SABINA,,SCELTA CIVICA CON MONTI PER L'ITALIA,9,,
BELMONTE IN SABINA,,FUTURO E LIBERTA',0,,
BELMONTE IN SABINA,ANTONIO INGROIA BELMONTE IN SABINA,RIVOLUZIONE CIVILE,1,,
BELMONTE IN SABINA,OSCAR FULVIO GIANNINO BELMONTE IN SABINA,FARE PER FERMARE IL DECLINO,3,,
BELMONTE IN SABINA,MARCO FERRANDO BELMONTE IN SABINA,PARTITO COMUNISTA DEI LAVORATORI,1,,
BELMONTE IN SABINA,ROBERTO FIORE BELMONTE IN SABINA,FORZA NUOVA,2,,
BELMONTE IN SABINA,SIMONE DI STEFANO BELMONTE IN SABINA,CASAPOUND ITALIA,4,,
BELMONTE IN SABINA,LUCA ROMAGNOLI BELMONTE IN SABINA,FIAMMA TRICOLORE,1,,
BELMONTE IN SABINA,ANTONIO CORSI BELMONTE IN SABINA,TUTTI INSIEME PER L'ITALIA,1,,
BELMONTE IN SABINA,CARLA CORSETTI BELMONTE IN SABINA,DEMOCRAZIA ATEA,0,,
BORBONA,PIER LUIGI BERSANI BORBONA,PARTITO DEMOCRATICO,124,,
BORBONA,,SINISTRA ECOLOGIA LIBERTA',27,,
BORBONA,,CENTRO DEMOCRATICO,0,,
BORBONA,SILVIO BERLUSCONI BORBONA,IL POPOLO DELLA LIBERTA',84,,
BORBONA,,LA DESTRA,8,,
BORBONA,,FRATELLI D'ITALIA,7,,
BORBONA,,LEGA NORD,0,,
BORBONA,,INTESA POPOLARE,0,,
BORBONA,,MIR - MODERATI IN RIVOLUZIONE,0,,
BORBONA,GIUSEPPE PIERO GRILLO BORBONA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,91,,
BORBONA,MARIO MONTI BORBONA,SCELTA CIVICA CON MONTI PER L'ITALIA,15,,
BORBONA,,FUTURO E LIBERTA',5,,
BORBONA,,UNIONE DI CENTRO,3,,
BORBONA,ANTONIO INGROIA BORBONA,RIVOLUZIONE CIVILE,12,,
BORBONA,OSCAR FULVIO GIANNINO BORBONA,FARE PER FERMARE IL DECLINO,3,,
BORBONA,MARCO FERRANDO BORBONA,PARTITO COMUNISTA DEI LAVORATORI,0,,
BORBONA,ROBERTO FIORE BORBONA,FORZA NUOVA,1,,
BORBONA,SIMONE DI STEFANO BORBONA,CASAPOUND ITALIA,8,,
BORBONA,LUCA ROMAGNOLI BORBONA,FIAMMA TRICOLORE,14,,
BORBONA,ANTONIO CORSI BORBONA,TUTTI INSIEME PER L'ITALIA,0,,
BORBONA,CARLA CORSETTI BORBONA,DEMOCRAZIA ATEA,1,,
BORGO VELINO,PIER LUIGI BERSANI BORGO VELINO,PARTITO DEMOCRATICO,151,,
BORGO VELINO,,SINISTRA ECOLOGIA LIBERTA',29,,
BORGO VELINO,,CENTRO DEMOCRATICO,2,,
BORGO VELINO,SILVIO BERLUSCONI BORGO VELINO,IL POPOLO DELLA LIBERTA',148,,
BORGO VELINO,,FRATELLI D'ITALIA,20,,
BORGO VELINO,,LA DESTRA,15,,
BORGO VELINO,,LEGA NORD,1,,
BORGO VELINO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BORGO VELINO,,INTESA POPOLARE,0,,
BORGO VELINO,GIUSEPPE PIERO GRILLO BORGO VELINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,200,,
BORGO VELINO,MARIO MONTI BORGO VELINO,SCELTA CIVICA CON MONTI PER L'ITALIA,27,,
BORGO VELINO,,UNIONE DI CENTRO,20,,
BORGO VELINO,,FUTURO E LIBERTA',1,,
BORGO VELINO,ANTONIO INGROIA BORGO VELINO,RIVOLUZIONE CIVILE,10,,
BORGO VELINO,OSCAR FULVIO GIANNINO BORGO VELINO,FARE PER FERMARE IL DECLINO,0,,
BORGO VELINO,MARCO FERRANDO BORGO VELINO,PARTITO COMUNISTA DEI LAVORATORI,7,,
BORGO VELINO,ROBERTO FIORE BORGO VELINO,FORZA NUOVA,2,,
BORGO VELINO,SIMONE DI STEFANO BORGO VELINO,CASAPOUND ITALIA,2,,
BORGO VELINO,LUCA ROMAGNOLI BORGO VELINO,FIAMMA TRICOLORE,0,,
BORGO VELINO,ANTONIO CORSI BORGO VELINO,TUTTI INSIEME PER L'ITALIA,0,,
BORGO VELINO,CARLA CORSETTI BORGO VELINO,DEMOCRAZIA ATEA,0,,
BORGOROSE,PIER LUIGI BERSANI BORGOROSE,PARTITO DEMOCRATICO,536,,
BORGOROSE,,SINISTRA ECOLOGIA LIBERTA',188,,
BORGOROSE,,CENTRO DEMOCRATICO,11,,
BORGOROSE,SILVIO BERLUSCONI BORGOROSE,IL POPOLO DELLA LIBERTA',689,,
BORGOROSE,,LA DESTRA,177,,
BORGOROSE,,FRATELLI D'ITALIA,40,,
BORGOROSE,,MIR - MODERATI IN RIVOLUZIONE,11,,
BORGOROSE,,LEGA NORD,3,,
BORGOROSE,,INTESA POPOLARE,2,,
BORGOROSE,GIUSEPPE PIERO GRILLO BORGOROSE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,693,,
BORGOROSE,MARIO MONTI BORGOROSE,SCELTA CIVICA CON MONTI PER L'ITALIA,126,,
BORGOROSE,,UNIONE DI CENTRO,50,,
BORGOROSE,,FUTURO E LIBERTA',12,,
BORGOROSE,ANTONIO INGROIA BORGOROSE,RIVOLUZIONE CIVILE,46,,
BORGOROSE,OSCAR FULVIO GIANNINO BORGOROSE,FARE PER FERMARE IL DECLINO,4,,
BORGOROSE,MARCO FERRANDO BORGOROSE,PARTITO COMUNISTA DEI LAVORATORI,8,,
BORGOROSE,ROBERTO FIORE BORGOROSE,FORZA NUOVA,7,,
BORGOROSE,SIMONE DI STEFANO BORGOROSE,CASAPOUND ITALIA,7,,
BORGOROSE,LUCA ROMAGNOLI BORGOROSE,FIAMMA TRICOLORE,7,,
BORGOROSE,ANTONIO CORSI BORGOROSE,TUTTI INSIEME PER L'ITALIA,3,,
BORGOROSE,CARLA CORSETTI BORGOROSE,DEMOCRAZIA ATEA,1,,
CANTALICE,PIER LUIGI BERSANI CANTALICE,PARTITO DEMOCRATICO,460,,
CANTALICE,,SINISTRA ECOLOGIA LIBERTA',33,,
CANTALICE,,CENTRO DEMOCRATICO,3,,
