Ente,Liste/Gruppi,Voti,,
CHIUSA,LA DESTRA,4,,
CORVARA IN BADIA,SVP,442,,
CORVARA IN BADIA,VERDI - GRUNE - VERC,90,,
CORVARA IN BADIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,86,,
CORVARA IN BADIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,67,,
CORVARA IN BADIA,DIE FREIHEITLICHEN,50,,
CORVARA IN BADIA,SCELTA CIVICA CON MONTI PER L'ITALIA,24,,
CORVARA IN BADIA,PARTITO DEMOCRATICO,21,,
CORVARA IN BADIA,LA DESTRA,6,,
CORVARA IN BADIA,RIVOLUZIONE CIVILE,3,,
CORVARA IN BADIA,L'ALTO ADIGE NEL CUORE,1,,
DOBBIACO,SVP,948,,
DOBBIACO,DIE FREIHEITLICHEN,323,,
DOBBIACO,IL POPOLO DELLA LIBERTA' - LEGA NORD,132,,
DOBBIACO,VERDI - GRUNE - VERC,120,,
DOBBIACO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,99,,
DOBBIACO,SCELTA CIVICA CON MONTI PER L'ITALIA,98,,
DOBBIACO,PARTITO DEMOCRATICO,94,,
DOBBIACO,L'ALTO ADIGE NEL CUORE,14,,
DOBBIACO,LA DESTRA,6,,
DOBBIACO,RIVOLUZIONE CIVILE,3,,
FALZES,SVP,859,,
FALZES,DIE FREIHEITLICHEN,370,,
FALZES,VERDI - GRUNE - VERC,109,,
FALZES,SCELTA CIVICA CON MONTI PER L'ITALIA,46,,
FALZES,PARTITO DEMOCRATICO,28,,
FALZES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24,,
FALZES,IL POPOLO DELLA LIBERTA' - LEGA NORD,20,,
FALZES,RIVOLUZIONE CIVILE,6,,
FALZES,L'ALTO ADIGE NEL CUORE,0,,
FALZES,LA DESTRA,0,,
FIE' ALLO SCILIAR,SVP,1008,,
FIE' ALLO SCILIAR,DIE FREIHEITLICHEN,393,,
FIE' ALLO SCILIAR,VERDI - GRUNE - VERC,147,,
FIE' ALLO SCILIAR,PARTITO DEMOCRATICO,76,,
FIE' ALLO SCILIAR,SCELTA CIVICA CON MONTI PER L'ITALIA,60,,
FIE' ALLO SCILIAR,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,51,,
FIE' ALLO SCILIAR,IL POPOLO DELLA LIBERTA' - LEGA NORD,46,,
FIE' ALLO SCILIAR,RIVOLUZIONE CIVILE,6,,
FIE' ALLO SCILIAR,LA DESTRA,1,,
FIE' ALLO SCILIAR,L'ALTO ADIGE NEL CUORE,0,,
FORTEZZA,SVP,164,,
FORTEZZA,DIE FREIHEITLICHEN,78,,
FORTEZZA,PARTITO DEMOCRATICO,61,,
FORTEZZA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,49,,
FORTEZZA,SCELTA CIVICA CON MONTI PER L'ITALIA,40,,
FORTEZZA,IL POPOLO DELLA LIBERTA' - LEGA NORD,36,,
FORTEZZA,VERDI - GRUNE - VERC,19,,
FORTEZZA,L'ALTO ADIGE NEL CUORE,11,,
FORTEZZA,RIVOLUZIONE CIVILE,10,,
FORTEZZA,LA DESTRA,2,,
FUNES,SVP,1008,,
FUNES,DIE FREIHEITLICHEN,273,,
FUNES,VERDI - GRUNE - VERC,66,,
FUNES,SCELTA CIVICA CON MONTI PER L'ITALIA,30,,
FUNES,PARTITO DEMOCRATICO,22,,
FUNES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16,,
FUNES,IL POPOLO DELLA LIBERTA' - LEGA NORD,5,,
FUNES,RIVOLUZIONE CIVILE,2,,
FUNES,LA DESTRA,1,,
FUNES,L'ALTO ADIGE NEL CUORE,0,,
GAIS,SVP,1010,,
GAIS,DIE FREIHEITLICHEN,531,,
GAIS,VERDI - GRUNE - VERC,86,,
GAIS,PARTITO DEMOCRATICO,53,,
GAIS,SCELTA CIVICA CON MONTI PER L'ITALIA,44,,
GAIS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,22,,
