Ente,Candidato,Liste/Gruppi,Voti lista,,
BARRAFRANCA,ROBERTO FIORE BARRAFRANCA,FORZA NUOVA,214,,
BARRAFRANCA,GIACINTO MARCO PANNELLA BARRAFRANCA,LISTA AMNISTIA GIUSTIZIA LIBERTA',23,,
BARRAFRANCA,LUCA ROMAGNOLI BARRAFRANCA,FIAMMA TRICOLORE,4,,
BARRAFRANCA,RENATA JANNUZZI BARRAFRANCA,LIBERALI PER L'ITALIA - PLI,10,,
BARRAFRANCA,FRANCO TORCHIA BARRAFRANCA,PRI,3,,
BARRAFRANCA,MARINA PETRINI BARRAFRANCA,MOVIMENTO PROGETTO ITALIA - MID,6,,
CALASCIBETTA,PIER LUIGI BERSANI CALASCIBETTA,PARTITO DEMOCRATICO,564,,
CALASCIBETTA,,SINISTRA ECOLOGIA LIBERTA',48,,
CALASCIBETTA,,CENTRO DEMOCRATICO,4,,
CALASCIBETTA,SILVIO BERLUSCONI CALASCIBETTA,IL POPOLO DELLA LIBERTA',508,,
CALASCIBETTA,,GRANDE SUD - MPA,69,,
CALASCIBETTA,,FRATELLI D'ITALIA,51,,
CALASCIBETTA,,LA DESTRA,18,,
CALASCIBETTA,,LEGA NORD,11,,
CALASCIBETTA,,MIR - MODERATI IN RIVOLUZIONE,4,,
CALASCIBETTA,GIUSEPPE PIERO GRILLO CALASCIBETTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,643,,
CALASCIBETTA,MARIO MONTI CALASCIBETTA,SCELTA CIVICA CON MONTI PER L'ITALIA,206,,
CALASCIBETTA,,UNIONE DI CENTRO,152,,
CALASCIBETTA,,FUTURO E LIBERTA',1,,
CALASCIBETTA,ANTONIO INGROIA CALASCIBETTA,RIVOLUZIONE CIVILE,181,,
CALASCIBETTA,OSCAR FULVIO GIANNINO CALASCIBETTA,FARE PER FERMARE IL DECLINO,8,,
CALASCIBETTA,MARCO FERRANDO CALASCIBETTA,PARTITO COMUNISTA DEI LAVORATORI,3,,
CALASCIBETTA,ROBERTO FIORE CALASCIBETTA,FORZA NUOVA,5,,
CALASCIBETTA,GIACINTO MARCO PANNELLA CALASCIBETTA,LISTA AMNISTIA GIUSTIZIA LIBERTA',7,,
CALASCIBETTA,LUCA ROMAGNOLI CALASCIBETTA,FIAMMA TRICOLORE,6,,
CALASCIBETTA,RENATA JANNUZZI CALASCIBETTA,LIBERALI PER L'ITALIA - PLI,6,,
CALASCIBETTA,FRANCO TORCHIA CALASCIBETTA,PRI,2,,
CALASCIBETTA,MARINA PETRINI CALASCIBETTA,MOVIMENTO PROGETTO ITALIA - MID,6,,
CATENANUOVA,PIER LUIGI BERSANI CATENANUOVA,PARTITO DEMOCRATICO,535,,
CATENANUOVA,,SINISTRA ECOLOGIA LIBERTA',29,,
CATENANUOVA,,CENTRO DEMOCRATICO,6,,
CATENANUOVA,SILVIO BERLUSCONI CATENANUOVA,IL POPOLO DELLA LIBERTA',558,,
CATENANUOVA,,GRANDE SUD - MPA,113,,
CATENANUOVA,,FRATELLI D'ITALIA,80,,
CATENANUOVA,,LA DESTRA,11,,
CATENANUOVA,,LEGA NORD,6,,
CATENANUOVA,,MIR - MODERATI IN RIVOLUZIONE,2,,
CATENANUOVA,GIUSEPPE PIERO GRILLO CATENANUOVA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,830,,
CATENANUOVA,MARIO MONTI CATENANUOVA,SCELTA CIVICA CON MONTI PER L'ITALIA,180,,
CATENANUOVA,,UNIONE DI CENTRO,49,,
CATENANUOVA,,FUTURO E LIBERTA',1,,
CATENANUOVA,ANTONIO INGROIA CATENANUOVA,RIVOLUZIONE CIVILE,99,,
CATENANUOVA,OSCAR FULVIO GIANNINO CATENANUOVA,FARE PER FERMARE IL DECLINO,7,,
CATENANUOVA,MARCO FERRANDO CATENANUOVA,PARTITO COMUNISTA DEI LAVORATORI,7,,
CATENANUOVA,ROBERTO FIORE CATENANUOVA,FORZA NUOVA,2,,
CATENANUOVA,GIACINTO MARCO PANNELLA CATENANUOVA,LISTA AMNISTIA GIUSTIZIA LIBERTA',14,,
CATENANUOVA,LUCA ROMAGNOLI CATENANUOVA,FIAMMA TRICOLORE,8,,
CATENANUOVA,RENATA JANNUZZI CATENANUOVA,LIBERALI PER L'ITALIA - PLI,2,,
CATENANUOVA,FRANCO TORCHIA CATENANUOVA,PRI,0,,
CATENANUOVA,MARINA PETRINI CATENANUOVA,MOVIMENTO PROGETTO ITALIA - MID,6,,
CENTURIPE,PIER LUIGI BERSANI CENTURIPE,PARTITO DEMOCRATICO,657,,
CENTURIPE,,SINISTRA ECOLOGIA LIBERTA',86,,
CENTURIPE,,CENTRO DEMOCRATICO,12,,
CENTURIPE,SILVIO BERLUSCONI CENTURIPE,IL POPOLO DELLA LIBERTA',476,,
CENTURIPE,,GRANDE SUD - MPA,40,,
CENTURIPE,,FRATELLI D'ITALIA,29,,
CENTURIPE,,LA DESTRA,13,,
CENTURIPE,,MIR - MODERATI IN RIVOLUZIONE,10,,
CENTURIPE,,LEGA NORD,8,,
CENTURIPE,GIUSEPPE PIERO GRILLO CENTURIPE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1320,,
CENTURIPE,MARIO MONTI CENTURIPE,UNIONE DI CENTRO,163,,
CENTURIPE,,SCELTA CIVICA CON MONTI PER L'ITALIA,150,,
CENTURIPE,,FUTURO E LIBERTA',6,,
CENTURIPE,ANTONIO INGROIA CENTURIPE,RIVOLUZIONE CIVILE,83,,
CENTURIPE,OSCAR FULVIO GIANNINO CENTURIPE,FARE PER FERMARE IL DECLINO,3,,
CENTURIPE,MARCO FERRANDO CENTURIPE,PARTITO COMUNISTA DEI LAVORATORI,9,,
CENTURIPE,ROBERTO FIORE CENTURIPE,FORZA NUOVA,0,,
CENTURIPE,GIACINTO MARCO PANNELLA CENTURIPE,LISTA AMNISTIA GIUSTIZIA LIBERTA',7,,
CENTURIPE,LUCA ROMAGNOLI CENTURIPE,FIAMMA TRICOLORE,7,,
CENTURIPE,RENATA JANNUZZI CENTURIPE,LIBERALI PER L'ITALIA - PLI,10,,
CENTURIPE,FRANCO TORCHIA CENTURIPE,PRI,3,,
CENTURIPE,MARINA PETRINI CENTURIPE,MOVIMENTO PROGETTO ITALIA - MID,2,,
CERAMI,PIER LUIGI BERSANI CERAMI,PARTITO DEMOCRATICO,267,,
CERAMI,,SINISTRA ECOLOGIA LIBERTA',16,,
CERAMI,,CENTRO DEMOCRATICO,2,,
CERAMI,SILVIO BERLUSCONI CERAMI,IL POPOLO DELLA LIBERTA',310,,
CERAMI,,MIR - MODERATI IN RIVOLUZIONE,49,,
CERAMI,,GRANDE SUD - MPA,41,,
CERAMI,,LA DESTRA,28,,
CERAMI,,FRATELLI D'ITALIA,26,,
CERAMI,,LEGA NORD,1,,
CERAMI,GIUSEPPE PIERO GRILLO CERAMI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,184,,
CERAMI,MARIO MONTI CERAMI,SCELTA CIVICA CON MONTI PER L'ITALIA,56,,
CERAMI,,UNIONE DI CENTRO,25,,
CERAMI,,FUTURO E LIBERTA',2,,
CERAMI,ANTONIO INGROIA CERAMI,RIVOLUZIONE CIVILE,36,,
CERAMI,OSCAR FULVIO GIANNINO CERAMI,FARE PER FERMARE IL DECLINO,4,,
CERAMI,MARCO FERRANDO CERAMI,PARTITO COMUNISTA DEI LAVORATORI,1,,
CERAMI,ROBERTO FIORE CERAMI,FORZA NUOVA,3,,
CERAMI,GIACINTO MARCO PANNELLA CERAMI,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
CERAMI,LUCA ROMAGNOLI CERAMI,FIAMMA TRICOLORE,2,,
CERAMI,RENATA JANNUZZI CERAMI,LIBERALI PER L'ITALIA - PLI,5,,
CERAMI,FRANCO TORCHIA CERAMI,PRI,0,,
CERAMI,MARINA PETRINI CERAMI,MOVIMENTO PROGETTO ITALIA - MID,0,,
ENNA,PIER LUIGI BERSANI ENNA,PARTITO DEMOCRATICO,3116,,
ENNA,,SINISTRA ECOLOGIA LIBERTA',597,,
ENNA,,CENTRO DEMOCRATICO,55,,
ENNA,SILVIO BERLUSCONI ENNA,IL POPOLO DELLA LIBERTA',2258,,
ENNA,,GRANDE SUD - MPA,599,,
ENNA,,FRATELLI D'ITALIA,145,,
ENNA,,LEGA NORD,80,,
ENNA,,LA DESTRA,75,,
ENNA,,MIR - MODERATI IN RIVOLUZIONE,51,,
ENNA,GIUSEPPE PIERO GRILLO ENNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,5084,,
ENNA,MARIO MONTI ENNA,SCELTA CIVICA CON MONTI PER L'ITALIA,1559,,
ENNA,,UNIONE DI CENTRO,508,,
ENNA,,FUTURO E LIBERTA',68,,
ENNA,ANTONIO INGROIA ENNA,RIVOLUZIONE CIVILE,914,,
ENNA,OSCAR FULVIO GIANNINO ENNA,FARE PER FERMARE IL DECLINO,292,,
ENNA,MARCO FERRANDO ENNA,PARTITO COMUNISTA DEI LAVORATORI,33,,
ENNA,ROBERTO FIORE ENNA,FORZA NUOVA,52,,
ENNA,GIACINTO MARCO PANNELLA ENNA,LISTA AMNISTIA GIUSTIZIA LIBERTA',69,,
ENNA,LUCA ROMAGNOLI ENNA,FIAMMA TRICOLORE,29,,
ENNA,RENATA JANNUZZI ENNA,LIBERALI PER L'ITALIA - PLI,12,,
ENNA,FRANCO TORCHIA ENNA,PRI,12,,
ENNA,MARINA PETRINI ENNA,MOVIMENTO PROGETTO ITALIA - MID,10,,
GAGLIANO CASTELFERRATO,PIER LUIGI BERSANI GAGLIANO CASTELFERRATO,PARTITO DEMOCRATICO,370,,
GAGLIANO CASTELFERRATO,,SINISTRA ECOLOGIA LIBERTA',16,,
GAGLIANO CASTELFERRATO,,CENTRO DEMOCRATICO,7,,
GAGLIANO CASTELFERRATO,SILVIO BERLUSCONI GAGLIANO CASTELFERRATO,IL POPOLO DELLA LIBERTA',352,,
GAGLIANO CASTELFERRATO,,GRANDE SUD - MPA,192,,
GAGLIANO CASTELFERRATO,,LA DESTRA,53,,
GAGLIANO CASTELFERRATO,,FRATELLI D'ITALIA,40,,
GAGLIANO CASTELFERRATO,,MIR - MODERATI IN RIVOLUZIONE,22,,
GAGLIANO CASTELFERRATO,,LEGA NORD,7,,
GAGLIANO CASTELFERRATO,GIUSEPPE PIERO GRILLO GAGLIANO CASTELFERRATO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,482,,
GAGLIANO CASTELFERRATO,MARIO MONTI GAGLIANO CASTELFERRATO,SCELTA CIVICA CON MONTI PER L'ITALIA,173,,
GAGLIANO CASTELFERRATO,,UNIONE DI CENTRO,50,,
GAGLIANO CASTELFERRATO,,FUTURO E LIBERTA',3,,
GAGLIANO CASTELFERRATO,ANTONIO INGROIA GAGLIANO CASTELFERRATO,RIVOLUZIONE CIVILE,33,,
GAGLIANO CASTELFERRATO,OSCAR FULVIO GIANNINO GAGLIANO CASTELFERRATO,FARE PER FERMARE IL DECLINO,1,,
GAGLIANO CASTELFERRATO,MARCO FERRANDO GAGLIANO CASTELFERRATO,PARTITO COMUNISTA DEI LAVORATORI,2,,
GAGLIANO CASTELFERRATO,ROBERTO FIORE GAGLIANO CASTELFERRATO,FORZA NUOVA,2,,
GAGLIANO CASTELFERRATO,GIACINTO MARCO PANNELLA GAGLIANO CASTELFERRATO,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
GAGLIANO CASTELFERRATO,LUCA ROMAGNOLI GAGLIANO CASTELFERRATO,FIAMMA TRICOLORE,1,,
GAGLIANO CASTELFERRATO,RENATA JANNUZZI GAGLIANO CASTELFERRATO,LIBERALI PER L'ITALIA - PLI,8,,
GAGLIANO CASTELFERRATO,FRANCO TORCHIA GAGLIANO CASTELFERRATO,PRI,0,,
GAGLIANO CASTELFERRATO,MARINA PETRINI GAGLIANO CASTELFERRATO,MOVIMENTO PROGETTO ITALIA - MID,5,,
LEONFORTE,PIER LUIGI BERSANI LEONFORTE,PARTITO DEMOCRATICO,2019,,
LEONFORTE,,SINISTRA ECOLOGIA LIBERTA',120,,
LEONFORTE,,CENTRO DEMOCRATICO,52,,
LEONFORTE,SILVIO BERLUSCONI LEONFORTE,IL POPOLO DELLA LIBERTA',1216,,
LEONFORTE,,GRANDE SUD - MPA,79,,
LEONFORTE,,FRATELLI D'ITALIA,63,,
LEONFORTE,,LA DESTRA,25,,
LEONFORTE,,MIR - MODERATI IN RIVOLUZIONE,11,,
LEONFORTE,,LEGA NORD,10,,
LEONFORTE,GIUSEPPE PIERO GRILLO LEONFORTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2440,,
LEONFORTE,MARIO MONTI LEONFORTE,SCELTA CIVICA CON MONTI PER L'ITALIA,394,,
LEONFORTE,,UNIONE DI CENTRO,226,,
LEONFORTE,,FUTURO E LIBERTA',140,,
LEONFORTE,ANTONIO INGROIA LEONFORTE,RIVOLUZIONE CIVILE,241,,
LEONFORTE,OSCAR FULVIO GIANNINO LEONFORTE,FARE PER FERMARE IL DECLINO,19,,
LEONFORTE,MARCO FERRANDO LEONFORTE,PARTITO COMUNISTA DEI LAVORATORI,35,,
LEONFORTE,ROBERTO FIORE LEONFORTE,FORZA NUOVA,11,,
LEONFORTE,GIACINTO MARCO PANNELLA LEONFORTE,LISTA AMNISTIA GIUSTIZIA LIBERTA',30,,
LEONFORTE,LUCA ROMAGNOLI LEONFORTE,FIAMMA TRICOLORE,16,,
LEONFORTE,RENATA JANNUZZI LEONFORTE,LIBERALI PER L'ITALIA - PLI,13,,
LEONFORTE,FRANCO TORCHIA LEONFORTE,PRI,6,,
LEONFORTE,MARINA PETRINI LEONFORTE,MOVIMENTO PROGETTO ITALIA - MID,5,,
NICOSIA,PIER LUIGI BERSANI NICOSIA,PARTITO DEMOCRATICO,1518,,
NICOSIA,,SINISTRA ECOLOGIA LIBERTA',127,,
NICOSIA,,CENTRO DEMOCRATICO,7,,
NICOSIA,SILVIO BERLUSCONI NICOSIA,IL POPOLO DELLA LIBERTA',2397,,
NICOSIA,,GRANDE SUD - MPA,227,,
NICOSIA,,FRATELLI D'ITALIA,80,,
NICOSIA,,LA DESTRA,56,,
NICOSIA,,MIR - MODERATI IN RIVOLUZIONE,49,,
NICOSIA,,LEGA NORD,18,,
NICOSIA,GIUSEPPE PIERO GRILLO NICOSIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1907,,
NICOSIA,MARIO MONTI NICOSIA,SCELTA CIVICA CON MONTI PER L'ITALIA,410,,
NICOSIA,,UNIONE DI CENTRO,194,,
NICOSIA,,FUTURO E LIBERTA',15,,
NICOSIA,ANTONIO INGROIA NICOSIA,RIVOLUZIONE CIVILE,165,,
NICOSIA,OSCAR FULVIO GIANNINO NICOSIA,FARE PER FERMARE IL DECLINO,15,,
NICOSIA,MARCO FERRANDO NICOSIA,PARTITO COMUNISTA DEI LAVORATORI,17,,
NICOSIA,ROBERTO FIORE NICOSIA,FORZA NUOVA,8,,
NICOSIA,GIACINTO MARCO PANNELLA NICOSIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',18,,
NICOSIA,LUCA ROMAGNOLI NICOSIA,FIAMMA TRICOLORE,12,,
NICOSIA,RENATA JANNUZZI NICOSIA,LIBERALI PER L'ITALIA - PLI,8,,
NICOSIA,FRANCO TORCHIA NICOSIA,PRI,1,,
NICOSIA,MARINA PETRINI NICOSIA,MOVIMENTO PROGETTO ITALIA - MID,11,,
NISSORIA,PIER LUIGI BERSANI NISSORIA,PARTITO DEMOCRATICO,336,,
NISSORIA,,SINISTRA ECOLOGIA LIBERTA',19,,
NISSORIA,,CENTRO DEMOCRATICO,14,,
NISSORIA,SILVIO BERLUSCONI NISSORIA,IL POPOLO DELLA LIBERTA',320,,
NISSORIA,,GRANDE SUD - MPA,42,,
NISSORIA,,FRATELLI D'ITALIA,17,,
NISSORIA,,LA DESTRA,16,,
NISSORIA,,LEGA NORD,7,,
NISSORIA,,MIR - MODERATI IN RIVOLUZIONE,4,,
NISSORIA,GIUSEPPE PIERO GRILLO NISSORIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,549,,
NISSORIA,MARIO MONTI NISSORIA,SCELTA CIVICA CON MONTI PER L'ITALIA,88,,
NISSORIA,,UNIONE DI CENTRO,37,,
NISSORIA,,FUTURO E LIBERTA',6,,
NISSORIA,ANTONIO INGROIA NISSORIA,RIVOLUZIONE CIVILE,49,,
NISSORIA,OSCAR FULVIO GIANNINO NISSORIA,FARE PER FERMARE IL DECLINO,2,,
NISSORIA,MARCO FERRANDO NISSORIA,PARTITO COMUNISTA DEI LAVORATORI,5,,
NISSORIA,ROBERTO FIORE NISSORIA,FORZA NUOVA,0,,
NISSORIA,GIACINTO MARCO PANNELLA NISSORIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',5,,
NISSORIA,LUCA ROMAGNOLI NISSORIA,FIAMMA TRICOLORE,6,,
NISSORIA,RENATA JANNUZZI NISSORIA,LIBERALI PER L'ITALIA - PLI,5,,
NISSORIA,FRANCO TORCHIA NISSORIA,PRI,0,,
NISSORIA,MARINA PETRINI NISSORIA,MOVIMENTO PROGETTO ITALIA - MID,4,,
PIAZZA ARMERINA,PIER LUIGI BERSANI PIAZZA ARMERINA,PARTITO DEMOCRATICO,1963,,
PIAZZA ARMERINA,,SINISTRA ECOLOGIA LIBERTA',165,,
PIAZZA ARMERINA,,CENTRO DEMOCRATICO,49,,
PIAZZA ARMERINA,SILVIO BERLUSCONI PIAZZA ARMERINA,IL POPOLO DELLA LIBERTA',3140,,
PIAZZA ARMERINA,,GRANDE SUD - MPA,318,,
PIAZZA ARMERINA,,FRATELLI D'ITALIA,316,,
PIAZZA ARMERINA,,MIR - MODERATI IN RIVOLUZIONE,133,,
PIAZZA ARMERINA,,LA DESTRA,57,,
PIAZZA ARMERINA,,LEGA NORD,15,,
PIAZZA ARMERINA,GIUSEPPE PIERO GRILLO PIAZZA ARMERINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3441,,
PIAZZA ARMERINA,MARIO MONTI PIAZZA ARMERINA,SCELTA CIVICA CON MONTI PER L'ITALIA,571,,
PIAZZA ARMERINA,,UNIONE DI CENTRO,226,,
PIAZZA ARMERINA,,FUTURO E LIBERTA',116,,
PIAZZA ARMERINA,ANTONIO INGROIA PIAZZA ARMERINA,RIVOLUZIONE CIVILE,299,,
