Ente,Candidato,Liste/Gruppi,Voti lista,,
CASOLE D'ELSA,ANTONIO INGROIA CASOLE D'ELSA,RIVOLUZIONE CIVILE,73,,
CASOLE D'ELSA,OSCAR FULVIO GIANNINO CASOLE D'ELSA,FARE PER FERMARE IL DECLINO,15,,
CASOLE D'ELSA,MARCO FERRANDO CASOLE D'ELSA,PARTITO COMUNISTA DEI LAVORATORI,9,,
CASOLE D'ELSA,ROBERTO FIORE CASOLE D'ELSA,FORZA NUOVA,6,,
CASOLE D'ELSA,GIACINTO MARCO PANNELLA CASOLE D'ELSA,LISTA AMNISTIA GIUSTIZIA LIBERTA',5,,
CASOLE D'ELSA,SIMONE DI STEFANO CASOLE D'ELSA,CASAPOUND ITALIA,6,,
CASOLE D'ELSA,MAGDI CRISTIANO ALLAM CASOLE D'ELSA,IO AMO L'ITALIA,6,,
CASTELLINA IN CHIANTI,PIER LUIGI BERSANI CASTELLINA IN CHIANTI,PARTITO DEMOCRATICO,705,,
CASTELLINA IN CHIANTI,,SINISTRA ECOLOGIA LIBERTA',64,,
CASTELLINA IN CHIANTI,,CENTRO DEMOCRATICO,10,,
CASTELLINA IN CHIANTI,SILVIO BERLUSCONI CASTELLINA IN CHIANTI,IL POPOLO DELLA LIBERTA',191,,
CASTELLINA IN CHIANTI,,FRATELLI D'ITALIA,38,,
CASTELLINA IN CHIANTI,,LEGA NORD,20,,
CASTELLINA IN CHIANTI,,LA DESTRA,6,,
CASTELLINA IN CHIANTI,,MIR - MODERATI IN RIVOLUZIONE,0,,
CASTELLINA IN CHIANTI,GIUSEPPE PIERO GRILLO CASTELLINA IN CHIANTI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,305,,
CASTELLINA IN CHIANTI,MARIO MONTI CASTELLINA IN CHIANTI,SCELTA CIVICA CON MONTI PER L'ITALIA,126,,
CASTELLINA IN CHIANTI,,UNIONE DI CENTRO,20,,
CASTELLINA IN CHIANTI,,FUTURO E LIBERTA',8,,
CASTELLINA IN CHIANTI,ANTONIO INGROIA CASTELLINA IN CHIANTI,RIVOLUZIONE CIVILE,34,,
CASTELLINA IN CHIANTI,OSCAR FULVIO GIANNINO CASTELLINA IN CHIANTI,FARE PER FERMARE IL DECLINO,22,,
CASTELLINA IN CHIANTI,MARCO FERRANDO CASTELLINA IN CHIANTI,PARTITO COMUNISTA DEI LAVORATORI,10,,
CASTELLINA IN CHIANTI,ROBERTO FIORE CASTELLINA IN CHIANTI,FORZA NUOVA,1,,
CASTELLINA IN CHIANTI,GIACINTO MARCO PANNELLA CASTELLINA IN CHIANTI,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
CASTELLINA IN CHIANTI,SIMONE DI STEFANO CASTELLINA IN CHIANTI,CASAPOUND ITALIA,3,,
CASTELLINA IN CHIANTI,MAGDI CRISTIANO ALLAM CASTELLINA IN CHIANTI,IO AMO L'ITALIA,8,,
CASTELNUOVO BERARDENGA,PIER LUIGI BERSANI CASTELNUOVO BERARDENGA,PARTITO DEMOCRATICO,1974,,
CASTELNUOVO BERARDENGA,,SINISTRA ECOLOGIA LIBERTA',270,,
CASTELNUOVO BERARDENGA,,CENTRO DEMOCRATICO,18,,
CASTELNUOVO BERARDENGA,SILVIO BERLUSCONI CASTELNUOVO BERARDENGA,IL POPOLO DELLA LIBERTA',777,,
CASTELNUOVO BERARDENGA,,FRATELLI D'ITALIA,101,,
CASTELNUOVO BERARDENGA,,LEGA NORD,47,,
CASTELNUOVO BERARDENGA,,LA DESTRA,38,,
CASTELNUOVO BERARDENGA,,MIR - MODERATI IN RIVOLUZIONE,9,,
CASTELNUOVO BERARDENGA,GIUSEPPE PIERO GRILLO CASTELNUOVO BERARDENGA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1345,,
CASTELNUOVO BERARDENGA,MARIO MONTI CASTELNUOVO BERARDENGA,SCELTA CIVICA CON MONTI PER L'ITALIA,548,,
CASTELNUOVO BERARDENGA,,UNIONE DI CENTRO,57,,
CASTELNUOVO BERARDENGA,,FUTURO E LIBERTA',32,,
CASTELNUOVO BERARDENGA,ANTONIO INGROIA CASTELNUOVO BERARDENGA,RIVOLUZIONE CIVILE,132,,
CASTELNUOVO BERARDENGA,OSCAR FULVIO GIANNINO CASTELNUOVO BERARDENGA,FARE PER FERMARE IL DECLINO,76,,
CASTELNUOVO BERARDENGA,MARCO FERRANDO CASTELNUOVO BERARDENGA,PARTITO COMUNISTA DEI LAVORATORI,29,,
CASTELNUOVO BERARDENGA,ROBERTO FIORE CASTELNUOVO BERARDENGA,FORZA NUOVA,15,,
CASTELNUOVO BERARDENGA,GIACINTO MARCO PANNELLA CASTELNUOVO BERARDENGA,LISTA AMNISTIA GIUSTIZIA LIBERTA',13,,
CASTELNUOVO BERARDENGA,SIMONE DI STEFANO CASTELNUOVO BERARDENGA,CASAPOUND ITALIA,14,,
CASTELNUOVO BERARDENGA,MAGDI CRISTIANO ALLAM CASTELNUOVO BERARDENGA,IO AMO L'ITALIA,12,,
CASTIGLIONE D'ORCIA,PIER LUIGI BERSANI CASTIGLIONE D'ORCIA,PARTITO DEMOCRATICO,743,,
CASTIGLIONE D'ORCIA,,SINISTRA ECOLOGIA LIBERTA',40,,
CASTIGLIONE D'ORCIA,,CENTRO DEMOCRATICO,6,,
CASTIGLIONE D'ORCIA,SILVIO BERLUSCONI CASTIGLIONE D'ORCIA,IL POPOLO DELLA LIBERTA',182,,
CASTIGLIONE D'ORCIA,,FRATELLI D'ITALIA,12,,
CASTIGLIONE D'ORCIA,,LEGA NORD,6,,
CASTIGLIONE D'ORCIA,,LA DESTRA,4,,
CASTIGLIONE D'ORCIA,,MIR - MODERATI IN RIVOLUZIONE,0,,
CASTIGLIONE D'ORCIA,GIUSEPPE PIERO GRILLO CASTIGLIONE D'ORCIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,266,,
CASTIGLIONE D'ORCIA,MARIO MONTI CASTIGLIONE D'ORCIA,SCELTA CIVICA CON MONTI PER L'ITALIA,79,,
CASTIGLIONE D'ORCIA,,UNIONE DI CENTRO,14,,
CASTIGLIONE D'ORCIA,,FUTURO E LIBERTA',4,,
CASTIGLIONE D'ORCIA,ANTONIO INGROIA CASTIGLIONE D'ORCIA,RIVOLUZIONE CIVILE,37,,
CASTIGLIONE D'ORCIA,OSCAR FULVIO GIANNINO CASTIGLIONE D'ORCIA,FARE PER FERMARE IL DECLINO,13,,
CASTIGLIONE D'ORCIA,MARCO FERRANDO CASTIGLIONE D'ORCIA,PARTITO COMUNISTA DEI LAVORATORI,8,,
CASTIGLIONE D'ORCIA,ROBERTO FIORE CASTIGLIONE D'ORCIA,FORZA NUOVA,3,,
CASTIGLIONE D'ORCIA,GIACINTO MARCO PANNELLA CASTIGLIONE D'ORCIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
CASTIGLIONE D'ORCIA,SIMONE DI STEFANO CASTIGLIONE D'ORCIA,CASAPOUND ITALIA,1,,
CASTIGLIONE D'ORCIA,MAGDI CRISTIANO ALLAM CASTIGLIONE D'ORCIA,IO AMO L'ITALIA,1,,
CETONA,PIER LUIGI BERSANI CETONA,PARTITO DEMOCRATICO,767,,
CETONA,,SINISTRA ECOLOGIA LIBERTA',53,,
CETONA,,CENTRO DEMOCRATICO,4,,
CETONA,SILVIO BERLUSCONI CETONA,IL POPOLO DELLA LIBERTA',226,,
CETONA,,FRATELLI D'ITALIA,25,,
CETONA,,LA DESTRA,14,,
CETONA,,LEGA NORD,13,,
CETONA,,MIR - MODERATI IN RIVOLUZIONE,1,,
CETONA,GIUSEPPE PIERO GRILLO CETONA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,328,,
CETONA,MARIO MONTI CETONA,SCELTA CIVICA CON MONTI PER L'ITALIA,113,,
