Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
BUGGERRU ,976,675,5,17,
CALASETTA ,2482,1646,10,38,
CARBONIA ,25413,17642,79,256,
CARLOFORTE ,5442,3574,32,91,
DOMUSNOVAS ,5472,3965,35,134,
FLUMINIMAGGIORE ,2549,1702,27,54,
GIBA ,1814,1209,19,51,
GONNESA ,4327,2980,28,85,
IGLESIAS ,23604,15963,105,377,
MASAINAS ,1193,787,12,33,
MUSEI ,1324,998,11,32,
NARCAO ,2835,1953,21,44,
NUXIS ,1392,887,15,41,
PERDAXIUS ,1267,864,5,18,
PISCINAS ,731,418,5,24,
PORTOSCUSO ,4506,3290,25,89,
SAN GIOVANNI SUERGIU ,5225,3509,32,76,
SANT'ANNA ARRESI ,2344,1530,20,48,
SANT'ANTIOCO ,9969,6651,63,169,
SANTADI ,3084,1913,17,72,
TRATALIAS ,963,634,6,18,
VILLAMASSARGIA ,3140,2039,15,81,
VILLAPERUCCIO ,939,640,5,19,
