Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
PERLO ,106,78,0,1,
PEVERAGNO ,4345,3452,35,188,
PEZZOLO VALLE UZZONE ,279,209,4,11,
PIANFEI ,1692,1264,15,88,
PIASCO ,2212,1800,16,74,
PIETRAPORZIO ,74,50,1,2,
PIOBESI D'ALBA ,984,825,6,31,
PIOZZO ,802,590,4,37,
POCAPAGLIA ,2598,2098,12,89,
POLONGHERA ,925,730,10,37,
PONTECHIANALE ,169,116,1,13,
PRADLEVES ,220,158,2,6,
PRAZZO ,148,113,2,5,
PRIERO ,351,270,4,9,
PRIOCCA ,1625,1329,21,91,
PRIOLA ,591,403,3,25,
PRUNETTO ,389,298,9,24,
RACCONIGI ,7708,6181,53,221,
REVELLO ,3295,2671,32,118,
RIFREDDO ,813,665,11,37,
RITTANA ,104,74,1,3,
ROASCHIA ,120,75,0,1,
ROASCIO ,65,51,1,5,
ROBILANTE ,1808,1387,17,90,
ROBURENT ,473,336,4,15,
ROCCA CIGLIE' ,124,99,2,9,
ROCCA DE' BALDI ,1297,1007,18,71,
ROCCABRUNA ,1229,964,7,51,
ROCCAFORTE MONDOVI' ,1658,1216,18,65,
ROCCASPARVERA ,601,472,4,14,
ROCCAVIONE ,2218,1674,11,63,
ROCCHETTA BELBO ,148,117,1,3,
RODDI ,1202,1036,17,50,
RODDINO ,296,218,3,13,
RODELLO ,776,642,8,21,
ROSSANA ,701,548,6,25,
RUFFIA ,265,224,4,11,
SALE DELLE LANGHE ,404,327,9,20,
SALE SAN GIOVANNI ,144,112,0,4,
SALICETO ,1130,859,8,42,
SALMOUR ,538,409,6,25,
SALUZZO ,12707,9897,87,364,
SAMBUCO ,88,63,0,1,
SAMPEYRE ,880,613,9,31,
SAN BENEDETTO BELBO ,161,115,2,11,
SAN DAMIANO MACRA ,379,260,4,14,
SAN MICHELE MONDOVI' ,1485,1040,18,49,
SANFRE' ,2324,1892,21,98,
SANFRONT ,2047,1583,24,103,
SANT'ALBANO STURA ,1860,1510,8,46,
SANTA VITTORIA D'ALBA ,2011,1652,16,72,
SANTO STEFANO BELBO ,3028,2372,27,92,
SANTO STEFANO ROERO ,1081,845,8,44,
SAVIGLIANO ,16131,12994,126,457,
SCAGNELLO ,182,137,1,6,
SCARNAFIGI ,1561,1298,14,69,
SERRALUNGA D'ALBA ,368,297,2,21,
SERRAVALLE LANGHE ,275,204,0,4,
SINIO ,355,278,7,18,
SOMANO ,294,215,2,11,
SOMMARIVA DEL BOSCO ,4873,3796,32,161,
SOMMARIVA PERNO ,2212,1773,20,91,
STROPPO ,79,51,1,5,
TARANTASCA ,1584,1348,20,81,
TORRE BORMIDA ,175,125,0,6,
TORRE MONDOVI' ,392,275,7,13,
TORRE SAN GIORGIO ,563,457,4,18,
TORRESINA ,54,36,1,1,
TREISO ,631,543,3,31,
TREZZO TINELLA ,277,218,14,19,
TRINITA' ,1654,1339,21,66,
VALDIERI ,781,577,14,57,
VALGRANA ,637,464,3,20,
VALLORIATE ,104,75,0,2,
VALMALA ,55,43,0,1,
VENASCA ,1217,944,17,67,
VERDUNO ,437,334,5,12,
VERNANTE ,1022,775,15,33,
VERZUOLO ,4727,3792,36,145,
VEZZA D'ALBA ,1793,1515,21,63,
VICOFORTE ,2552,1962,13,97,
VIGNOLO ,1903,1562,12,66,
VILLAFALLETTO ,2229,1832,18,94,
VILLANOVA MONDOVI' ,4466,3349,42,208,
VILLANOVA SOLARO ,617,476,8,20,
VILLAR SAN COSTANZO ,1172,934,11,52,
VINADIO ,540,390,2,15,
VIOLA ,361,244,1,9,
VOTTIGNASCO ,453,395,7,30,
