Ente,Candidato,Liste/Gruppi,Voti lista,,
FARRA D'ISONZO,,GRANDE SUD - MPA,0,,
FARRA D'ISONZO,,MIR - MODERATI IN RIVOLUZIONE,0,,
FARRA D'ISONZO,GIUSEPPE PIERO GRILLO FARRA D'ISONZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,294,,
FARRA D'ISONZO,MARIO MONTI FARRA D'ISONZO,SCELTA CIVICA CON MONTI PER L'ITALIA,150,,
FARRA D'ISONZO,,UNIONE DI CENTRO,31,,
FARRA D'ISONZO,,FUTURO E LIBERTA',8,,
FARRA D'ISONZO,ANTONIO INGROIA FARRA D'ISONZO,RIVOLUZIONE CIVILE,19,,
FARRA D'ISONZO,OSCAR FULVIO GIANNINO FARRA D'ISONZO,FARE PER FERMARE IL DECLINO,14,,
FARRA D'ISONZO,ROBERTO FIORE FARRA D'ISONZO,FORZA NUOVA,3,,
FOGLIANO REDIPUGLIA,PIER LUIGI BERSANI FOGLIANO REDIPUGLIA,PARTITO DEMOCRATICO,672,,
FOGLIANO REDIPUGLIA,,SINISTRA ECOLOGIA LIBERTA',65,,
FOGLIANO REDIPUGLIA,,CENTRO DEMOCRATICO,5,,
FOGLIANO REDIPUGLIA,SILVIO BERLUSCONI FOGLIANO REDIPUGLIA,IL POPOLO DELLA LIBERTA',219,,
FOGLIANO REDIPUGLIA,,LEGA NORD,74,,
FOGLIANO REDIPUGLIA,,FRATELLI D'ITALIA,17,,
FOGLIANO REDIPUGLIA,,LA DESTRA,5,,
FOGLIANO REDIPUGLIA,,MIR - MODERATI IN RIVOLUZIONE,1,,
FOGLIANO REDIPUGLIA,,GRANDE SUD - MPA,0,,
FOGLIANO REDIPUGLIA,GIUSEPPE PIERO GRILLO FOGLIANO REDIPUGLIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,597,,
FOGLIANO REDIPUGLIA,MARIO MONTI FOGLIANO REDIPUGLIA,SCELTA CIVICA CON MONTI PER L'ITALIA,152,,
FOGLIANO REDIPUGLIA,,UNIONE DI CENTRO,25,,
FOGLIANO REDIPUGLIA,,FUTURO E LIBERTA',8,,
FOGLIANO REDIPUGLIA,ANTONIO INGROIA FOGLIANO REDIPUGLIA,RIVOLUZIONE CIVILE,56,,
FOGLIANO REDIPUGLIA,OSCAR FULVIO GIANNINO FOGLIANO REDIPUGLIA,FARE PER FERMARE IL DECLINO,16,,
FOGLIANO REDIPUGLIA,ROBERTO FIORE FOGLIANO REDIPUGLIA,FORZA NUOVA,8,,
GORIZIA,PIER LUIGI BERSANI GORIZIA,PARTITO DEMOCRATICO,5527,,
GORIZIA,,SINISTRA ECOLOGIA LIBERTA',633,,
