Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ADRARA SAN MARTINO ,1338,1084,17,35,
ADRARA SAN ROCCO ,533,442,11,29,
ALBANO SANT'ALESSANDRO ,5258,4419,55,152,
ALBINO ,12811,10516,98,311,
ALGUA ,510,417,4,14,
ALME' ,4078,3426,49,128,
ALMENNO SAN BARTOLOMEO ,4182,3412,39,145,
ALMENNO SAN SALVATORE ,4187,3395,50,140,
ALZANO LOMBARDO ,9464,7806,66,204,
AMBIVERE ,1657,1358,9,51,
ANTEGNATE ,1902,1514,24,59,
ARCENE ,3232,2704,24,90,
ARDESIO ,2599,2063,59,154,
ARZAGO D'ADDA ,1938,1573,15,60,
AVERARA ,145,102,3,4,
AVIATICO ,418,318,6,14,
AZZANO SAN PAOLO ,5090,4364,31,121,
AZZONE ,336,221,6,21,
BAGNATICA ,2889,2428,21,72,
BARBATA ,457,383,6,19,
BARIANO ,2997,2463,39,120,
BARZANA ,1260,1066,15,43,
BEDULITA ,534,399,6,12,
BERBENNO ,1717,1260,16,51,
BERGAMO ,80031,64981,445,1374,
BERZO SAN FERMO ,820,713,15,32,
BIANZANO ,470,364,4,14,
BLELLO ,52,41,3,4,
BOLGARE ,3628,3045,29,112,
BOLTIERE ,3934,3128,31,107,
BONATE SOPRA ,6240,5046,48,170,
BONATE SOTTO ,4458,3618,40,149,
BORGO DI TERZO ,692,567,2,11,
BOSSICO ,733,578,9,32,
BOTTANUCO ,3617,2929,37,116,
BRACCA ,531,425,4,11,
BRANZI ,548,450,8,28,
BREMBATE ,5763,4649,66,185,
BREMBATE DI SOPRA ,5488,4463,42,145,
BREMBILLA ,3045,2252,28,91,
BRIGNANO GERA D'ADDA ,4031,3266,33,159,
BRUMANO ,84,60,1,1,
BRUSAPORTO ,3786,3282,35,115,
CALCINATE ,3527,2988,38,136,
CALCIO ,3384,2746,42,109,
CALUSCO D'ADDA ,5718,4536,30,143,
CALVENZANO ,2951,2398,25,90,
CAMERATA CORNELLO ,455,367,10,25,
CANONICA D'ADDA ,2947,2353,30,84,
CAPIZZONE ,882,644,6,27,
CAPRIATE SAN GERVASIO ,5497,4310,43,115,
CAPRINO BERGAMASCO ,2172,1596,16,63,
CARAVAGGIO ,11052,9002,120,384,
CAROBBIO DEGLI ANGELI ,2705,2302,30,81,
CARONA ,288,244,3,11,
CARVICO ,3273,2642,22,80,
CASAZZA ,2354,1970,38,78,
CASIRATE D'ADDA ,2647,2214,16,64,
CASNIGO ,2482,1984,52,118,
CASSIGLIO ,91,76,4,7,
CASTEL ROZZONE ,2089,1713,17,71,
CASTELLI CALEPIO ,6627,5577,70,199,
CASTIONE DELLA PRESOLANA ,2542,2030,34,83,
CASTRO ,985,819,12,26,
CAVERNAGO ,1524,1277,15,46,
CAZZANO SANT'ANDREA ,1142,983,19,47,
CENATE SOPRA ,1688,1410,14,45,
CENATE SOTTO ,2349,1964,26,80,
CENE ,3032,2460,29,89,
CERETE ,1233,992,15,47,
CHIGNOLO D'ISOLA ,2200,1727,20,76,
CHIUDUNO ,3719,3181,35,94,
CISANO BERGAMASCO ,4410,3473,28,126,
CISERANO ,3435,2848,27,75,
CIVIDATE AL PIANO ,3505,2937,23,100,
CLUSONE ,6235,5078,76,188,
COLERE ,835,594,27,59,
COLOGNO AL SERIO ,7114,5924,59,225,
COLZATE ,1184,971,12,32,
COMUN NUOVO ,2859,2326,24,84,
CORNA IMAGNA ,570,423,10,24,
CORNALBA ,252,180,3,4,
CORTENUOVA ,1263,1094,13,49,
COSTA DI MEZZATE ,2134,1811,18,53,
COSTA SERINA ,744,572,5,20,
COSTA VALLE IMAGNA ,502,364,6,19,
COSTA VOLPINO ,6309,5173,85,231,
COVO ,2488,2090,50,111,
CREDARO ,2039,1655,22,63,
CURNO ,5400,4584,32,118,
CUSIO ,210,160,5,16,
DALMINE ,15916,12938,137,425,
DOSSENA ,720,571,12,42,
ENDINE GAIANO ,2443,1906,28,72,
ENTRATICO ,1288,1085,14,37,
FARA GERA D'ADDA ,5500,4479,64,173,
FARA OLIVANA CON SOLA ,862,700,11,41,
FILAGO ,2175,1812,17,67,
FINO DEL MONTE ,835,704,10,24,
FIORANO AL SERIO ,2119,1823,19,64,
FONTANELLA ,2802,2268,27,106,
FONTENO ,501,372,6,23,
FOPPOLO ,161,112,4,6,
FORESTO SPARSO ,2080,1711,15,46,
FORNOVO SAN GIOVANNI ,2297,1911,37,114,
FUIPIANO VALLE IMAGNA ,174,119,4,4,
GANDELLINO ,809,586,20,42,
GANDINO ,4070,3283,46,133,
GANDOSSO ,996,819,9,20,
GAVERINA TERME ,573,473,9,25,
GAZZANIGA ,3669,2989,29,104,
GEROSA ,268,198,3,6,
GHISALBA ,3757,3089,34,119,
GORLAGO ,3282,2718,32,77,
GORLE ,4507,3827,26,99,
GORNO ,1248,959,20,55,
GRASSOBBIO ,4317,3607,43,150,
GROMO ,938,728,10,29,
GRONE ,613,488,10,18,
GRUMELLO DEL MONTE ,4803,3931,41,99,
ISOLA DI FONDRA ,158,121,1,7,
ISSO ,470,388,3,18,
LALLIO ,2847,2397,19,68,
LEFFE ,3410,2831,48,123,
LENNA ,500,389,4,10,
LEVATE ,2634,2186,25,86,
LOCATELLO ,503,372,4,20,
LOVERE ,3878,3159,30,83,
LURANO ,1764,1447,14,61,
LUZZANA ,625,533,6,21,
MADONE ,2551,2051,18,81,
MAPELLO ,4591,3799,31,131,
MARTINENGO ,6408,5309,41,216,
MEDOLAGO ,1570,1292,11,38,
MEZZOLDO ,158,100,3,6,
MISANO DI GERA D'ADDA ,2063,1683,30,93,
MOIO DE' CALVI ,169,145,3,4,
MONASTEROLO DEL CASTELLO ,821,662,9,27,
MONTELLO ,1868,1549,19,43,
MORENGO ,1787,1467,28,67,
MORNICO AL SERIO ,1854,1535,22,86,
MOZZANICA ,3112,2641,46,144,
MOZZO ,5286,4540,28,105,
NEMBRO ,8093,6754,84,202,
OLMO AL BREMBO ,400,335,6,19,
OLTRE IL COLLE ,817,583,22,42,
OLTRESSENDA ALTA ,136,111,3,3,
ONETA ,513,406,7,22,
ONORE ,637,513,1,12,
ORIO AL SERIO ,1158,990,7,26,
ORNICA ,134,95,4,7,
OSIO SOPRA ,3469,2835,25,91,
OSIO SOTTO ,7994,6456,72,203,
PAGAZZANO ,1431,1179,23,69,
PALADINA ,2876,2374,32,80,
PALAZZAGO ,3186,2551,19,89,
PALOSCO ,3778,3188,30,116,
PARRE ,1923,1647,35,86,
PARZANICA ,317,222,7,14,
PEDRENGO ,3978,3390,21,81,
PEIA ,1364,1179,24,76,
PIANICO ,957,804,12,30,
PIARIO ,752,639,9,26,
PIAZZA BREMBANA ,903,722,12,23,
PIAZZATORRE ,358,274,6,20,
PIAZZOLO ,72,54,3,5,
POGNANO ,1076,908,11,38,
PONTE NOSSA ,1386,1167,28,51,
PONTE SAN PIETRO ,7439,6105,62,183,
PONTERANICA ,4966,4156,42,112,
PONTIDA ,2308,1842,21,81,
PONTIROLO NUOVO ,3323,2686,30,106,
PRADALUNGA ,3258,2682,37,81,
PREDORE ,1321,1102,19,30,
PREMOLO ,875,707,12,32,
PRESEZZO ,3285,2780,33,88,
PUMENENGO ,1099,916,10,32,
RANICA ,4327,3726,47,123,
RANZANICO ,937,742,11,25,
RIVA DI SOLTO ,685,579,10,23,
ROGNO ,2647,2218,34,110,
ROMANO DI LOMBARDIA ,12123,9954,141,390,
RONCOBELLO ,340,264,5,9,
RONCOLA ,546,397,2,8,
ROTA D'IMAGNA ,706,533,12,20,
ROVETTA ,2886,2403,34,83,
SAN GIOVANNI BIANCO ,3679,2921,44,174,
SAN PAOLO D'ARGON ,3398,2874,38,92,
SAN PELLEGRINO TERME ,3795,3151,45,155,
SANT'OMOBONO TERME ,2352,1730,23,72,
SANTA BRIGIDA ,465,341,7,17,
SARNICO ,4356,3542,30,99,
SCANZOROSCIATE ,7014,5885,43,154,
SCHILPARIO ,975,723,16,51,
SEDRINA ,1833,1438,20,69,
SELVINO ,1472,1231,19,38,
SERIATE ,16502,13735,99,377,
SERINA ,1636,1228,12,41,
SOLTO COLLINA ,1218,991,11,31,
SOLZA ,1323,1076,8,25,
SONGAVAZZO ,498,408,4,28,
SORISOLE ,6420,5223,59,184,
SOTTO IL MONTE GIOVANNI XXIII ,3034,2426,22,78,
SOVERE ,3597,2925,35,133,
SPINONE AL LAGO ,701,592,8,23,
SPIRANO ,3660,3053,43,153,
STEZZANO ,8648,7098,57,224,
STROZZA ,753,578,11,30,
SUISIO ,2561,2100,13,53,
TALEGGIO ,463,332,9,15,
TAVERNOLA BERGAMASCA ,1660,1446,15,46,
TELGATE ,2711,2270,25,83,
TERNO D'ISOLA ,4776,3799,37,124,
TORRE BOLDONE ,5926,4926,34,114,
TORRE DE' ROVERI ,1605,1374,15,35,
TORRE PALLAVICINA ,761,613,6,35,
TRESCORE BALNEARIO ,5921,4927,62,170,
TREVIGLIO ,20052,16001,151,513,
TREVIOLO ,7304,6238,55,180,
UBIALE CLANEZZO ,1036,836,18,44,
URGNANO ,6359,5221,32,165,
VALBONDIONE ,820,594,18,50,
VALBREMBO ,2889,2495,19,62,
VALGOGLIO ,469,360,3,21,
VALLEVE ,113,89,3,10,
VALNEGRA ,172,138,3,5,
VALSECCA ,345,225,4,10,
VALTORTA ,240,136,6,16,
VEDESETA ,185,126,3,7,
VERDELLINO ,4342,3534,37,123,
VERDELLO ,5168,4206,48,148,
VERTOVA ,3455,2827,43,133,
VIADANICA ,739,620,11,22,
VIGANO SAN MARTINO ,839,691,7,27,
VIGOLO ,431,352,5,16,
VILLA D'ADDA ,3321,2552,23,109,
VILLA D'ALME' ,4842,4029,43,105,
VILLA D'OGNA ,1398,1162,22,44,
VILLA DI SERIO ,4602,3929,38,111,
VILLONGO ,4569,3838,42,137,
VILMINORE DI SCALVE ,1131,856,24,51,
ZANDOBBIO ,1752,1458,17,51,
ZANICA ,5698,4720,47,166,
ZOGNO ,6652,5292,78,248,
