Ente,Candidato,Liste/Gruppi,Voti lista,,
POGGIO A CAIANO,ROBERTO FIORE POGGIO A CAIANO,FORZA NUOVA,26,,
POGGIO A CAIANO,GIACINTO MARCO PANNELLA POGGIO A CAIANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',13,,
POGGIO A CAIANO,SIMONE DI STEFANO POGGIO A CAIANO,CASAPOUND ITALIA,12,,
POGGIO A CAIANO,MAGDI CRISTIANO ALLAM POGGIO A CAIANO,IO AMO L'ITALIA,13,,
PRATO,PIER LUIGI BERSANI PRATO,PARTITO DEMOCRATICO,38816,,
PRATO,,SINISTRA ECOLOGIA LIBERTA',2944,,
PRATO,,CENTRO DEMOCRATICO,268,,
PRATO,SILVIO BERLUSCONI PRATO,IL POPOLO DELLA LIBERTA',19081,,
PRATO,,FRATELLI D'ITALIA,1919,,
PRATO,,LEGA NORD,834,,
PRATO,,LA DESTRA,530,,
PRATO,,MIR - MODERATI IN RIVOLUZIONE,116,,
PRATO,GIUSEPPE PIERO GRILLO PRATO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24185,,
PRATO,MARIO MONTI PRATO,SCELTA CIVICA CON MONTI PER L'ITALIA,7658,,
PRATO,,UNIONE DI CENTRO,1181,,
PRATO,,FUTURO E LIBERTA',348,,
PRATO,ANTONIO INGROIA PRATO,RIVOLUZIONE CIVILE,2005,,
PRATO,OSCAR FULVIO GIANNINO PRATO,FARE PER FERMARE IL DECLINO,1523,,
PRATO,MARCO FERRANDO PRATO,PARTITO COMUNISTA DEI LAVORATORI,559,,
PRATO,ROBERTO FIORE PRATO,FORZA NUOVA,274,,
PRATO,GIACINTO MARCO PANNELLA PRATO,LISTA AMNISTIA GIUSTIZIA LIBERTA',269,,
PRATO,SIMONE DI STEFANO PRATO,CASAPOUND ITALIA,317,,
PRATO,MAGDI CRISTIANO ALLAM PRATO,IO AMO L'ITALIA,185,,
VAIANO,PIER LUIGI BERSANI VAIANO,PARTITO DEMOCRATICO,2571,,
VAIANO,,SINISTRA ECOLOGIA LIBERTA',171,,
VAIANO,,CENTRO DEMOCRATICO,16,,
VAIANO,SILVIO BERLUSCONI VAIANO,IL POPOLO DELLA LIBERTA',1069,,
VAIANO,,LEGA NORD,79,,
VAIANO,,FRATELLI D'ITALIA,69,,
VAIANO,,LA DESTRA,43,,
VAIANO,,MIR - MODERATI IN RIVOLUZIONE,2,,
VAIANO,GIUSEPPE PIERO GRILLO VAIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1422,,
VAIANO,MARIO MONTI VAIANO,SCELTA CIVICA CON MONTI PER L'ITALIA,385,,
VAIANO,,UNIONE DI CENTRO,34,,
VAIANO,,FUTURO E LIBERTA',23,,
VAIANO,ANTONIO INGROIA VAIANO,RIVOLUZIONE CIVILE,182,,
VAIANO,OSCAR FULVIO GIANNINO VAIANO,FARE PER FERMARE IL DECLINO,77,,
VAIANO,MARCO FERRANDO VAIANO,PARTITO COMUNISTA DEI LAVORATORI,43,,
VAIANO,ROBERTO FIORE VAIANO,FORZA NUOVA,10,,
VAIANO,GIACINTO MARCO PANNELLA VAIANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',13,,
VAIANO,SIMONE DI STEFANO VAIANO,CASAPOUND ITALIA,20,,
VAIANO,MAGDI CRISTIANO ALLAM VAIANO,IO AMO L'ITALIA,6,,
VERNIO,PIER LUIGI BERSANI VERNIO,PARTITO DEMOCRATICO,1485,,
VERNIO,,SINISTRA ECOLOGIA LIBERTA',93,,
VERNIO,,CENTRO DEMOCRATICO,9,,
VERNIO,SILVIO BERLUSCONI VERNIO,IL POPOLO DELLA LIBERTA',518,,
VERNIO,,FRATELLI D'ITALIA,36,,
VERNIO,,LEGA NORD,21,,
VERNIO,,LA DESTRA,18,,
VERNIO,,MIR - MODERATI IN RIVOLUZIONE,3,,
VERNIO,GIUSEPPE PIERO GRILLO VERNIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,729,,
VERNIO,MARIO MONTI VERNIO,SCELTA CIVICA CON MONTI PER L'ITALIA,165,,
VERNIO,,UNIONE DI CENTRO,33,,
VERNIO,,FUTURO E LIBERTA',10,,
VERNIO,ANTONIO INGROIA VERNIO,RIVOLUZIONE CIVILE,93,,
VERNIO,OSCAR FULVIO GIANNINO VERNIO,FARE PER FERMARE IL DECLINO,18,,
VERNIO,MARCO FERRANDO VERNIO,PARTITO COMUNISTA DEI LAVORATORI,38,,
VERNIO,ROBERTO FIORE VERNIO,FORZA NUOVA,16,,
VERNIO,GIACINTO MARCO PANNELLA VERNIO,LISTA AMNISTIA GIUSTIZIA LIBERTA',7,,
VERNIO,SIMONE DI STEFANO VERNIO,CASAPOUND ITALIA,10,,
VERNIO,MAGDI CRISTIANO ALLAM VERNIO,IO AMO L'ITALIA,7,,
