Ente,Candidato,Liste/Gruppi,Voti lista,,
ACI SANT'ANTONIO,,LA DESTRA,69,,
ACI SANT'ANTONIO,,MIR - MODERATI IN RIVOLUZIONE,14,,
ACI SANT'ANTONIO,,LEGA NORD,5,,
ACI SANT'ANTONIO,GIUSEPPE PIERO GRILLO ACI SANT'ANTONIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3526,,
ACI SANT'ANTONIO,MARIO MONTI ACI SANT'ANTONIO,SCELTA CIVICA CON MONTI PER L'ITALIA,385,,
ACI SANT'ANTONIO,,UNIONE DI CENTRO,258,,
ACI SANT'ANTONIO,,FUTURO E LIBERTA',24,,
ACI SANT'ANTONIO,ANTONIO INGROIA ACI SANT'ANTONIO,RIVOLUZIONE CIVILE,245,,
ACI SANT'ANTONIO,OSCAR FULVIO GIANNINO ACI SANT'ANTONIO,FARE PER FERMARE IL DECLINO,43,,
ACI SANT'ANTONIO,MARCO FERRANDO ACI SANT'ANTONIO,PARTITO COMUNISTA DEI LAVORATORI,15,,
ACI SANT'ANTONIO,ROBERTO FIORE ACI SANT'ANTONIO,FORZA NUOVA,32,,
ACI SANT'ANTONIO,GIACINTO MARCO PANNELLA ACI SANT'ANTONIO,LISTA AMNISTIA GIUSTIZIA LIBERTA',41,,
ACI SANT'ANTONIO,LUCA ROMAGNOLI ACI SANT'ANTONIO,FIAMMA TRICOLORE,24,,
ACI SANT'ANTONIO,RENATA JANNUZZI ACI SANT'ANTONIO,LIBERALI PER L'ITALIA - PLI,20,,
ACI SANT'ANTONIO,FRANCO TORCHIA ACI SANT'ANTONIO,PRI,9,,
ACI SANT'ANTONIO,MARINA PETRINI ACI SANT'ANTONIO,MOVIMENTO PROGETTO ITALIA - MID,9,,
ACIREALE,PIER LUIGI BERSANI ACIREALE,PARTITO DEMOCRATICO,3949,,
ACIREALE,,SINISTRA ECOLOGIA LIBERTA',525,,
ACIREALE,,CENTRO DEMOCRATICO,64,,
ACIREALE,SILVIO BERLUSCONI ACIREALE,IL POPOLO DELLA LIBERTA',10741,,
ACIREALE,,FRATELLI D'ITALIA,369,,
ACIREALE,,GRANDE SUD - MPA,296,,
ACIREALE,,LA DESTRA,178,,
ACIREALE,,MIR - MODERATI IN RIVOLUZIONE,31,,
ACIREALE,,LEGA NORD,30,,
ACIREALE,GIUSEPPE PIERO GRILLO ACIREALE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,8279,,
ACIREALE,MARIO MONTI ACIREALE,UNIONE DI CENTRO,1872,,
ACIREALE,,SCELTA CIVICA CON MONTI PER L'ITALIA,1338,,
ACIREALE,,FUTURO E LIBERTA',88,,
ACIREALE,ANTONIO INGROIA ACIREALE,RIVOLUZIONE CIVILE,737,,
ACIREALE,OSCAR FULVIO GIANNINO ACIREALE,FARE PER FERMARE IL DECLINO,172,,
ACIREALE,MARCO FERRANDO ACIREALE,PARTITO COMUNISTA DEI LAVORATORI,53,,
ACIREALE,ROBERTO FIORE ACIREALE,FORZA NUOVA,86,,
ACIREALE,GIACINTO MARCO PANNELLA ACIREALE,LISTA AMNISTIA GIUSTIZIA LIBERTA',104,,
ACIREALE,LUCA ROMAGNOLI ACIREALE,FIAMMA TRICOLORE,65,,
ACIREALE,RENATA JANNUZZI ACIREALE,LIBERALI PER L'ITALIA - PLI,76,,
ACIREALE,FRANCO TORCHIA ACIREALE,PRI,15,,
ACIREALE,MARINA PETRINI ACIREALE,MOVIMENTO PROGETTO ITALIA - MID,36,,
ADRANO,PIER LUIGI BERSANI ADRANO,PARTITO DEMOCRATICO,2588,,
ADRANO,,SINISTRA ECOLOGIA LIBERTA',146,,
ADRANO,,CENTRO DEMOCRATICO,29,,
ADRANO,SILVIO BERLUSCONI ADRANO,IL POPOLO DELLA LIBERTA',4269,,
ADRANO,,FRATELLI D'ITALIA,395,,
ADRANO,,LA DESTRA,216,,
ADRANO,,GRANDE SUD - MPA,184,,
ADRANO,,MIR - MODERATI IN RIVOLUZIONE,29,,
ADRANO,,LEGA NORD,12,,
ADRANO,GIUSEPPE PIERO GRILLO ADRANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,5629,,
ADRANO,MARIO MONTI ADRANO,SCELTA CIVICA CON MONTI PER L'ITALIA,807,,
ADRANO,,UNIONE DI CENTRO,354,,
ADRANO,,FUTURO E LIBERTA',54,,
ADRANO,ANTONIO INGROIA ADRANO,RIVOLUZIONE CIVILE,507,,
ADRANO,OSCAR FULVIO GIANNINO ADRANO,FARE PER FERMARE IL DECLINO,27,,
ADRANO,MARCO FERRANDO ADRANO,PARTITO COMUNISTA DEI LAVORATORI,94,,
ADRANO,ROBERTO FIORE ADRANO,FORZA NUOVA,27,,
ADRANO,GIACINTO MARCO PANNELLA ADRANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',125,,
ADRANO,LUCA ROMAGNOLI ADRANO,FIAMMA TRICOLORE,34,,
ADRANO,RENATA JANNUZZI ADRANO,LIBERALI PER L'ITALIA - PLI,40,,
ADRANO,FRANCO TORCHIA ADRANO,PRI,11,,
ADRANO,MARINA PETRINI ADRANO,MOVIMENTO PROGETTO ITALIA - MID,13,,
BELPASSO,PIER LUIGI BERSANI BELPASSO,PARTITO DEMOCRATICO,1613,,
BELPASSO,,SINISTRA ECOLOGIA LIBERTA',193,,
BELPASSO,,CENTRO DEMOCRATICO,25,,
BELPASSO,SILVIO BERLUSCONI BELPASSO,IL POPOLO DELLA LIBERTA',4382,,
BELPASSO,,FRATELLI D'ITALIA,443,,
BELPASSO,,GRANDE SUD - MPA,173,,
BELPASSO,,LA DESTRA,70,,
