Ente,Liste/Gruppi,Voti,,
ANDRIANO,SVP,353,,
ANDRIANO,DIE FREIHEITLICHEN,94,,
ANDRIANO,VERDI - GRUNE - VERC,42,,
ANDRIANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,26,,
ANDRIANO,PARTITO DEMOCRATICO,25,,
ANDRIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,23,,
ANDRIANO,SCELTA CIVICA CON MONTI PER L'ITALIA,20,,
ANDRIANO,L'ALTO ADIGE NEL CUORE,1,,
ANDRIANO,LA DESTRA,1,,
ANDRIANO,RIVOLUZIONE CIVILE,1,,
AVELENGO,SVP,276,,
AVELENGO,DIE FREIHEITLICHEN,63,,
AVELENGO,VERDI - GRUNE - VERC,22,,
AVELENGO,PARTITO DEMOCRATICO,11,,
AVELENGO,SCELTA CIVICA CON MONTI PER L'ITALIA,8,,
AVELENGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,6,,
AVELENGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3,,
AVELENGO,L'ALTO ADIGE NEL CUORE,0,,
AVELENGO,LA DESTRA,0,,
AVELENGO,RIVOLUZIONE CIVILE,0,,
CAINES,SVP,161,,
CAINES,DIE FREIHEITLICHEN,34,,
CAINES,VERDI - GRUNE - VERC,14,,
CAINES,PARTITO DEMOCRATICO,5,,
CAINES,SCELTA CIVICA CON MONTI PER L'ITALIA,4,,
CAINES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4,,
CAINES,IL POPOLO DELLA LIBERTA' - LEGA NORD,3,,
CAINES,RIVOLUZIONE CIVILE,1,,
CAINES,L'ALTO ADIGE NEL CUORE,0,,
CAINES,LA DESTRA,0,,
CASTELBELLO-CIARDES,SVP,824,,
CASTELBELLO-CIARDES,DIE FREIHEITLICHEN,284,,
CASTELBELLO-CIARDES,VERDI - GRUNE - VERC,100,,
CASTELBELLO-CIARDES,PARTITO DEMOCRATICO,30,,
CASTELBELLO-CIARDES,SCELTA CIVICA CON MONTI PER L'ITALIA,20,,
CASTELBELLO-CIARDES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16,,
CASTELBELLO-CIARDES,IL POPOLO DELLA LIBERTA' - LEGA NORD,13,,
CASTELBELLO-CIARDES,RIVOLUZIONE CIVILE,3,,
CASTELBELLO-CIARDES,L'ALTO ADIGE NEL CUORE,1,,
CASTELBELLO-CIARDES,LA DESTRA,0,,
CERMES,SVP,487,,
CERMES,DIE FREIHEITLICHEN,182,,
CERMES,VERDI - GRUNE - VERC,59,,
CERMES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,32,,
CERMES,IL POPOLO DELLA LIBERTA' - LEGA NORD,20,,
CERMES,PARTITO DEMOCRATICO,18,,
CERMES,SCELTA CIVICA CON MONTI PER L'ITALIA,18,,
CERMES,RIVOLUZIONE CIVILE,4,,
CERMES,L'ALTO ADIGE NEL CUORE,1,,
CERMES,LA DESTRA,0,,
CURON VENOSTA,SVP,963,,
CURON VENOSTA,DIE FREIHEITLICHEN,157,,
CURON VENOSTA,VERDI - GRUNE - VERC,60,,
CURON VENOSTA,IL POPOLO DELLA LIBERTA' - LEGA NORD,31,,
CURON VENOSTA,PARTITO DEMOCRATICO,17,,
CURON VENOSTA,RIVOLUZIONE CIVILE,13,,
CURON VENOSTA,SCELTA CIVICA CON MONTI PER L'ITALIA,8,,
CURON VENOSTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,8,,
CURON VENOSTA,L'ALTO ADIGE NEL CUORE,0,,
CURON VENOSTA,LA DESTRA,0,,
GARGAZZONE,SVP,439,,
GARGAZZONE,DIE FREIHEITLICHEN,161,,
GARGAZZONE,VERDI - GRUNE - VERC,77,,
GARGAZZONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,72,,
GARGAZZONE,PARTITO DEMOCRATICO,67,,
GARGAZZONE,SCELTA CIVICA CON MONTI PER L'ITALIA,55,,
GARGAZZONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,50,,
GARGAZZONE,RIVOLUZIONE CIVILE,6,,
GARGAZZONE,LA DESTRA,5,,
GARGAZZONE,L'ALTO ADIGE NEL CUORE,4,,
GLORENZA,SVP,350,,
GLORENZA,DIE FREIHEITLICHEN,73,,
GLORENZA,VERDI - GRUNE - VERC,38,,
GLORENZA,PARTITO DEMOCRATICO,10,,
GLORENZA,IL POPOLO DELLA LIBERTA' - LEGA NORD,6,,
GLORENZA,SCELTA CIVICA CON MONTI PER L'ITALIA,5,,
GLORENZA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,5,,
GLORENZA,RIVOLUZIONE CIVILE,4,,
GLORENZA,L'ALTO ADIGE NEL CUORE,3,,
GLORENZA,LA DESTRA,1,,
LACES,SVP,1652,,
LACES,DIE FREIHEITLICHEN,600,,
LACES,VERDI - GRUNE - VERC,194,,
LACES,PARTITO DEMOCRATICO,60,,
LACES,SCELTA CIVICA CON MONTI PER L'ITALIA,56,,
LACES,IL POPOLO DELLA LIBERTA' - LEGA NORD,39,,
LACES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,37,,
LACES,RIVOLUZIONE CIVILE,17,,
LACES,LA DESTRA,4,,
LACES,L'ALTO ADIGE NEL CUORE,1,,
LAGUNDO,SVP,1450,,
LAGUNDO,DIE FREIHEITLICHEN,432,,
LAGUNDO,VERDI - GRUNE - VERC,224,,
LAGUNDO,SCELTA CIVICA CON MONTI PER L'ITALIA,155,,
LAGUNDO,PARTITO DEMOCRATICO,140,,
LAGUNDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,135,,
LAGUNDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,131,,
LAGUNDO,RIVOLUZIONE CIVILE,18,,
LAGUNDO,L'ALTO ADIGE NEL CUORE,13,,
LAGUNDO,LA DESTRA,13,,
LANA,SVP,3245,,
LANA,DIE FREIHEITLICHEN,1216,,
LANA,VERDI - GRUNE - VERC,609,,
LANA,PARTITO DEMOCRATICO,258,,
LANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,243,,
LANA,IL POPOLO DELLA LIBERTA' - LEGA NORD,211,,
LANA,SCELTA CIVICA CON MONTI PER L'ITALIA,178,,
LANA,RIVOLUZIONE CIVILE,34,,
LANA,L'ALTO ADIGE NEL CUORE,16,,
LANA,LA DESTRA,10,,
LASA,SVP,1300,,
LASA,DIE FREIHEITLICHEN,498,,
LASA,VERDI - GRUNE - VERC,187,,
LASA,PARTITO DEMOCRATICO,55,,
LASA,SCELTA CIVICA CON MONTI PER L'ITALIA,31,,
LASA,IL POPOLO DELLA LIBERTA' - LEGA NORD,14,,
LASA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,13,,
LASA,RIVOLUZIONE CIVILE,5,,
LASA,L'ALTO ADIGE NEL CUORE,1,,
LASA,LA DESTRA,1,,
LAUREGNO,SVP,103,,
LAUREGNO,DIE FREIHEITLICHEN,27,,
LAUREGNO,VERDI - GRUNE - VERC,9,,
LAUREGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4,,
LAUREGNO,PARTITO DEMOCRATICO,2,,
LAUREGNO,SCELTA CIVICA CON MONTI PER L'ITALIA,2,,
LAUREGNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,1,,
LAUREGNO,RIVOLUZIONE CIVILE,1,,
LAUREGNO,L'ALTO ADIGE NEL CUORE,0,,
LAUREGNO,LA DESTRA,0,,
MALLES VENOSTA,SVP,1783,,
MALLES VENOSTA,DIE FREIHEITLICHEN,430,,
MALLES VENOSTA,VERDI - GRUNE - VERC,205,,
MALLES VENOSTA,PARTITO DEMOCRATICO,65,,
MALLES VENOSTA,SCELTA CIVICA CON MONTI PER L'ITALIA,47,,
MALLES VENOSTA,IL POPOLO DELLA LIBERTA' - LEGA NORD,44,,
MALLES VENOSTA,RIVOLUZIONE CIVILE,31,,
MALLES VENOSTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,25,,
MALLES VENOSTA,LA DESTRA,5,,
MALLES VENOSTA,L'ALTO ADIGE NEL CUORE,4,,
MARLENGO,SVP,760,,
MARLENGO,DIE FREIHEITLICHEN,266,,
MARLENGO,VERDI - GRUNE - VERC,125,,
MARLENGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,71,,
MARLENGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,69,,
MARLENGO,PARTITO DEMOCRATICO,66,,
MARLENGO,SCELTA CIVICA CON MONTI PER L'ITALIA,60,,
MARLENGO,RIVOLUZIONE CIVILE,15,,
MARLENGO,LA DESTRA,6,,
MARLENGO,L'ALTO ADIGE NEL CUORE,2,,
MARTELLO,SVP,366,,
MARTELLO,DIE FREIHEITLICHEN,93,,
MARTELLO,VERDI - GRUNE - VERC,17,,
MARTELLO,PARTITO DEMOCRATICO,4,,
MARTELLO,IL POPOLO DELLA LIBERTA' - LEGA NORD,3,,
MARTELLO,SCELTA CIVICA CON MONTI PER L'ITALIA,2,,
MARTELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1,,
MARTELLO,L'ALTO ADIGE NEL CUORE,0,,
MARTELLO,LA DESTRA,0,,
MARTELLO,RIVOLUZIONE CIVILE,0,,
MELTINA,SVP,630,,
MELTINA,DIE FREIHEITLICHEN,145,,
MELTINA,VERDI - GRUNE - VERC,48,,
MELTINA,SCELTA CIVICA CON MONTI PER L'ITALIA,17,,
MELTINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,17,,
MELTINA,PARTITO DEMOCRATICO,14,,
MELTINA,IL POPOLO DELLA LIBERTA' - LEGA NORD,9,,
MELTINA,RIVOLUZIONE CIVILE,4,,
MELTINA,L'ALTO ADIGE NEL CUORE,2,,
MELTINA,LA DESTRA,1,,
MERANO,SVP,5490,,
MERANO,PARTITO DEMOCRATICO,2545,,
MERANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,2479,,
MERANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2396,,
MERANO,SCELTA CIVICA CON MONTI PER L'ITALIA,2174,,
MERANO,VERDI - GRUNE - VERC,1675,,
MERANO,DIE FREIHEITLICHEN,1422,,
MERANO,RIVOLUZIONE CIVILE,337,,
MERANO,LA DESTRA,286,,
MERANO,L'ALTO ADIGE NEL CUORE,149,,
MOSO IN PASSIRIA,SVP,820,,
MOSO IN PASSIRIA,DIE FREIHEITLICHEN,213,,
MOSO IN PASSIRIA,VERDI - GRUNE - VERC,38,,
MOSO IN PASSIRIA,PARTITO DEMOCRATICO,9,,
MOSO IN PASSIRIA,SCELTA CIVICA CON MONTI PER L'ITALIA,8,,
MOSO IN PASSIRIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,6,,
MOSO IN PASSIRIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4,,
MOSO IN PASSIRIA,RIVOLUZIONE CIVILE,3,,
MOSO IN PASSIRIA,L'ALTO ADIGE NEL CUORE,0,,
MOSO IN PASSIRIA,LA DESTRA,0,,
NALLES,SVP,545,,
NALLES,DIE FREIHEITLICHEN,223,,
NALLES,VERDI - GRUNE - VERC,75,,
NALLES,PARTITO DEMOCRATICO,48,,
NALLES,SCELTA CIVICA CON MONTI PER L'ITALIA,42,,
NALLES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,42,,
NALLES,IL POPOLO DELLA LIBERTA' - LEGA NORD,39,,
