Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
BELLARIA-IGEA MARINA ,13929,11334,87,273,
CASTELDELCI ,374,216,6,15,
CATTOLICA ,12978,10562,82,232,
CORIANO ,7862,7009,71,174,
GEMMANO ,894,717,8,28,
MAIOLO ,669,531,5,16,
MISANO ADRIATICO ,9528,7872,56,156,
MONDAINO ,1109,908,22,43,
MONTE COLOMBO ,2564,2039,12,59,
MONTEFIORE CONCA ,1708,1298,14,44,
MONTEGRIDOLFO ,779,637,5,23,
MONTESCUDO ,2437,1880,18,47,
MORCIANO DI ROMAGNA ,5095,4185,32,111,
NOVAFELTRIA ,5679,4649,38,133,
PENNABILLI ,2424,1906,26,75,
POGGIO BERNI ,2651,2256,16,61,
RICCIONE ,27145,22161,154,432,
RIMINI ,108862,87346,489,1577,
SALUDECIO ,2346,1833,24,54,
SAN CLEMENTE ,3994,3271,29,84,
SAN GIOVANNI IN MARIGNANO ,7075,6050,55,134,
SAN LEO ,2218,1693,15,53,
SANT'AGATA FELTRIA ,1844,1432,12,47,
SANTARCANGELO DI ROMAGNA ,16693,13964,152,415,
TALAMELLO ,850,695,10,23,
TORRIANA ,1153,942,12,31,
VERUCCHIO ,7469,6192,55,159,
