Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALGHERO ,36734,24769,134,553,
ANELA ,585,411,5,18,
ARDARA ,636,469,9,16,
BANARI ,533,331,3,13,
BENETUTTI ,1621,1011,17,51,
BESSUDE ,378,238,1,4,
BONNANARO ,869,556,10,24,
BONO ,2926,1815,16,52,
BONORVA ,3089,1952,30,67,
BORUTTA ,253,167,2,4,
BOTTIDDA ,617,429,6,15,
BULTEI ,896,527,4,15,
BULZI ,509,337,2,10,
BURGOS ,794,473,11,25,
CARGEGHE ,511,338,3,13,
CASTELSARDO ,4932,3331,28,98,
CHEREMULE ,396,247,7,10,
CHIARAMONTI ,1466,864,5,36,
CODRONGIANOS ,1122,774,7,20,
COSSOINE ,766,457,3,13,
ERULA ,667,390,14,35,
ESPORLATU ,337,215,4,11,
FLORINAS ,1274,1016,11,28,
GIAVE ,507,283,6,17,
ILLORAI ,809,457,5,17,
ITTIREDDU ,473,347,6,15,
ITTIRI ,7287,5337,37,152,
LAERRU ,804,496,7,14,
MARA ,598,332,3,21,
MARTIS ,476,289,5,7,
MONTELEONE ROCCA DORIA ,105,62,0,1,
MORES ,1598,1007,10,26,
MUROS ,684,495,2,10,
NUGHEDU SAN NICOLO' ,741,410,6,14,
NULE ,1167,730,8,28,
NULVI ,2385,1613,10,37,
OLMEDO ,3283,2207,16,62,
OSILO ,2722,1848,20,63,
OSSI ,4900,3496,24,88,
OZIERI ,8964,6170,43,175,
PADRIA ,615,367,7,16,
PATTADA ,2688,1611,13,61,
PERFUGAS ,2037,1318,20,59,
PLOAGHE ,3839,2720,16,59,
PORTO TORRES ,18732,12733,95,380,
POZZOMAGGIORE ,2304,1473,19,50,
PUTIFIGARI ,602,452,6,9,
ROMANA ,485,269,8,22,
SANTA MARIA COGHINAS ,1252,773,13,31,
SASSARI ,106312,75186,316,1411,
SEDINI ,1168,787,9,25,
SEMESTENE ,154,82,0,1,
SENNORI ,6200,4465,41,149,
SILIGO ,783,502,10,12,
SORSO ,12150,7810,52,244,
STINTINO ,1394,1001,3,20,
TERGU ,503,318,2,19,
THIESI ,2491,1370,17,56,
TISSI ,1905,1410,17,37,
TORRALBA ,822,540,13,32,
TULA ,1297,923,13,28,
URI ,2515,1752,15,52,
USINI ,3544,2489,26,78,
VALLEDORIA ,3556,2327,34,89,
VIDDALBA ,1427,971,16,34,
VILLANOVA MONTELEONE ,1987,1314,13,63,
