Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ADRARA SAN MARTINO ,1492,1214,23,40,
ADRARA SAN ROCCO ,573,475,10,26,
ALBANO SANT'ALESSANDRO ,5707,4794,78,182,
ALBINO ,14023,11506,155,397,
ALGUA ,556,457,6,13,
ALME' ,4479,3752,47,148,
ALMENNO SAN BARTOLOMEO ,4556,3718,44,154,
ALMENNO SAN SALVATORE ,4614,3751,49,151,
ALZANO LOMBARDO ,10289,8470,84,243,
AMBIVERE ,1824,1483,9,66,
ANTEGNATE ,2061,1652,20,59,
ARCENE ,3557,2974,30,101,
ARDESIO ,2873,2291,73,171,
ARZAGO D'ADDA ,2092,1710,19,66,
AVERARA ,155,109,4,7,
AVIATICO ,447,345,5,17,
AZZANO SAN PAOLO ,5543,4737,32,142,
AZZONE ,368,250,5,19,
BAGNATICA ,3154,2655,25,89,
BARBATA ,512,428,7,22,
BARIANO ,3289,2717,50,145,
BARZANA ,1371,1159,19,60,
BEDULITA ,591,443,10,15,
BERBENNO ,1904,1403,25,62,
BERGAMO ,86174,70036,577,1623,
BERZO SAN FERMO ,912,794,11,37,
BIANZANO ,527,411,7,18,
BLELLO ,56,45,2,3,
BOLGARE ,3979,3339,43,139,
BOLTIERE ,4242,3377,45,139,
BONATE SOPRA ,6745,5452,46,187,
BONATE SOTTO ,4791,3883,59,178,
BORGO DI TERZO ,769,637,5,13,
BOSSICO ,810,644,14,46,
BOTTANUCO ,3994,3237,57,150,
BRACCA ,581,466,4,12,
BRANZI ,598,492,13,35,
BREMBATE ,6246,5022,58,187,
BREMBATE DI SOPRA ,5968,4846,53,173,
BREMBILLA ,3315,2477,37,129,
BRIGNANO GERA D'ADDA ,4369,3553,63,208,
BRUMANO ,91,66,4,4,
BRUSAPORTO ,4117,3555,39,125,
CALCINATE ,3852,3276,46,160,
CALCIO ,3683,2995,47,128,
CALUSCO D'ADDA ,6258,4947,51,180,
CALVENZANO ,3177,2585,40,124,
CAMERATA CORNELLO ,503,410,12,31,
CANONICA D'ADDA ,3151,2527,31,86,
CAPIZZONE ,967,708,11,37,
CAPRIATE SAN GERVASIO ,5944,4664,42,137,
CAPRINO BERGAMASCO ,2364,1752,12,57,
CARAVAGGIO ,11946,9760,126,424,
CAROBBIO DEGLI ANGELI ,2959,2517,30,88,
CARONA ,303,255,3,12,
CARVICO ,3542,2857,34,100,
CASAZZA ,2610,2197,32,82,
CASIRATE D'ADDA ,2850,2368,24,73,
CASNIGO ,2702,2175,37,120,
CASSIGLIO ,96,81,6,10,
CASTEL ROZZONE ,2264,1853,20,82,
CASTELLI CALEPIO ,7219,6068,72,221,
CASTIONE DELLA PRESOLANA ,2797,2244,50,109,
CASTRO ,1058,884,19,35,
CAVERNAGO ,1653,1389,11,49,
CAZZANO SANT'ANDREA ,1241,1061,17,46,
CENATE SOPRA ,1841,1535,16,57,
CENATE SOTTO ,2561,2129,25,83,
CENE ,3294,2677,47,115,
CERETE ,1296,1046,20,54,
CHIGNOLO D'ISOLA ,2388,1881,23,81,
CHIUDUNO ,4038,3464,41,99,
CISANO BERGAMASCO ,4797,3776,32,140,
CISERANO ,3823,3165,27,104,
CIVIDATE AL PIANO ,3824,3214,35,121,
CLUSONE ,6764,5520,81,209,
COLERE ,950,666,27,71,
COLOGNO AL SERIO ,7826,6525,66,256,
COLZATE ,1297,1067,13,38,
COMUN NUOVO ,3089,2521,25,90,
CORNA IMAGNA ,638,475,8,25,
CORNALBA ,270,195,2,5,
CORTENUOVA ,1374,1191,20,63,
COSTA DI MEZZATE ,2328,1971,31,74,
COSTA SERINA ,811,625,10,25,
COSTA VALLE IMAGNA ,541,396,13,24,
COSTA VOLPINO ,6827,5614,100,278,
COVO ,2667,2251,53,127,
